,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
160379,28-Jan-2017,20:15:47,6,10.000000,,,0,8,21.5521,-157.8302,20:15:56.839999 28-Jan-2017,FastGPS,21.5521,-157.8302,,,6.8,-0.2,,,,15,3,31040,,,,6,9725,,,,19,6292,,,,22,4418,,,,31,4498,,,,11,6538,,,,9,736,,,,1,27742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,29-Jan-2017,06:59:19,9,10.000000,,,0,8,21.7150,-158.0756,06:59:29.33 29-Jan-2017,FastGPS,21.7150,-158.0756,,,11.3,0.3,,,,15,15,2388,,,,29,17190,,,,13,20055,,,,2,23698,,,,6,25294,,,,25,8208,,,,12,16078,,,,32,4014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,29-Jan-2017,11:10:02,4,10.000000,,,0,6,21.6890,-158.0947,11:10:11.08 29-Jan-2017,FastGPS,21.6890,-158.0947,,1,5.0,-0.9,,,,15,25,2504,,,44,31,15717,,,,26,4580,,,,10,24780,,,,21,31720,,,,4,28160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,29-Jan-2017,12:15:41,2,10.000000,,,0,8,21.6650,-158.0978,12:15:50.96 29-Jan-2017,FastGPS,21.6650,-158.0978,,1,9.4,-0.0,,,,15,21,6296,,,,31,21313,,,,20,11980,,,,4,2625,,,,18,5920,,,,25,26766,,,,26,6598,,,,10,3536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,30-Jan-2017,15:32:00,4,10.000000,,,0,8,21.6097,-158.1558,15:32:08.859999 30-Jan-2017,FastGPS,21.6097,-158.1558,,,6.4,-1.1,,,,15,32,26689,,,,14,9457,,,,11,26243,,,,1,14074,,,,10,2196,,,,3,15344,,,,8,7212,,,,16,22736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,31-Jan-2017,08:49:37,2,10.000000,,,0,8,21.6706,-158.1525,08:49:46.689999 31-Jan-2017,FastGPS,21.6706,-158.1525,,1,7.2,-0.3,,,,15,29,21988,,,,25,5700,,,,32,7698,,,,2,19484,,,,12,15878,,,,21,13960,,,,24,24620,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,31-Jan-2017,13:56:22,2,10.000000,,,0,7,21.6835,-158.1449,13:56:31.23 31-Jan-2017,FastGPS,21.6835,-158.1449,,1,6.7,-0.8,,,,15,18,3766,,,46,21,4659,,,,10,20406,,,,27,13382,,,,4,22798,,,,14,2390,,,,8,10330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,02-Feb-2017,04:22:31,3,10.000000,,,0,8,21.5983,-158.2624,04:22:40.79 02-Feb-2017,FastGPS,21.5983,-158.2624,,,7.5,-0.2,,,,15,5,7056,,,,17,11076,,,,12,29870,,,,20,5879,,,,24,1536,,,,28,5044,,,,19,29170,,,,13,30728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,02-Feb-2017,18:19:48,7,10.000000,,,0,7,21.5972,-158.2299,18:19:57.81 02-Feb-2017,FastGPS,21.5972,-158.2299,,,3.4,-0.2,,,,15,8,3351,,,42,1,9065,,,,3,13136,,,,9,22739,,,,23,27222,,,,17,28954,,,,22,7524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,03-Feb-2017,09:21:34,6,10.000000,,,0,8,21.6153,-158.2446,09:21:44.18 03-Feb-2017,FastGPS,21.6153,-158.2446,,,12.7,0.2,,,,15,12,8040,,,,21,2394,,,,20,5696,,,,24,21077,,,,32,10916,,,,5,16162,,,,2,1368,,,,14,29810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
