"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",160379,3395,,,,,,,215,NP,,401650000,10/26/2016 21:18:11,1,3,0,-132,401650000,,,,,,,,,,,,16,174,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160379,3395,,,,,,,215,NP,,401650000,10/26/2016 21:18:54,1,3,0,-132,401650000,,,,,,,,,,,,35,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160379,3395,,,,,,,215,NP,,401650000,10/26/2016 21:21:46,1,3,0,-132,401650000,,,,,,,,,,,,39,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160379,3395,,,,,,,0,SR,,401650000,01/29/2017 05:25:01,1,1,0,-125,401650000,,,,,,,,,,,,13,193,72,240,128,10,192,36,160,137,8,38,54,12,139,131,97,160,8,240,255,152,30,196,61,145,142,157,115,207,33,
"",160379,3395,,,,,,,0,MA,,401650000,01/29/2017 08:13:16,1,1,0,-131,401650000,,,,,,,,,,,,29,1,145,221,157,55,65,12,150,0,0,24,10,2,64,135,32,145,73,36,211,216,0,,,,,,,,,
"",160379,3395,,,,,,,0,NK,,401650000,01/29/2017 17:09:19,1,1,0,-133,401650000,,,,,,,,,,,,19,1,72,244,212,234,192,36,128,169,0,54,54,15,131,4,96,33,71,48,85,235,25,110,6,156,241,229,200,153,80,
"",160379,3395,,,,,,,0,NN,,401650000,01/29/2017 17:32:54,1,1,0,-128,401650000,,,,,,,,,,,,232,244,221,166,120,149,78,194,38,108,245,113,87,26,184,106,36,180,22,63,133,47,154,168,19,63,1,120,148,143,70,
"",160379,3395,,,,,,,0,NP,,401650000,01/30/2017 15:10:26,1,1,0,-131,401650000,,,,,,,,,,,,27,33,76,116,240,246,128,36,128,137,0,42,60,11,138,3,35,81,24,104,73,254,25,110,6,156,241,229,200,153,80,
"",160379,3395,,,,,,,0,MA,,401650000,01/31/2017 09:05:15,1,1,0,-122,401650000,,,,,,,,,,,,18,1,72,253,17,102,192,36,32,233,0,78,25,21,127,133,157,177,150,224,105,207,28,103,7,151,33,245,160,153,80,
"",160379,3395,,,,,,,0,NP,,401650000,01/31/2017 13:19:24,1,1,0,-125,401650000,,,,,,,,,,,,232,244,221,166,120,149,78,195,38,108,229,113,92,146,180,17,54,60,113,96,33,143,179,132,220,101,9,90,208,197,175,
"",160379,3395,,,,,,,0,NN,,401650000,02/01/2017 06:00:05,1,1,0,-129,401650000,,,,,,,,,,,,30,96,210,78,86,101,169,235,61,63,168,29,168,40,76,14,137,140,190,189,39,17,172,,,,,,,,,
"",160379,3395,,,,,,,0,NN,,401650000,02/02/2017 18:19:58,1,1,0,-125,401650000,,,,,,,,,,,,19,225,72,253,69,102,192,36,32,201,8,58,44,16,141,4,225,145,87,248,89,219,25,110,6,156,241,229,200,153,80,
"",160379,3395,,,,,,,0,MA,,401650000,02/03/2017 06:27:11,1,1,0,-127,401650000,,,,,,,,,,,,201,10,73,224,64,209,112,163,105,27,51,38,204,217,157,178,109,153,155,147,84,132,108,152,141,211,155,38,76,144,19,
"",160379,3395,,,,,,,0,MA,,401650000,02/04/2017 07:50:39,1,1,0,-129,401650000,,,,,,,,,,,,7,161,73,16,228,82,192,36,128,217,40,70,0,19,128,5,34,145,120,88,98,4,26,108,7,151,162,21,168,137,74,
