DeployID,Ptt,DepthSensor,Source,Instr,Date,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,MinTemp15,MaxTemp15,%Ox15,Discont15
160379,160379,0.500000,Transmission,UT,04:05:00 28-Jan-2017,9.00,1,,,, ,11,,-0.250000,24.25,24.35,,,63.750000,23.85,23.95,,,71.750000,23.25,23.35,,,95.750000,22.85,22.95,,,103.750000,21.85,21.95,,,127.750000,21.55,21.65,,,175.750000,18.55,18.65,,,207.750000,18.05,18.15,,,231.750000,14.45,14.55,,,247.750000,12.95,13.05,,,303.750000,11.75,11.85,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,Transmission,UT,20:15:00 28-Jan-2017,10.00,1,,,, ,11,,-0.250000,24.25,24.35,,,63.750000,23.95,24.05,,,135.750000,21.85,21.95,,,143.750000,20.45,20.55,,,167.750000,19.45,19.55,,,199.750000,16.95,17.05,,,207.750000,18.05,18.15,,1,223.750000,15.55,15.65,,,239.750000,13.45,13.55,,,247.750000,12.95,13.05,,,303.750000,11.75,11.85,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,Transmission,UT,05:45:00 29-Jan-2017,10.00,1,,,, ,11,,-0.250000,24.15,24.25,,,63.750000,23.75,23.85,,,79.750000,23.55,23.65,,,87.750000,22.55,22.65,,,95.750000,23.15,23.25,,1,135.750000,21.85,21.95,,,143.750000,20.45,20.55,,,199.750000,16.95,17.05,,,207.750000,18.05,18.15,,1,239.750000,13.45,13.55,,,303.750000,11.75,11.85,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,Transmission,UT,06:25:00 29-Jan-2017,10.00,3,,,, ,11,,-0.250000,23.95,24.05,,,63.750000,23.65,23.75,,,87.750000,23.25,23.35,,,103.750000,21.65,21.75,,,111.750000,22.75,22.85,,1,135.750000,21.85,21.95,,,143.750000,20.45,20.55,,,199.750000,16.95,17.05,,,207.750000,18.05,18.15,,1,239.750000,13.45,13.55,,,303.750000,11.75,11.85,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,Transmission,UT,06:55:00 29-Jan-2017,10.00,3,,,, ,11,,-0.250000,24.15,24.25,,,79.750000,23.75,23.85,,,103.750000,23.25,23.35,,,119.750000,21.15,21.25,,,135.750000,20.65,20.75,,,159.750000,17.95,18.05,,,167.750000,19.45,19.55,,1,199.750000,16.95,17.05,,,207.750000,18.05,18.15,,1,239.750000,13.45,13.55,,,303.750000,11.75,11.85,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,Transmission,UT,08:15:00 29-Jan-2017,10.00,1,,,, ,11,,-0.250000,24.35,24.45,,,111.750000,23.85,23.95,,,151.750000,23.15,23.25,,,159.750000,22.15,22.25,,,175.750000,18.65,18.75,,1,199.750000,16.95,17.05,,,207.750000,18.05,18.15,,1,223.750000,15.55,15.65,,,239.750000,13.45,13.55,,,247.750000,12.95,13.05,,,303.750000,11.75,11.85,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,Transmission,UT,11:15:00 29-Jan-2017,10.00,2,,,, ,11,,-0.250000,24.25,24.35,,,71.750000,24.25,24.35,,,111.750000,23.85,23.95,,,143.750000,23.35,23.45,,,151.750000,21.75,21.85,,,167.750000,20.45,20.55,,,175.750000,18.65,18.75,,1,199.750000,16.95,17.05,,,207.750000,18.05,18.15,,1,239.750000,13.45,13.55,,,303.750000,11.75,11.85,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,Transmission,UT,11:35:00 30-Jan-2017,10.00,1,,,, ,11,,-0.250000,24.05,24.15,,,63.750000,23.75,23.85,,,111.750000,23.35,23.45,,,143.750000,22.15,22.25,,,167.750000,20.45,20.55,,,175.750000,18.65,18.75,,1,191.750000,17.45,17.55,,,199.750000,16.95,17.05,,,207.750000,18.05,18.15,,1,239.750000,13.45,13.55,,,303.750000,11.75,11.85,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,Transmission,UT,08:45:00 31-Jan-2017,10.00,3,,,, ,11,,-0.250000,23.85,23.95,,,111.750000,23.75,23.85,,,151.750000,21.75,21.85,,1,167.750000,20.45,20.55,,,175.750000,18.65,18.75,,1,199.750000,16.95,17.05,,,207.750000,18.05,18.15,,1,223.750000,15.55,15.65,,,239.750000,13.45,13.55,,,247.750000,12.95,13.05,,,303.750000,11.75,11.85,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,Transmission,UT,09:45:00 31-Jan-2017,10.00,6,,,, ,11,,-0.250000,23.85,23.95,,,95.750000,23.85,23.95,,,103.750000,23.05,23.15,,,127.750000,23.15,23.25,,,151.750000,21.75,21.85,,1,167.750000,20.45,20.55,,,175.750000,18.65,18.75,,1,199.750000,16.95,17.05,,,207.750000,18.05,18.15,,1,239.750000,13.45,13.55,,,303.750000,11.75,11.85,,,,,,,,,,,,,,,,,,,,,,
