DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
160379,160379,0.500000,UT,,,21:18:11 26-Oct-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,,21:18:54 26-Oct-2016,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,,21:21:46 26-Oct-2016,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,07:42:18 29-Jan-2017,07:42:18 29-Jan-2017,0,,21.5083,-158.1440,CRC,,,,25,3.325,,,24.20,0.5,,,,,,,,,,,,,169,100,,,,,,,,,83,258,122,
160379,160379,0.500000,UT,4.69b,,13:21:08 29-Jan-2017,,,21.5083,-158.1440,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,09:47:19 31-Jan-2017,09:47:19 31-Jan-2017,0,,21.5083,-158.1440,CRC,,,,75,3.300,,,24.00,0.5,,,,,,,,,,,,,209,100,,,,,,,,,185,270,129,
160379,160379,0.500000,UT,,16:14:02 04-Feb-2017,16:14:12 04-Feb-2017,10,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,00:18:12 05-Feb-2017,00:18:12 05-Feb-2017,0,,21.5083,-158.1440,CRC,,,,125,3.325,,,24.05,0.5,,,,,,,,,,,,,103,100,,,,,,,,,255,280,133,
160379,160379,0.500000,UT,,17:39:24 06-Feb-2017,17:39:34 06-Feb-2017,10,,,,CRC,,,,150,3.325,,,24.25,0.0,,,,,,,,,,,,,87,100,,,,,,,,,255,288,137,
160379,160379,0.500000,UT,,04:00:10 07-Feb-2017,04:00:20 07-Feb-2017,10,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,16:37:09 08-Feb-2017,16:37:09 08-Feb-2017,0,,21.5083,-158.1440,CRC,,,,200,3.325,,,23.90,0.5,,,,,,,,,,,,,202,100,,,,,,,,,255,295,142,
160379,160379,0.500000,UT,,18:00:50 20-Feb-2017,18:01:01 20-Feb-2017,11,1,21.5994,-158.1303,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,18:03:16 20-Feb-2017,18:03:27 20-Feb-2017,11,1,21.5994,-158.1303,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,4.79b,,08:10:08 22-Feb-2017,,,21.5668,-158.2589,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,06:54:44 06-Mar-2017,06:54:44 06-Mar-2017,0,,21.5083,-158.1440,CRC,,,,675,3.325,,,24.60,1.5,,,,,,,,,,,,,180,100,,,,,,,,,255,375,177,
160379,160379,0.500000,UT,,17:16:21 10-Mar-2017,17:16:34 10-Mar-2017,13,B,21.8055,-158.4072,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,17:32:47 13-Mar-2017,17:33:00 13-Mar-2017,13,A,21.4478,-160.5621,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:11:55 14-Mar-2017,04:12:08 14-Mar-2017,13,2,21.7576,-160.9660,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:14:40 14-Mar-2017,04:14:53 14-Mar-2017,13,2,21.7576,-160.9660,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:16:52 14-Mar-2017,04:17:05 14-Mar-2017,13,2,21.7576,-160.9660,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:42:31 14-Mar-2017,04:42:44 14-Mar-2017,13,3,21.7710,-160.9909,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:47:00 14-Mar-2017,04:47:13 14-Mar-2017,13,2,21.7764,-160.9754,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:47:57 14-Mar-2017,04:48:10 14-Mar-2017,13,3,21.7710,-160.9909,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:54:31 14-Mar-2017,04:54:43 14-Mar-2017,12,2,21.7764,-160.9754,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:20:39 16-Mar-2017,04:20:52 16-Mar-2017,13,B,22.2871,-160.8557,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,17:00:32 16-Mar-2017,17:00:45 16-Mar-2017,13,B,22.3367,-159.3912,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,03:31:16 17-Mar-2017,03:31:29 17-Mar-2017,13,0,22.1812,-160.2053,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,03:32:56 17-Mar-2017,03:33:09 17-Mar-2017,13,0,22.1812,-160.2053,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:08:16 17-Mar-2017,04:08:29 17-Mar-2017,13,2,22.1465,-160.1884,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,04:11:05 17-Mar-2017,04:11:18 17-Mar-2017,13,2,22.1465,-160.1884,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,16:31:53 18-Mar-2017,16:32:06 18-Mar-2017,13,A,22.0885,-160.3929,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
