,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
160375,10-Nov-2016,03:32:48,5,5.000000,,,0,6,21.5628,-157.8254,03:32:52.440001 10-Nov-2016,FastGPS,21.5628,-157.8254,,,5.3,-0.6,,,,15,3,9280,,,44,22,28761,,,,9,12185,,,,7,676,,,,30,16142,,,,2,31478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,10-Nov-2016,08:48:10,4,5.000000,,,0,7,21.5968,-157.8602,08:48:14.990001 10-Nov-2016,FastGPS,21.5968,-157.8602,,,12.5,-0.0,,,,15,5,2333,,,44,12,15872,,,,30,12447,,,,15,20062,,,,28,3276,,,,19,25386,,,,13,18578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,11-Nov-2016,03:39:02,2,5.000000,,,0,8,21.7198,-157.9342,03:39:06.36 11-Nov-2016,FastGPS,21.7198,-157.9342,,,7.1,-0.6,,,,15,3,16983,,,,2,938,,,,23,8009,,,,6,9838,,,,19,27756,,,,22,28142,,,,17,10794,,,,30,14632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,11-Nov-2016,07:44:50,4,5.000000,,,0,8,21.7316,-157.9646,07:44:54.530001 11-Nov-2016,FastGPS,21.7316,-157.9646,,,8.8,-0.5,,,,15,15,21182,,,,5,17890,,,,20,6109,,,,30,14717,,,,13,19126,,,,7,27446,,,,19,28892,,,,28,11426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,12-Nov-2016,05:34:35,3,5.000000,,,0,7,21.7507,-157.9928,05:34:39.670001 12-Nov-2016,FastGPS,21.7507,-157.9928,,1,1.1,-0.3,,,,15,4,12970,,,41,5,11058,,,,30,22234,,,,2,26942,,,,9,23168,,,,28,18866,,,,23,8208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,13-Nov-2016,08:05:23,1,5.000000,,,0,7,21.7459,-158.0212,08:05:28.390001 13-Nov-2016,FastGPS,21.7459,-158.0212,,1,4.8,0.4,,,,15,15,20328,,,43,20,10420,,,,19,25564,,,,13,23700,,,,5,23434,,,,17,786,,,,4,1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,13-Nov-2016,10:46:34,1,5.000000,,,0,4,21.7314,-158.0194,04:46:40 14-Nov-2016,NK,,,,,,,,,,15,12,31506,,,39,2,23284,,,,4,19728,,,,13,7324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,14-Nov-2016,02:09:40,2,6.000000,,,0,8,21.7267,-158.0117,02:09:46.030001 14-Nov-2016,FastGPS,21.7267,-158.0117,,,8.5,0.0,,,,15,9,7690,,,,17,4256,,,,19,20776,,,,11,9363,,,,22,7220,,,,23,15218,,,,1,16270,,,,3,29258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,14-Nov-2016,02:30:30,4,6.000000,,,0,6,21.7335,-158.0166,02:30:35.000001 14-Nov-2016,FastGPS,21.7335,-158.0166,,,10.6,-1.0,,,,15,22,22634,,,41,16,587,,,,6,8764,,,,19,5422,,,,23,28276,,,,17,16554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,14-Nov-2016,03:40:28,2,6.000000,,,0,6,21.7439,-158.0232,03:40:33.57 14-Nov-2016,FastGPS,21.7439,-158.0232,,,14.0,-0.4,,,,15,2,11275,,,42,7,14771,,,,30,22094,,,,9,32064,,,,22,16782,,,,23,18326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,14-Nov-2016,04:17:43,2,6.000000,,,0,4,21.7445,-158.0118,04:14:21 15-Nov-2016,NN,,,,,,,,,,15,2,17475,,,,9,29194,,,,28,23731,,,,4,29802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,14-Nov-2016,08:45:46,2,6.000000,,,0,6,21.7550,-157.9855,08:45:50.55 14-Nov-2016,FastGPS,21.7550,-157.9855,,,9.9,-1.4,,,,15,12,28246,,,39,5,16726,,,,19,23190,,,,17,15080,,,,28,11410,,,,15,24588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
