"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",160375,3395,,,,,,,0,NN,,401650000,11/10/2016 03:32:51,1,1,0,-131,401650000,,,,,,,,,,,,16,174,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160375,3395,21.73938,-157.92059,1,11/11/2016 05:05:31,Argos,0,311,NN,,401677221.39,11/11/2016 05:02:52,1,4,0,-120,401677221.39,-157.92059,21.73938,-157.9206,21.73938,40,3,569,1307,247,116,196,20,1,69,172,108,102,192,39,64,25,208,10,102,3,152,130,166,16,185,40,50,86,13,148,3,165,64,249,24,66,20,
"",160375,3395,21.73938,-157.92059,1,11/11/2016 05:05:31,Argos,0,311,NN,,401677221.39,11/11/2016 05:04:10,1,4,0,-120,401677221.39,-157.92059,21.73938,-157.9206,21.73938,40,3,569,1307,247,116,196,7,225,69,172,161,26,192,39,64,25,200,10,102,3,153,2,38,32,169,120,46,44,13,135,3,165,80,249,24,66,20,
"",160375,3395,21.73938,-157.92059,1,11/11/2016 05:05:31,Argos,0,311,NN,,401677221.39,11/11/2016 05:07:01,1,4,0,-120,401677221.39,-157.92059,21.73938,-157.9206,21.73938,40,3,569,1307,247,116,196,229,172,115,132,28,37,113,19,74,68,198,238,190,78,80,81,91,246,65,3,248,64,231,136,101,66,215,51,67,182,187,
"",160375,3395,21.73938,-157.92059,1,11/11/2016 05:05:31,Argos,0,311,NN,,401677221.39,11/11/2016 05:08:03,1,4,0,-120,401677221.39,-157.92059,21.73938,-157.9206,21.73938,40,3,569,1307,247,116,196,165,168,112,96,26,68,11,112,89,74,249,147,130,164,62,176,243,240,226,245,236,181,148,126,151,20,88,,,,,
"",160375,3395,21.7395,-157.92073,B,11/11/2016 06:57:50,Argos,0,0,MA,,401677219.21,11/11/2016 06:57:50,1,1,0,-131,401677219.21,-157.92073,21.7395,-157.92073,21.7395,8,3,8206,8926,7543,98,4060,19,161,139,77,136,239,193,212,226,0,64,216,36,6,33,131,23,153,76,166,116,56,0,,,,,,,,,
"",160375,3395,21.75883,-157.98181,B,11/11/2016 12:00:23,Argos,0,49,NP,,401677235.77,11/11/2016 11:59:59,1,2,0,-138,401677235.77,-157.98181,21.75883,-157.98181,21.75883,8,3,7137,14491,3514,46,4901,165,168,112,96,26,68,11,112,89,74,249,147,130,164,62,201,243,240,226,245,236,181,175,189,151,20,88,,,,,
"",160375,3395,21.75883,-157.98181,B,11/11/2016 12:00:23,Argos,0,49,NP,,401677235.77,11/11/2016 12:00:48,1,2,0,-138,401677235.77,-157.98181,21.75883,-157.98181,21.75883,8,3,7137,14491,3514,46,4901,19,161,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160375,3395,21.75767,-158.00477,B,11/11/2016 16:38:00,Argos,0,0,NK,,401677221.51,11/11/2016 16:38:01,1,1,0,-137,401677221.51,-158.00477,21.75767,-158.00478,21.75767,8,3,4381,5285,3631,56,7845,165,168,112,32,26,68,11,112,89,74,249,147,130,164,62,196,242,242,112,215,234,181,194,94,23,20,16,,,,,
"",160375,3395,21.76454,-158.04098,B,11/12/2016 03:49:28,Argos,0,0,NK,,401677221.74,11/12/2016 03:49:29,1,1,0,-132,401677221.74,-158.04098,21.76454,-158.04099,21.76454,8,2,6920,7754,6175,102,12387,197,169,24,20,40,145,214,62,0,243,9,247,206,94,226,62,224,204,211,198,85,178,36,150,193,226,196,18,203,0,0,
