DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
160375,160375,UT,DS,1,0,0,,,03:32:51 10-Nov-2016,NN,,,,,,,,401650000,-131
160375,160375,UT,DS,4,0,1,103,62,05:05:31 11-Nov-2016,NN,1,21.7394,-157.9206,21.7394,-157.9206,40,,401677221,-120
160375,160375,UT,DS,21,0,8,1684,1,05:04:09 11-Nov-2016,15X0004,,21.5083,-158.1440,,,,,,
160375,160375,UT,DS,1,0,0,,,06:57:50 11-Nov-2016,MA,B,21.7395,-157.9207,21.7395,-157.9207,8,,401677219,-131
160375,160375,UT,DS,2,0,1,49,49,12:00:23 11-Nov-2016,NP,B,21.7588,-157.9818,21.7588,-157.9818,8,,401677235,-138
160375,160375,UT,DS,21,0,2,1013,45,12:34:04 11-Nov-2016,15X0004,,21.5083,-158.1440,,,,,,
160375,160375,UT,DS,21,0,8,2609,46,16:13:42 11-Nov-2016,15X0004,,21.5083,-158.1440,,,,,,
160375,160375,UT,DS,1,0,1,,,16:38:00 11-Nov-2016,NK,B,21.7577,-158.0048,21.7577,-158.0048,8,,401677221,-137
160375,160375,UT,DS,1,0,0,,,03:49:28 12-Nov-2016,NK,B,21.7645,-158.0410,21.7645,-158.0410,8,,401677221,-132
160375,160375,UT,DS,3,0,3,90,52,04:49:20 12-Nov-2016,NN,A,21.7193,-158.0545,21.7193,-158.0545,,,401677214,-133
160375,160375,UT,DS,2,0,1,234,234,05:34:37 12-Nov-2016,NK,B,21.7306,-158.0406,21.7306,-158.0406,7,,401677227,-127
160375,160375,UT,DS,21,0,4,5118,45,05:38:31 12-Nov-2016,15X0004,,21.5083,-158.1440,,,,,,
160375,160375,UT,DS,1,0,0,,,05:54:20 12-Nov-2016,SR,B,21.7449,-158.0179,21.7449,-158.0179,6,,401677212,-134
160375,160375,UT,DS,1,0,0,,,06:42:59 12-Nov-2016,MA,B,21.7472,-157.9585,21.7472,-157.9585,8,,401677214,-120
160375,160375,UT,DS,5,0,1,47,45,13:22:38 12-Nov-2016,NP,0,21.7291,-157.8367,21.7291,-157.8367,58,,401677223,-127
160375,160375,UT,DS,1,0,0,,,00:41:40 13-Nov-2016,NP,B,21.7034,-157.7090,21.7034,-157.7090,8,,401677198,-127
160375,160375,UT,DS,1,0,1,,,02:20:45 13-Nov-2016,NP,B,21.7269,-157.9934,21.7269,-157.9934,7,,401677236,-132
160375,160375,UT,DS,1,0,1,,,04:38:52 13-Nov-2016,NN,B,21.7439,-158.0619,21.7439,-158.0619,8,,401677222,-128
160375,160375,UT,DS,2,0,1,58,58,08:04:57 13-Nov-2016,MA,B,21.7486,-158.1307,21.7486,-158.1307,8,,401677232,-120
160375,160375,UT,DS,21,0,16,3988,45,08:05:26 13-Nov-2016,15X0004,,21.5083,-158.1440,,,,,,
160375,160375,UT,DS,1,0,1,,,02:09:44 14-Nov-2016,NP,B,21.7255,-158.0343,21.7255,-158.0343,,,401677223,-135
160375,160375,UT,DS,2,0,2,48,48,03:00:44 14-Nov-2016,NK,B,21.7390,-158.0397,21.7390,-158.0397,7,,401677227,-129
160375,160375,UT,DS,1,0,1,,,03:12:01 14-Nov-2016,SR,B,21.7206,-158.0685,21.7206,-158.0685,7,,401677223,-135
160375,160375,UT,DS,21,0,14,389,45,04:02:53 14-Nov-2016,15X0004,,21.5083,-158.1440,,,,,,
160375,160375,UT,DS,3,0,1,72,53,04:25:14 14-Nov-2016,NN,A,21.7460,-158.0324,21.7460,-158.0324,8,,401677223,-129
160375,160375,UT,DS,4,0,4,94,45,04:46:40 14-Nov-2016,NK,2,21.7314,-158.0194,21.7314,-158.0194,56,,401677222,-126
160375,160375,UT,DS,1,0,1,,,04:49:25 14-Nov-2016,SR,B,21.7320,-158.0194,21.7320,-158.0194,6,,401677223,-131
160375,160375,UT,DS,21,0,17,1258,45,05:51:03 14-Nov-2016,15X0004,,21.5083,-158.1440,,,,,,
160375,160375,UT,DS,1,0,1,,,06:08:51 14-Nov-2016,NN,B,21.7396,-158.0092,21.7396,-158.0092,8,,401677214,-137
160375,160375,UT,DS,4,0,1,52,47,07:43:11 14-Nov-2016,MA,0,21.7215,-158.0185,21.7215,-158.0185,58,,401677225,-114
160375,160375,UT,DS,1,0,0,,,09:20:45 14-Nov-2016,MA,B,21.7229,-158.0103,21.7229,-158.0103,8,,401677234,-133
160375,160375,UT,DS,21,0,12,3267,1,13:18:25 14-Nov-2016,15X0004,,21.5083,-158.1440,,,,,,
