DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
160375,160375,UT,05:07:01 11-Nov-2016,,,1,21.7394,-157.9206,Length 31?,03:39:02 11-Nov-2016,Fast-GPS,229,172,115,132,28,37,113,19,74,68,198,238,190,78,80,81,91,246,65,3,248,64,231,136,101,66,215,51,67,182,187,
160375,160375,UT,05:07:00 11-Nov-2016,,,,21.5083,-158.1440,Length 5?,03:39:02 11-Nov-2016,Fast-GPS,229,172,115,132,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,UT,05:07:01 11-Nov-2016,,,,21.5083,-158.1440,Length 6?,03:39:02 11-Nov-2016,Fast-GPS,229,172,115,132,28,37,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,UT,07:46:00 11-Nov-2016,,,,21.5083,-158.1440,CRC 10.6,07:46:00 11-Nov-2016,Status,74,80,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,UT,10:46:54 11-Nov-2016,,,,21.5083,-158.1440,Length 14?,03:39:02 11-Nov-2016,Fast-GPS,229,172,115,132,28,37,113,3,170,185,244,147,38,110,,,,,,,,,,,,,,,,,,
160375,160375,UT,10:48:17 11-Nov-2016,,,,21.5083,-158.1440,Length 6?,03:32:48 10-Nov-2016,Fast-GPS,165,168,112,96,26,68,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,UT,11:03:34 11-Nov-2016,,,,21.5083,-158.1440,CRC 69.227,08:45:00 10-Nov-2016,PDT,8,161,69,169,16,102,192,38,192,73,176,22,108,6,,,,,,,,,,,,,,,,,,
160375,160375,UT,11:03:34 11-Nov-2016,,,,21.5083,-158.1440,CRC 69.104,08:45:00 10-Nov-2016,PDT,8,161,69,169,16,102,192,38,192,73,176,22,108,6,154,,,,,,,,,,,,,,,,,
160375,160375,UT,11:24:37 11-Nov-2016,,,,21.5083,-158.1440,CRC 224.38,07:45:00 11-Nov-2016,PDT,28,1,69,172,240,34,192,39,64,25,208,14,108,5,153,2,165,240,185,88,50,36,13,135,,,,,,,,
160375,160375,UT,12:00:48 11-Nov-2016,,,B,21.7588,-157.9818,CRC 3.7,12:00:48 11-Nov-2016,Status,19,161,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160375,160375,UT,15:29:52 11-Nov-2016,,,,21.5083,-158.1440,CRC 5.10,,,229,172,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
