DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
160381,160381,UT,22:55:00 10-May-2017,User,,21.4537,-157.7912,,,,,,,,,,
160381,160381,UT,12:31:15.57 13-May-2017,FastGPS,,21.3584,-157.4039,,,,,,,,,,
160381,160381,UT,14:43:35.55 18-May-2017,FastGPS,,21.2206,-157.4168,,,,,,,,,,
160381,160381,UT,08:47:07.86 22-May-2017,FastGPS,,21.2188,-157.5769,,,,,,,,,,
160381,160381,UT,01:54:15.37 01-Jun-2017,FastGPS,,21.4625,-157.7698,,,,,,,,,,
160381,160381,UT,03:42:51.41 02-Jun-2017,FastGPS,,21.4625,-157.7230,,,,,,,,,,
160381,160381,UT,04:19:32 02-Jun-2017,Argos,B,21.4668,-157.7446,,,,,,,,,,
160381,160381,UT,04:21:53 02-Jun-2017,Argos,A,21.4564,-157.7376,347,1600,75,140,,,,,,
160381,160381,UT,04:49:22 02-Jun-2017,Argos,2,21.4615,-157.7589,427,888,205,94,,,,,,
160381,160381,UT,00:47:41 03-Jun-2017,Argos,B,21.4589,-157.7574,11921,32642,4353,64,,,,,,
160381,160381,UT,06:05:01 03-Jun-2017,Argos,B,21.4571,-157.7592,10878,18818,6287,70,,,,,,
160381,160381,UT,00:29:57 04-Jun-2017,Argos,B,21.4577,-157.7520,13541,16068,11410,74,,,,,,
160381,160381,UT,04:01:23 04-Jun-2017,Argos,B,21.4554,-157.7412,4766,9822,2312,28,,,,,,
160381,160381,UT,04:01:23 04-Jun-2017,Argos,B,21.4627,-157.7395,3686,6961,1951,45,,,,,,
160381,160381,UT,04:57:50 04-Jun-2017,Argos,2,21.4615,-157.7727,306,1198,78,101,,,,,,
160381,160381,UT,07:55:03 04-Jun-2017,Argos,B,21.4596,-157.8022,4291,4602,4001,89,,,,,,
160381,160381,UT,04:53:53 06-Jun-2017,Argos,A,21.4631,-157.7495,711,3847,131,136,,,,,,
160381,160381,UT,05:11:15 06-Jun-2017,Argos,0,21.4587,-157.7878,1929,31877,116,77,,,,,,
160381,160381,UT,05:31:19 06-Jun-2017,Argos,B,21.4562,-157.7916,2207,8710,559,113,,,,,,
160381,160381,UT,04:54:46 08-Jun-2017,Argos,A,21.4637,-157.7667,188,349,101,125,,,,,,
