"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",160381,3395,,,,,,,0,NP,,401650000,05/18/2017 14:43:34,1,1,0,-129,401650000,,,,,,,,,,,,27,1,149,128,0,52,130,212,202,0,129,8,48,8,33,147,33,151,204,102,51,72,0,,,,,,,,,
"",160381,3395,,,,,,,0,NN,,401650000,05/23/2017 06:15:59,1,1,0,-133,401650000,,,,,,,,,,,,30,161,149,152,0,52,130,212,214,0,128,144,34,7,1,219,174,8,237,165,187,14,65,,,,,,,,,
"",160381,3395,,,,,,,0,SR,,401650000,05/25/2017 05:04:40,1,1,0,-131,401650000,,,,,,,,,,,,6,1,74,228,150,174,192,38,192,105,144,50,86,16,137,4,32,56,91,84,239,212,106,215,14,140,19,169,239,97,162,
"",160381,3395,,,,,,,0,NN,,401650000,05/31/2017 06:29:07,1,1,0,-130,401650000,,,,,,,,,,,,19,193,149,198,5,48,74,141,182,252,179,17,139,19,155,82,104,166,169,60,237,210,73,,,,,,,,,
"",160381,3395,,,,,,,0,NP,,401650000,06/02/2017 02:44:16,1,1,0,-132,401650000,,,,,,,,,,,,30,129,150,8,16,55,66,212,226,0,208,9,152,28,75,24,156,157,198,35,28,128,196,,,,,,,,,
"",160381,3395,21.46684,-157.74455,B,06/02/2017 04:19:32,Argos,0,52,SR,,401650000,06/02/2017 04:19:06,1,2,0,-122,401650000,-157.74455,21.46684,-157.74455,21.46684,6,3,0,0,0,142,2701,11,33,149,160,0,48,66,212,222,0,128,112,31,6,136,190,115,151,76,230,170,15,255,,,,,,,,,
"",160381,3395,21.45638,-157.73757,A,06/02/2017 04:21:53,Argos,0,452,NN,,401677331.86,06/02/2017 04:19:06,1,3,0,-128,401677331.86,-157.73757,21.45638,-157.73756,21.45638,6,3,347,1600,75,140,939,11,33,149,160,0,48,66,212,222,0,128,112,31,6,136,190,115,151,76,228,163,248,0,,,,,,,,,
"",160381,3395,21.46684,-157.74455,B,06/02/2017 04:19:32,Argos,0,52,SR,,401650000,06/02/2017 04:19:58,1,2,0,-122,401650000,-157.74455,21.46684,-157.74455,21.46684,6,3,0,0,0,142,2701,19,225,149,192,2,114,130,212,214,0,128,64,17,4,34,35,17,152,77,166,243,232,0,,,,,,,,,
"",160381,3395,21.45638,-157.73757,A,06/02/2017 04:21:53,Argos,0,452,NN,,401677331.86,06/02/2017 04:19:58,1,3,0,-128,401677331.86,-157.73757,21.45638,-157.73756,21.45638,6,3,347,1600,75,140,939,19,225,149,192,2,114,130,212,214,0,128,64,17,4,34,35,17,152,77,166,243,232,8,,,,,,,,,
"",160381,3395,21.45638,-157.73757,A,06/02/2017 04:21:53,Argos,0,452,NN,,401677331.86,06/02/2017 04:26:38,1,3,0,-128,401677331.86,-157.73757,21.45638,-157.73756,21.45638,6,3,347,1600,75,140,939,202,228,161,192,223,179,181,87,184,237,22,18,6,89,255,168,140,206,151,168,18,245,242,118,71,20,191,235,100,196,117,
"",160381,3395,21.46152,-157.75889,2,06/02/2017 04:49:22,Argos,0,278,NK,,401677360.24,06/02/2017 04:46:42,1,4,0,-121,401677360.24,-157.75889,21.46152,-157.7589,21.46152,56,3,427,888,205,94,250,3,97,149,200,16,116,130,212,230,0,192,56,13,4,2,47,16,154,77,166,243,232,0,,,,,,,,,
"",160381,3395,21.46152,-157.75889,2,06/02/2017 04:49:22,Argos,0,278,NK,,401677360.24,06/02/2017 04:49:06,1,4,0,-121,401677360.24,-157.75889,21.46152,-157.7589,21.46152,56,3,427,888,205,94,250,16,41,74,232,187,254,132,39,97,121,172,49,232,25,87,94,204,202,135,45,181,50,169,59,190,229,108,144,143,17,231,
