DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
160381,160381,UT,DS,1,0,0,,,14:43:34 18-May-2017,NP,,,,,,,,401650000,-129
160381,160381,UT,DS,1,0,1,,,06:15:59 23-May-2017,NN,,,,,,,,401650000,-133
160381,160381,UT,DS,1,0,1,,,05:04:40 25-May-2017,SR,,,,,,,,401650000,-131
160381,160381,UT,DS,1,0,1,,,06:29:07 31-May-2017,NN,,,,,,,,401650000,-130
160381,160381,UT,DS,1,0,1,,,02:44:16 02-Jun-2017,NP,,,,,,,,401650000,-132
160381,160381,UT,DS,2,0,1,52,52,04:19:32 02-Jun-2017,SR,B,21.4668,-157.7446,21.4668,-157.7446,6,,401650000,-122
160381,160381,UT,DS,3,0,2,226,52,04:21:53 02-Jun-2017,NN,A,21.4564,-157.7376,21.4564,-157.7376,6,,401677331,-128
160381,160381,UT,DS,4,0,2,92,57,04:49:22 02-Jun-2017,NK,2,21.4615,-157.7589,21.4615,-157.7589,56,,401677360,-121
160381,160381,UT,DS,1,0,1,,,00:47:41 03-Jun-2017,NP,B,21.4589,-157.7574,21.4589,-157.7574,,,401677359,-130
160381,160381,UT,DS,1,0,1,,,06:05:01 03-Jun-2017,NK,B,21.4571,-157.7592,21.4571,-157.7592,8,,401677358,-133
160381,160381,UT,DS,1,0,1,,,00:29:57 04-Jun-2017,NP,B,21.4577,-157.7520,21.4577,-157.7520,,,401677363,-140
160381,160381,UT,DS,1,0,1,,,04:01:23 04-Jun-2017,NN,B,21.4554,-157.7412,21.4554,-157.7412,8,,401677361,-133
160381,160381,UT,DS,1,0,1,,,04:01:23 04-Jun-2017,NK,B,21.4627,-157.7395,21.4627,-157.7395,,,401677360,-129
160381,160381,UT,DS,5,0,4,170,80,04:57:50 04-Jun-2017,SR,2,21.4615,-157.7727,21.4615,-157.7727,58,,401677359,-124
160381,160381,UT,DS,1,0,0,,,07:55:03 04-Jun-2017,MA,B,21.4596,-157.8022,21.4596,-157.8022,8,,401677359,-130
160381,160381,UT,DS,3,0,2,320,57,04:53:53 06-Jun-2017,NK,A,21.4631,-157.7495,21.4631,-157.7495,,,401677358,-129
160381,160381,UT,DS,6,0,4,105,51,05:11:15 06-Jun-2017,NN,0,21.4587,-157.7878,21.4587,-157.7878,56,,401677357,-127
160381,160381,UT,DS,2,0,2,137,137,05:31:19 06-Jun-2017,SR,B,21.4562,-157.7916,21.4562,-157.7916,6,,401677356,-131
160381,160381,UT,DS,3,0,2,200,128,04:54:46 08-Jun-2017,NN,A,21.4637,-157.7667,21.4637,-157.7667,,,401677358,-127
160381,160381,UT,DS,1,0,1,,,01:23:13 09-Jun-2017,NP,B,21.4543,-157.8510,21.4543,-157.8510,,,401677352,-131
160381,160381,UT,DS,2,0,2,58,58,15:17:12 10-Jun-2017,NP,B,21.4404,-157.6599,21.4404,-157.6599,,,401677345,-127
160381,160381,UT,DS,4,0,1,75,61,17:05:48 10-Jun-2017,NN,1,21.4254,-157.6498,21.4254,-157.6498,57,,401677364,-126
160381,160381,UT,DS,4,0,0,54,54,17:11:33 10-Jun-2017,NK,1,21.4242,-157.6535,21.4242,-157.6535,56,,401677364,-129
160381,160381,UT,DS,1,0,0,,,03:32:43 13-Jun-2017,NK,,,,,,,,401650000,-127
160381,160381,UT,DS,1,0,0,,,03:32:43 13-Jun-2017,SR,,,,,,,,401650000,-138
160381,160381,UT,DS,1,0,0,,,04:54:30 14-Jun-2017,NK,,,,,,,,401650000,-129
160381,160381,UT,DS,1,0,1,,,16:02:31 15-Jun-2017,NN,,,,,,,,401650000,-140
160381,160381,UT,DS,6,0,5,86,48,16:48:17 15-Jun-2017,NK,2,21.4884,-157.7691,21.4884,-157.7691,50,,401677355,-126
160381,160381,UT,DS,5,0,4,109,50,16:54:34 15-Jun-2017,SR,3,21.4811,-157.7668,21.4811,-157.7668,56,,401677363,-135
160381,160381,UT,DS,2,0,1,411,411,16:23:27 16-Jun-2017,SR,B,21.5371,-157.7682,21.5371,-157.7682,,,401677365,-128
160381,160381,UT,DS,2,0,1,411,411,16:30:17 16-Jun-2017,NK,B,21.5366,-157.8125,21.5366,-157.8125,6,,401677362,-128
160381,160381,UT,DS,2,0,2,134,134,17:33:29 16-Jun-2017,NN,B,21.5587,-157.8311,21.5587,-157.8311,8,,401677357,-125
160381,160381,UT,DS,1,0,0,,,18:02:07 16-Jun-2017,NK,B,21.5722,-157.8471,21.5722,-157.8471,6,,401677355,-126
