DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
160381,160381,UT,06:15:59 23-May-2017,,,,,,CRC 245.58,00:00:00 19-May-2017,CumulativeDist,30,161,149,152,0,52,130,212,214,0,128,144,34,7,1,219,174,8,237,165,187,14,65,,,,,,,,,
160381,160381,UT,05:04:40 25-May-2017,,,,,,CRC 48.217,04:55:00 25-May-2017,PDT,6,1,74,228,150,174,192,38,192,105,144,50,86,16,137,4,32,56,91,84,239,212,106,215,14,140,19,169,239,97,162,
160381,160381,UT,06:29:07 31-May-2017,,,,,,CRC 158.146,,CumulativeDist,19,193,149,198,5,48,74,141,182,252,179,17,139,19,155,82,104,166,169,60,237,210,73,,,,,,,,,
160381,160381,UT,02:44:16 02-Jun-2017,,,,,,CRC 244.212,00:00:00 01-Jun-2017,CumulativeDist,30,129,150,8,16,55,66,212,226,0,208,9,152,28,75,24,156,157,198,35,28,128,196,,,,,,,,,
160381,160381,UT,04:19:06 02-Jun-2017,,,B,21.4668,-157.7446,CRC 89.156,00:00:00 20-May-2017,CumulativeDist,11,33,149,160,0,48,66,212,222,0,128,112,31,6,136,190,115,151,76,230,170,15,255,,,,,,,,,
160381,160381,UT,04:19:06 02-Jun-2017,,,A,21.4564,-157.7376,CRC 89.216,00:00:00 20-May-2017,CumulativeDist,11,33,149,160,0,48,66,212,222,0,128,112,31,6,136,190,115,151,76,228,163,248,0,,,,,,,,,
160381,160381,UT,04:19:58 02-Jun-2017,,,A,21.4564,-157.7376,CRC 159.236,00:00:00 24-May-2017,CumulativeDist,19,225,149,192,2,114,130,212,214,0,128,64,17,4,34,35,17,152,77,166,243,232,8,,,,,,,,,
160381,160381,UT,04:49:06 02-Jun-2017,,,2,21.4615,-157.7589,CRC 129.155,,,16,41,74,232,187,254,132,39,97,121,172,49,232,25,87,94,204,202,135,45,181,50,169,59,190,229,108,144,143,17,231,
160381,160381,UT,04:51:20 02-Jun-2017,,,2,21.4615,-157.7589,CRC 241.123,05:55:00 27-May-2017,PDT,30,33,74,236,180,46,192,40,128,26,32,10,114,8,154,130,101,160,169,80,46,27,83,127,179,28,30,197,89,198,58,
160381,160381,UT,00:47:41 03-Jun-2017,,,B,21.4589,-157.7574,Length 31?,12:30:54 13-May-2017,Fast-GPS,202,181,143,108,14,146,250,46,14,192,31,54,100,172,146,101,0,16,97,74,125,240,8,7,16,183,157,33,195,191,159,
160381,160381,UT,06:05:01 03-Jun-2017,,,B,21.4571,-157.7592,CRC 138.122,18:28:28 27-Oct-2016,DSA,17,64,74,220,192,177,228,39,101,107,50,107,168,109,89,17,84,245,232,160,22,101,241,170,252,218,77,113,120,101,228,
160381,160381,UT,00:29:58 04-Jun-2017,,,B,21.4577,-157.7520,CRC 16.74,00:00:00 03-Jun-2017,CumulativeDist,2,1,150,24,24,53,66,212,218,0,96,80,14,93,131,61,4,32,230,191,26,254,244,,,,,,,,,
160381,160381,UT,04:01:23 04-Jun-2017,,,B,21.4554,-157.7412,CRC 199.213,,PDT,24,225,73,150,94,77,91,22,96,2,208,104,208,61,134,201,44,204,244,250,108,182,158,7,109,197,195,190,1,222,164,
160381,160381,UT,04:01:23 04-Jun-2017,,,B,21.4627,-157.7395,CRC 199.140,03:35:00 04-Jun-2017,PDT,24,225,75,16,110,45,115,151,104,41,115,176,233,183,48,25,127,150,225,253,39,231,186,202,180,226,251,180,183,62,145,
160381,160381,UT,04:52:32 04-Jun-2017,,,2,21.4615,-157.7727,CRC 246.63,06:45:00 31-May-2017,PDT,30,193,74,252,208,26,192,41,32,26,72,126,118,5,146,137,120,77,242,191,239,115,182,95,236,25,217,18,12,127,16,
160381,160381,UT,04:56:08 04-Jun-2017,,,2,21.4615,-157.7727,CRC 58.107,00:00:00 09-Dec-2016,Cumulative Status,7,67,88,78,245,162,128,38,192,89,145,54,76,2,136,212,228,84,104,200,97,254,33,104,136,214,147,100,121,26,228,
160381,160381,UT,04:57:39 04-Jun-2017,,,2,21.4615,-157.7727,CRC 142.184,21:54:38 23-Jun-2017,Status,81,193,117,81,254,154,79,245,95,198,252,253,190,189,118,152,158,68,85,150,29,201,240,,,,,,,,,
