,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
160381,13-May-2017,12:30:54,1,20.000000,,,0,7,,,,,,,,,,,,,,15,1,24877,,,43,22,8139,,,,9,8100,,,,19,3847,,,,17,12162,,,,23,16954,,,,3,22356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,18-May-2017,14:43:14,2,20.000000,,,0,5,,,,,,,,,,,,,,15,3,22878,,,42,22,18951,,,,1,2932,,,,17,25400,,,,19,8776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,22-May-2017,08:46:46,2,21.000000,,,0,7,,,,,,,,,,,,,,15,14,13517,,,44,27,25312,,,,32,3796,,,,16,18580,,,,1,14830,,,,8,12934,,,,3,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,25-May-2017,05:03:32,2,21.000000,,,0,4,,,,,,,,,,,,,,15,27,31547,,,,10,22456,,,,29,20833,,,,4,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,01-Jun-2017,01:53:53,2,22.000000,,,0,6,,,,,,,,,,,,,,15,12,21411,,,43,20,7881,,,,25,20637,,,,31,5685,,,,4,26758,,,,26,18260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,02-Jun-2017,03:42:29,1,22.000000,,,0,8,,,,,,,,,,,,,,15,18,31308,,,,10,14670,,,,16,323,,,,21,17451,,,,29,4774,,,,25,13412,,,,26,18744,,,,20,11444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,10-Jun-2017,14:42:13,1,22.000000,,,0,5,,,,,,,,,,,,,,15,5,2422,,,44,3,13985,,,,2,15684,,,,23,18014,,,,7,15904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,10-Jun-2017,17:02:55,1,22.000000,,,0,4,,,,,,,,,,,,,,15,17,18272,,,,5,25376,,,,20,1164,,,,28,3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,12-Jun-2017,13:49:23,1,23.000000,,,0,4,,,,,,,,,,,,,,15,9,15164,,,,6,23984,,,,30,2910,,,,7,24342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,14-Jun-2017,04:14:15,1,23.000000,,,0,8,,,,,,,,,,,,,,15,10,5300,,,,18,27686,,,,27,31739,,,,21,20137,,,,26,12170,,,,14,27968,,,,31,16084,,,,4,16876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,15-Jun-2017,04:16:26,2,23.000000,,,0,4,,,,,,,,,,,,,,15,16,24584,,,,27,6113,,,,32,17300,,,,18,4158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,18-Jun-2017,20:00:05,1,23.000000,,,0,7,,,,,,,,,,,,,,15,12,22115,,,44,17,20004,,,,25,21889,,,,2,2399,,,,20,10688,,,,24,13046,,,,29,13812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,22-Jun-2017,17:55:17,1,24.000000,,,0,6,,,,,,,,,,,,,,15,5,4860,,,43,12,10460,,,,24,2715,,,,19,19372,,,,20,22924,,,,28,27984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,28-Jun-2017,17:45:55,1,24.000000,,,0,7,,,,,,,,,,,,,,15,19,16996,,,43,24,23707,,,,15,26952,,,,5,940,,,,12,8748,,,,17,25500,,,,28,6474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,01-Jul-2017,16:45:23,1,24.000000,,,0,1,,,,,,,,,,,,,,15,24,23868,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,24-Jul-2017,02:31:52,2,26.000000,,,0,6,,,,,,,,,,,,,,15,8,10632,,,37,10,26056,,,,18,21015,,,,22,19110,,,,26,20716,,,,1,8338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,25-Jul-2017,16:27:52,1,27.000000,,,0,8,,,,,,,,,,,,,,15,5,5736,,,,17,22333,,,,25,22060,,,,12,18843,,,,19,22320,,,,20,14762,,,,13,27638,,,,15,12278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,25-Jul-2017,18:05:31,1,27.000000,,,0,5,,,,,,,,,,,,,,15,29,674,,,41,15,16648,,,,13,1236,,,,2,2670,,,,6,17900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,10-Aug-2017,19:57:41,1,28.000000,,,0,4,,,,,,,,,,,,,,15,31,30277,,,,21,32330,,,,29,20888,,,,32,14036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,20-Aug-2017,18:55:07,1,29.000000,,,0,4,,,,,,,,,,,,,,15,31,6340,,,,32,15296,,,,14,9073,,,,21,11704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,25-Aug-2017,01:26:07,1,29.000000,,,0,4,,,,,,,,,,,,,,15,32,26920,,,,10,20550,,,,22,18405,,,,27,23042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,14-Sep-2017,02:14:42,1,31.000000,,,0,4,,,,,,,,,,,,,,15,23,3542,,,,27,15832,,,,4,20025,,,,28,9905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,29-Sep-2017,17:35:10,1,33.000000,,,0,4,,,,,,,,,,,,,,15,14,25534,,,38,18,10569,,,,31,18298,,,,26,23380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,30-Sep-2017,18:04:59,1,33.000000,,,0,5,,,,,,,,,,,,,,15,26,14137,,,39,4,5807,,,,29,18872,,,,5,20758,,,,20,31810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,01-Oct-2017,17:45:45,1,33.000000,,,0,4,,,,,,,,,,,,,,15,12,19670,,,,20,9869,,,,18,25004,,,,14,10637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,13-Oct-2017,01:47:14,1,34.000000,,,0,4,,,,,,,,,,,,,,15,9,1168,,,,8,27429,,,,19,22806,,,,17,19519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,23-Oct-2017,17:39:08,1,35.000000,,,0,5,,,,,,,,,,,,,,15,25,6823,,,40,16,23424,,,,10,16586,,,,18,14952,,,,27,22956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,24-Oct-2017,00:50:36,1,35.000000,,,0,4,,,,,,,,,,,,,,15,17,7694,,,,3,28557,,,,23,7428,,,,31,4308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,04-Nov-2017,17:08:41,1,36.000000,,,0,8,,,,,,,,,,,,,,15,31,13803,,,,29,19388,,,,18,7371,,,,4,32202,,,,10,22004,,,,16,14560,,,,27,26366,,,,20,25768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,05-Nov-2017,20:14:41,1,36.000000,,,0,4,,,,,,,,,,,,,,15,22,10121,,,,1,19495,,,,16,18826,,,,11,9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,07-Nov-2017,00:06:51,1,36.000000,,,0,4,,,,,,,,,,,,,,15,17,3120,,,,3,2632,,,,1,30880,,,,19,10724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,14-Nov-2017,18:35:19,1,37.000000,,,0,4,,,,,,,,,,,,,,15,8,16732,,,38,18,15104,,,,10,29636,,,,27,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
