DeployID,Ptt,DepthSensor,Source,Instr,Date,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,MinTemp15,MaxTemp15,%Ox15,Discont15
160381,160381,0.500000,Transmission,UT,06:05:00 23-May-2017,21.00,1,,,, ,11,,-0.250000,26.35,26.45,,,23.750000,25.85,25.95,,,87.750000,25.65,25.75,,,135.750000,22.35,22.45,,,143.750000,22.25,22.35,,,151.750000,24.75,24.85,,1,191.750000,20.45,20.55,,,263.750000,16.25,16.35,,,279.750000,12.95,13.05,,1,399.750000,8.85,8.95,,,559.750000,6.45,6.55,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,Transmission,UT,04:25:00 24-May-2017,21.00,1,,,, ,11,,-0.250000,25.75,25.85,,,47.750000,25.75,25.85,,,143.750000,22.25,22.35,,1,151.750000,24.75,24.85,,1,175.750000,23.05,23.15,,,191.750000,20.45,20.55,,,263.750000,16.25,16.35,,,271.750000,15.45,15.55,,,279.750000,12.95,13.05,,1,399.750000,8.85,8.95,,,559.750000,6.45,6.55,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,Transmission,UT,03:35:00 04-Jun-2017,22.00,1,,,, ,11,,-0.250000,25.95,26.05,,,15.750000,25.95,26.05,,,23.750000,25.25,25.35,,,31.750000,25.05,25.15,,,39.750000,25.25,25.35,,1,71.750000,25.05,25.15,,,95.750000,24.65,24.75,,,111.750000,24.05,24.15,,,119.750000,23.25,23.35,,,127.750000,22.85,22.95,,,135.750000,22.75,22.85,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,Transmission,UT,17:05:00 10-Jun-2017,22.00,1,,,, ,11,,-0.250000,26.05,26.15,,,47.750000,25.65,25.75,,,103.750000,24.45,24.55,,,127.750000,22.95,23.05,,1,175.750000,21.45,21.55,,,207.750000,19.55,19.65,,,255.750000,15.35,15.45,,,287.750000,13.55,13.65,,,415.750000,8.65,8.75,,,631.750000,5.45,5.55,,,783.750000,4.95,5.05,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,Transmission,UT,03:15:00 11-Jun-2017,22.00,1,,,, ,11,,-0.250000,26.05,26.15,,,7.750000,26.05,26.15,,,15.750000,25.45,25.55,,,39.750000,25.75,25.85,,,79.750000,24.15,24.25,,,111.750000,24.15,24.25,,1,167.750000,21.75,21.85,,,287.750000,13.55,13.65,,,415.750000,8.65,8.75,,,631.750000,5.45,5.55,,,783.750000,4.95,5.05,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,Transmission,UT,13:45:00 12-Jun-2017,23.00,2,,,, ,11,,-0.250000,27.05,27.15,,,7.750000,26.15,26.25,,1,95.750000,24.65,24.75,,,151.750000,21.75,21.85,,,175.750000,21.15,21.25,,,199.750000,20.05,20.15,,,263.750000,14.15,14.25,,,343.750000,11.45,11.55,,,375.750000,9.65,9.75,,,503.750000,6.55,6.65,,,783.750000,4.95,5.05,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,Transmission,UT,03:35:00 13-Jun-2017,23.00,1,,,, ,11,,-0.250000,27.35,27.45,,,7.750000,27.55,27.65,,,15.750000,26.35,26.45,,,39.750000,25.15,25.25,,,87.750000,25.25,25.35,,1,135.750000,22.45,22.55,,,199.750000,20.05,20.15,,,263.750000,14.15,14.25,,,367.750000,9.85,9.95,,,503.750000,6.55,6.65,,,783.750000,4.95,5.05,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,Transmission,UT,19:55:00 18-Jun-2017,23.00,1,,,, ,11,,-0.250000,26.35,26.45,,,7.750000,25.95,26.05,,1,39.750000,25.95,26.05,,,103.750000,23.05,23.15,,,183.750000,20.75,20.85,,,231.750000,16.85,16.95,,,295.750000,12.65,12.75,,,319.750000,11.55,11.65,,,567.750000,6.15,6.25,,,655.750000,5.15,5.25,,,815.750000,4.65,4.75,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,Transmission,UT,17:55:00 22-Jun-2017,24.00,1,,,, ,11,,-0.250000,26.65,26.75,,,23.750000,26.35,26.45,,,31.750000,26.15,26.25,,,47.750000,24.35,24.45,,,71.750000,22.65,22.75,,,143.750000,19.05,19.15,,,167.750000,17.25,17.35,,,311.750000,11.35,11.45,,,503.750000,7.15,7.25,,,591.750000,5.85,5.95,,,847.750000,4.45,4.55,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,Transmission,UT,20:35:00 27-Jun-2017,24.00,1,,,, ,11,,-0.250000,26.45,26.55,,,15.750000,27.15,27.25,,,31.750000,26.05,26.15,,,39.750000,24.85,24.95,,,79.750000,24.15,24.25,,,87.750000,22.65,22.75,,,183.750000,20.45,20.55,,,255.750000,14.25,14.35,,,431.750000,8.35,8.45,,,567.750000,6.15,6.25,,,831.750000,4.45,4.55,,,,,,,,,,,,,,,,,,,,,,
