Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
3395,160381,23,NP, ,3,18-May-2017,14:43:34,,,,401650000,-129,,0,18-May-2017,14:43:34,,,,,,,,,,27,1,149,128,0,52,130,212,202,0,129,8,48,8,33,147,33,151,204,102,51,72,0,,,,,,,,,
3395,160381,23,NN, ,4,23-May-2017,06:15:59,,,,401650000,-133,,0,23-May-2017,06:15:59,,,,,,,,,,30,161,149,152,0,52,130,212,214,0,128,144,34,7,1,219,174,8,237,165,187,14,65,,,,,,,,,
3395,160381,31,SR, ,5,25-May-2017,05:04:40,,,,401650000,-131,,0,25-May-2017,05:04:40,,,,,,,,,,6,1,74,228,150,174,192,38,192,105,144,50,86,16,137,4,32,56,91,84,239,212,106,215,14,140,19,169,239,97,162,
3395,160381,23,NN, ,6,31-May-2017,06:29:07,,,,401650000,-130,,0,31-May-2017,06:29:07,,,,,,,,,,19,193,149,198,5,48,74,141,182,252,179,17,139,19,155,82,104,166,169,60,237,210,73,,,,,,,,,
3395,160381,23,NP, ,7,02-Jun-2017,02:44:16,,,,401650000,-132,,0,02-Jun-2017,02:44:16,,,,,,,,,,30,129,150,8,16,55,66,212,226,0,208,9,152,28,75,24,156,157,198,35,28,128,196,,,,,,,,,
3395,160381,23,SR,B,8,02-Jun-2017,04:19:32,21.4668,-157.7446,,401650000,-122,6,0,02-Jun-2017,04:19:06,21.4668,-157.7446,52,,,,,,,11,33,149,160,0,48,66,212,222,0,128,112,31,6,136,190,115,151,76,230,170,15,255,,,,,,,,,
3395,160381,23,SR,B,8,02-Jun-2017,04:19:32,21.4668,-157.7446,,401650000,-122,6,0,02-Jun-2017,04:19:58,21.4668,-157.7446,52,,,,,,,19,225,149,192,2,114,130,212,214,0,128,64,17,4,34,35,17,152,77,166,243,232,0,,,,,,,,,
3395,160381,23,NN,A,9,02-Jun-2017,04:21:53,21.4564,-157.7376,,401677331,-128,6,0,02-Jun-2017,04:19:06,21.4564,-157.7376,452,347,1600,75,140,,,11,33,149,160,0,48,66,212,222,0,128,112,31,6,136,190,115,151,76,228,163,248,0,,,,,,,,,
3395,160381,23,NN,A,9,02-Jun-2017,04:21:53,21.4564,-157.7376,,401677331,-128,6,0,02-Jun-2017,04:19:58,21.4564,-157.7376,452,347,1600,75,140,,,19,225,149,192,2,114,130,212,214,0,128,64,17,4,34,35,17,152,77,166,243,232,8,,,,,,,,,
3395,160381,31,NN,A,9,02-Jun-2017,04:21:53,21.4564,-157.7376,,401677331,-128,6,0,02-Jun-2017,04:26:38,21.4564,-157.7376,452,347,1600,75,140,,,202,228,161,192,223,179,181,87,184,237,22,18,6,89,255,168,140,206,151,168,18,245,242,118,71,20,191,235,100,196,117,
3395,160381,23,NK,2,10,02-Jun-2017,04:49:22,21.4615,-157.7589,,401677360,-121,56,0,02-Jun-2017,04:46:42,21.4615,-157.7589,278,427,888,205,94,,,3,97,149,200,16,116,130,212,230,0,192,56,13,4,2,47,16,154,77,166,243,232,0,,,,,,,,,
3395,160381,31,NK,2,10,02-Jun-2017,04:49:22,21.4615,-157.7589,,401677360,-121,56,0,02-Jun-2017,04:49:06,21.4615,-157.7589,278,427,888,205,94,,,16,41,74,232,187,254,132,39,97,121,172,49,232,25,87,94,204,202,135,45,181,50,169,59,190,229,108,144,143,17,231,
3395,160381,23,NK,2,10,02-Jun-2017,04:49:22,21.4615,-157.7589,,401677360,-121,56,0,02-Jun-2017,04:50:23,21.4615,-157.7589,278,427,888,205,94,,,30,129,149,208,0,50,2,212,226,0,128,48,12,4,226,19,16,153,205,231,52,56,0,,,,,,,,,
3395,160381,31,NK,2,10,02-Jun-2017,04:49:22,21.4615,-157.7589,,401677360,-121,56,0,02-Jun-2017,04:51:20,21.4615,-157.7589,278,427,888,205,94,,,30,33,74,236,180,46,192,40,128,26,32,10,114,8,154,130,101,160,169,80,46,27,83,127,179,28,30,197,89,198,58,
3395,160381,31,NP,B,11,03-Jun-2017,00:47:41,21.4589,-157.7574,,401677359,-130,,0,03-Jun-2017,00:47:41,21.4589,-157.7574,,11921,32642,4353,64,,,202,181,143,108,14,146,250,46,14,192,31,54,100,172,146,101,0,16,97,74,125,240,8,7,16,183,157,33,195,191,159,
