DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
160381,160381,0.500000,UT,,04:43:20 06-Jun-2017,04:43:42 06-Jun-2017,22,A,21.4631,-157.7495,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,05:11:43 06-Jun-2017,05:12:06 06-Jun-2017,23,0,21.4587,-157.7878,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,05:12:59 06-Jun-2017,05:13:22 06-Jun-2017,23,0,21.4587,-157.7878,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,04:50:40 08-Jun-2017,04:51:03 08-Jun-2017,23,A,21.4637,-157.7667,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,17:05:59 10-Jun-2017,17:06:22 10-Jun-2017,23,1,21.4254,-157.6498,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,17:10:43 10-Jun-2017,17:11:06 10-Jun-2017,23,1,21.4242,-157.6535,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,17:11:39 10-Jun-2017,17:12:02 10-Jun-2017,23,1,21.4242,-157.6535,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,04:54:07 14-Jun-2017,04:54:30 14-Jun-2017,23,,,,CRC,,,,350,3.400,,,27.75,4.5,,,,,,,,,,,,,102,100,,,,,,,,,255,214,69,
160381,160381,0.500000,UT,,16:46:59 15-Jun-2017,16:47:23 15-Jun-2017,24,2,21.4884,-157.7691,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,16:59:13 15-Jun-2017,16:59:37 15-Jun-2017,24,3,21.4811,-157.7668,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,20:57:21 17-Jun-2017,20:57:45 17-Jun-2017,24,B,22.2382,-158.5359,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,18:04:59 28-Jun-2017,18:05:24 28-Jun-2017,25,B,23.0881,-161.7546,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,20:24:49 28-Jun-2017,20:25:14 28-Jun-2017,25,0,23.3711,-162.4837,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,20:26:29 28-Jun-2017,20:26:53 28-Jun-2017,24,0,23.3711,-162.4837,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,02:46:07 24-Jul-2017,02:46:33 24-Jul-2017,26,1,23.9272,-166.3682,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,16:56:56 02-Oct-2017,16:57:28 02-Oct-2017,32,3,23.9316,-166.2076,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,18:26:37 02-Oct-2017,18:27:09 02-Oct-2017,32,B,23.9295,-166.2095,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,21:26:31 05-Oct-2017,21:27:04 05-Oct-2017,33,3,24.0787,-166.2491,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,21:04:00 28-Oct-2017,21:04:35 28-Oct-2017,35,B,23.9770,-166.5876,CRC,,,,1825,3.350,,,26.30,7.5,,,,,,,,,,,,,91,100,,,,,,,,,255,355,150,
160381,160381,0.500000,UT,,21:45:34 28-Oct-2017,21:46:09 28-Oct-2017,35,2,24.3923,-166.7486,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,17:43:04 05-Nov-2017,17:43:39 05-Nov-2017,35,B,23.9964,-166.5235,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,20:07:24 05-Nov-2017,20:08:00 05-Nov-2017,36,1,23.9963,-166.6453,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160381,160381,0.500000,UT,,20:04:21 14-Nov-2017,20:04:57 14-Nov-2017,36,B,23.9272,-166.2870,CRC,,,,2325,3.300,,,26.50,8.0,,,,,,,,,,,,,59,100,,,,,,,,,220,382,165,
160381,160381,0.500000,UT,,19:36:52 17-Nov-2017,19:37:29 17-Nov-2017,37,B,24.2057,-166.5247,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
