"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"L651",264743,18150,,,,,,,0,A1,,401650000,04/25/2024 03:32:15,1,1,0,-135,401650000,,,,,,,,,,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.12226,-122.34099,B,04/25/2024 03:32:15,Argos,0,0,MC,,401650000,04/25/2024 03:32:15,1,1,0,-121,401650000,-122.34099,37.12226,-122.34099,37.12226,6,3,0,0,0,77,4826,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.12202,-122.3408,3,04/25/2024 03:38:06,Argos,0,541,NK,,401677660.81,04/25/2024 03:36:40,1,5,0,-124,401677660.81,-122.3408,37.12202,-122.3408,37.12202,60,3,106,213,52,94,265,48,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.12202,-122.3408,3,04/25/2024 03:38:06,Argos,0,541,NK,,401677660.81,04/25/2024 03:39:48,1,5,0,-124,401677660.81,-122.3408,37.12202,-122.3408,37.12202,60,3,106,213,52,94,265,77,89,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.12202,-122.3408,3,04/25/2024 03:38:06,Argos,0,541,NK,,401677660.81,04/25/2024 03:40:32,1,5,0,-124,401677660.81,-122.3408,37.12202,-122.3408,37.12202,60,3,106,213,52,94,265,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.12202,-122.3408,3,04/25/2024 03:38:06,Argos,0,541,NK,,401677660.81,04/25/2024 03:41:16,2,5,0,-124,401677660.81,-122.3408,37.12202,-122.3408,37.12202,60,3,106,213,52,94,265,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.12025,-122.34316,A,04/25/2024 03:50:25,Argos,0,384,SR,,401677658.98,04/25/2024 03:47:46,1,3,0,-126,401677658.98,-122.34316,37.12025,-122.34316,37.12025,6,3,215,560,82,134,590,64,80,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.12025,-122.34316,A,04/25/2024 03:50:25,Argos,0,384,SR,,401677658.98,04/25/2024 03:49:21,1,3,0,-126,401677658.98,-122.34316,37.12025,-122.34316,37.12025,6,3,215,560,82,134,590,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.12025,-122.34316,A,04/25/2024 03:50:25,Argos,0,384,SR,,401677658.98,04/25/2024 03:54:10,1,3,0,-126,401677658.98,-122.34316,37.12025,-122.34316,37.12025,6,3,215,560,82,134,590,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.1173,-122.33444,B,04/25/2024 04:18:24,Argos,0,264,MB,,401677657.65,04/25/2024 04:16:12,1,2,0,-129,401677657.65,-122.33444,37.1173,-122.33444,37.1173,6,3,522,3417,79,23,1469,54,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.1173,-122.33444,B,04/25/2024 04:18:24,Argos,0,264,MB,,401677657.65,04/25/2024 04:20:36,1,2,0,-129,401677657.65,-122.33444,37.1173,-122.33444,37.1173,6,3,522,3417,79,23,1469,77,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.12357,-122.33305,B,04/25/2024 04:32:27,Argos,0,43,NN,,401677662.16,04/25/2024 04:32:06,1,2,0,-131,401677662.16,-122.33305,37.12357,-122.33305,37.12357,6,3,939,1212,727,48,1745,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.12357,-122.33305,B,04/25/2024 04:32:27,Argos,0,43,NN,,401677662.16,04/25/2024 04:32:50,1,2,0,-131,401677662.16,-122.33305,37.12357,-122.33305,37.12357,6,3,939,1212,727,48,1745,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.121,-122.33283,B,04/25/2024 04:46:30,Argos,0,145,NP,,401677663.57,04/25/2024 04:45:18,1,2,0,-120,401677663.57,-122.33283,37.121,-122.33283,37.121,6,3,829,8525,80,79,1552,52,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.121,-122.33283,B,04/25/2024 04:46:30,Argos,0,145,NP,,401677663.57,04/25/2024 04:47:43,1,2,0,-120,401677663.57,-122.33283,37.121,-122.33283,37.121,6,3,829,8525,80,79,1552,76,76,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.11564,-122.34158,0,04/25/2024 05:10:35,Argos,0,691,MC,,401677666.61,04/25/2024 05:08:26,1,5,2,-112,401677666.61,-122.34158,37.11564,-122.34158,37.11564,46,2,13419,265205,679,78,1958,35,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.11564,-122.34158,0,04/25/2024 05:10:35,Argos,0,691,MC,,401677666.61,04/25/2024 05:09:54,1,5,2,-112,401677666.61,-122.34158,37.11564,-122.34158,37.11564,46,2,13419,265205,679,78,1958,53,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L651",264743,18150,37.11564,-122.34158,0,04/25/2024 05:10:35,Argos,0,691,MC,,401677666.61,04/25/2024 05:12:55,1,5,2,-112,401677666.61,-122.34158,37.11564,-122.34158,37.11564,46,2,13419,265205,679,78,1958,77,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
