DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
L651,264743,UT,DS,1,0,0,,,03:32:15 25-Apr-2024,A1,,,,,,,,401650000,-135
L651,264743,UT,DS,1,0,0,,,03:32:15 25-Apr-2024,MC,B,37.1223,-122.3410,37.1223,-122.3410,6,,401650000,-121
L651,264743,UT,DS,5,1,0,,,03:38:06 25-Apr-2024,NK,3,37.1220,-122.3408,37.1220,-122.3408,60,,401677660,-124
L651,264743,UT,DS,3,0,0,192,95,03:50:25 25-Apr-2024,SR,A,37.1203,-122.3432,37.1203,-122.3432,6,,401677658,-126
L651,264743,UT,DS,2,0,0,264,264,04:18:24 25-Apr-2024,MB,B,37.1173,-122.3344,37.1173,-122.3344,6,,401677657,-129
L651,264743,UT,DS,2,0,0,44,44,04:32:27 25-Apr-2024,NN,B,37.1236,-122.3331,37.1236,-122.3331,6,,401677662,-131
L651,264743,UT,DS,2,0,0,145,145,04:46:30 25-Apr-2024,NP,B,37.1210,-122.3328,37.1210,-122.3328,6,,401677663,-120
L651,264743,UT,DS,5,1,0,,,05:10:35 25-Apr-2024,MC,0,37.1156,-122.3416,37.1156,-122.3416,46,,401677666,-112
L651,264743,UT,DS,1,0,1,,,06:02:19 25-Apr-2024,MB,B,37.1172,-122.3394,37.1172,-122.3394,8,,401677673,-135
L651,264743,UT,DS,6,0,2,144,44,06:14:01 25-Apr-2024,NN,0,37.0985,-122.3111,37.0985,-122.3111,56,,401677672,-127
L651,264743,UT,DS,2,0,0,352,352,06:19:55 25-Apr-2024,O3,B,37.1286,-122.3017,37.1286,-122.3017,6,,401677662,-134
L651,264743,UT,DS,4,0,0,109,44,06:29:25 25-Apr-2024,NP,2,37.1261,-122.3255,37.1261,-122.3255,56,,401677653,-130
L651,264743,UT,DS,1,0,0,,,06:50:51 25-Apr-2024,MC,B,37.1196,-122.3187,37.1196,-122.3187,6,,401677658,-122
L651,264743,UT,DS,3,0,0,88,88,07:46:51 25-Apr-2024,NN,A,37.1229,-122.3288,37.1229,-122.3288,7,,401677669,-133
L651,264743,UT,DS,8,2,0,,,07:58:58 25-Apr-2024,O3,3,37.1168,-122.3314,37.1168,-122.3314,56,,401677673,-117
L651,264743,UT,DS,1,0,0,,,14:05:59 29-Apr-2024,A1,,,,,,,,401650000,-133
L651,264743,UT,DS,1,0,0,,,16:26:29 29-Apr-2024,NP,,,,,,,,401650000,-130
L651,264743,UT,DS,1,0,0,,,20:22:03 29-Apr-2024,O3,,,,,,,,401650000,-121
L651,264743,UT,DS,1,0,0,,,02:49:54 30-Apr-2024,SR,,,,,,,,401650000,-120
L651,264743,UT,DS,1,0,1,,,05:08:31 30-Apr-2024,MC,,,,,,,,401650000,-114
L651,264743,UT,DS,1,0,0,,,05:53:07 30-Apr-2024,O3,,,,,,,,401650000,-139
L651,264743,UT,DS,1,0,0,,,05:53:07 30-Apr-2024,MB,,,,,,,,401650000,-129
