DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
L651,264743,UT,06:02:19 25-Apr-2024,,,B,37.1172,-122.3394,CRC 5.6,06:02:19 25-Apr-2024,Status,53,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L651,264743,UT,06:02:19 25-Apr-2024,,,0,37.0985,-122.3111,CRC 5.6,06:02:19 25-Apr-2024,Status,53,66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L651,264743,UT,06:14:23 25-Apr-2024,,,0,37.0985,-122.3111,CRC 11.5,06:14:23 25-Apr-2024,Status,75,40,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L651,264743,UT,05:08:31 30-Apr-2024,,,,,,CRC fa.c1,04:56:56 30-Apr-2024,DSA,31,64,201,226,129,48,20,219,158,150,176,74,2,176,175,224,193,66,142,6,18,172,192,76,1,173,55,165,58,0,0,
L651,264743,UT,19:17:38 30-Apr-2024,,,B,36.9865,-122.3565,CRC 118.178,19:17:36 14-Apr-2024,Status,78,208,35,54,68,8,100,51,55,77,25,13,86,34,43,18,1,155,16,193,206,213,60,,,,,,,,,
L651,264743,UT,05:17:07 02-May-2024,,,B,36.9437,-123.7341,CRC 93.ac,04:14:34 02-May-2024,DSA,18,96,202,34,33,70,34,60,22,151,16,236,66,216,40,194,77,154,254,38,199,170,131,45,37,24,204,53,64,0,0,
L651,264743,UT,16:41:10 02-May-2024,,,B,37.0143,-123.8035,CRC 54.26,16:41:09 02-May-2024,Status,70,208,35,54,0,8,97,50,49,66,146,84,26,2,137,0,5,103,16,65,14,141,72,,,,,,,,,
L651,264743,UT,17:18:07 03-May-2024,,,B,37.0625,-123.9219,CRC ca.6f,16:53:04 03-May-2024,DSA,25,64,202,56,130,24,67,72,27,18,122,82,11,184,47,237,87,242,184,142,222,166,69,7,66,132,201,21,63,206,0,
L651,264743,UT,18:09:06 03-May-2024,,,B,37.0398,-123.9148,CRC ca.2e,16:53:04 03-May-2024,DSA,25,64,202,56,130,24,67,72,27,18,122,82,11,184,47,237,87,242,184,142,222,166,69,23,2,132,201,21,62,234,64,
L651,264743,UT,00:46:24 04-May-2024,,,B,37.0664,-123.9914,CRC 4d.d5,,,9,160,218,59,211,17,28,248,26,154,75,255,19,44,184,0,97,107,70,6,208,180,200,213,202,125,12,253,43,174,56,
L651,264743,UT,02:00:43 06-May-2024,,,,,,CRC 18.22,01:43:25 06-May-2024,DSA,3,0,202,96,209,139,19,224,22,153,34,192,3,235,47,224,95,98,248,6,239,149,96,56,2,13,73,248,83,129,1,
L651,264743,UT,13:09:02 08-May-2024,,,,,,CRC e7.a7,12:39:45 08-May-2024,DSA,28,224,202,134,82,103,35,212,25,39,163,254,3,193,73,130,65,28,32,14,207,173,64,62,10,116,225,153,84,12,135,
L651,264743,UT,23:55:49 08-May-2024,,,,,,CRC 83.0a,22:35:18 08-May-2024,DSA,16,96,202,139,83,114,33,208,27,155,115,254,2,108,180,224,55,4,78,6,106,179,64,118,2,88,79,107,110,208,220,
L651,264743,UT,04:56:33 09-May-2024,,,B,38.5515,-125.9404,CRC 15.7,04:56:33 09-May-2024,Status,79,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L651,264743,UT,05:00:01 10-May-2024,,,B,38.7798,-126.1877,CRC 4f.ac,04:40:30 10-May-2024,DSA,9,224,202,162,82,58,34,84,36,39,123,254,50,184,243,225,198,31,14,49,188,115,142,14,15,101,122,122,28,120,184,
L651,264743,UT,15:00:42 11-May-2024,,,,,,CRC e0.70,13:37:50 11-May-2024,DSA,28,0,202,182,210,218,32,160,28,170,246,9,241,153,107,64,115,68,12,25,199,233,224,12,224,25,80,117,8,31,90,
L651,264743,UT,14:22:54 12-May-2024,,,,,,CRC 84.79,13:11:31 12-May-2024,DSA,16,128,202,198,161,253,53,64,34,150,190,85,103,30,162,55,109,107,202,206,35,156,152,202,93,188,170,73,15,26,142,
L651,264743,UT,16:59:05 12-May-2024,,,,,,CRC 63.52,16:59:05 12-May-2024,Status,71,240,35,54,0,8,97,50,54,67,177,80,86,7,63,4,3,245,16,194,94,109,72,,,,,,,,,
L651,264743,UT,12:49:33 14-May-2024,,,,,,CRC 3c.92,12:20:34 14-May-2024,DSA,7,128,202,230,50,54,41,160,29,27,234,166,35,201,191,229,162,39,192,54,27,121,32,66,14,204,222,217,110,246,119,
L651,264743,UT,19:33:06 14-May-2024,,,,,,CRC 7e.bf,19:11:58 14-May-2024,DSA,15,192,202,233,161,226,133,212,0,217,74,72,2,49,181,193,79,138,254,118,217,187,163,188,14,124,229,229,80,88,121,
L651,264743,UT,02:22:18 15-May-2024,,,,,,CRC ab.aa,01:57:33 15-May-2024,DSA,21,96,202,241,18,235,35,224,30,34,147,254,4,30,58,32,100,139,122,7,16,183,129,59,6,92,205,229,75,242,120,
L651,264743,UT,03:14:43 15-May-2024,,,,,,CRC ab.2d,01:57:33 15-May-2024,DSA,21,96,202,241,18,235,35,224,14,34,179,254,68,30,58,32,100,154,3,79,16,151,240,43,26,88,221,197,75,242,120,
L651,264743,UT,02:59:11 16-May-2024,,,B,41.1134,-127.5900,CRC 95.12,02:59:11 16-May-2024,Status,75,240,35,54,0,8,97,50,56,11,178,214,156,177,198,122,234,185,218,97,142,35,49,,,,,,,,,
L651,264743,UT,02:59:11 16-May-2024,,,B,41.1074,-127.5574,CRC 95.202,02:59:11 16-May-2024,Status,75,240,35,54,0,8,97,50,56,11,178,214,144,5,229,0,67,157,16,65,254,181,64,,,,,,,,,
L651,264743,UT,04:38:23 16-May-2024,,,A,41.2443,-127.7667,CRC 0.3,04:38:23 16-May-2024,Status,16,118,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L651,264743,UT,05:22:31 16-May-2024,,,B,41.3090,-127.7249,CRC 82.0b,04:11:57 16-May-2024,DSA,16,64,203,2,33,227,40,164,27,176,211,254,19,223,54,100,83,171,102,30,236,170,131,173,6,104,223,161,77,0,250,
