DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
L651,264743,UT,,,,,,,12:56:06 29-Apr-2024,,,401,,,,,,174,,11.10,,47
L651,264743,UT,,,,,,,12:56:06 29-Apr-2024,0,12:56:06 29-Apr-2024,44,0,36,731,1,43,,,,,
L651,264743,UT,,,,,,,12:56:06 29-Apr-2024,1,12:56:50 29-Apr-2024,122,36,66,1522,2,,,,,,
L651,264743,UT,,,,,,,12:56:06 29-Apr-2024,2,12:58:52 29-Apr-2024,108,66,60,1115,0,,,,,,
L651,264743,UT,,,,,,,12:56:06 29-Apr-2024,3,13:00:40 29-Apr-2024,19,60,52,216,0,,,,,,
L651,264743,UT,,,,,,,12:56:06 29-Apr-2024,4,13:00:59 29-Apr-2024,61,52,0,515,0,-30,,,,,
L651,264743,UT,,,,,,,16:01:18 29-Apr-2024,,,576,,,,,,68,206,11.50,,54
L651,264743,UT,,,,,,,16:01:18 29-Apr-2024,0,16:01:18 29-Apr-2024,45,0,40,772,1,49,,,,,
L651,264743,UT,,,,,,,16:01:18 29-Apr-2024,1,16:02:03 29-Apr-2024,81,40,82,1020,1,,,,,,
L651,264743,UT,,,,,,,16:01:18 29-Apr-2024,2,16:03:24 29-Apr-2024,180,82,112,1850,1,,,,,,
L651,264743,UT,,,,,,,16:01:18 29-Apr-2024,3,16:06:24 29-Apr-2024,114,112,84,1472,0,,,,,,
L651,264743,UT,,,,,,,16:01:18 29-Apr-2024,4,16:08:18 29-Apr-2024,102,84,0,1064,0,-20,,,,,
L651,264743,UT,,,,,,,19:20:26 29-Apr-2024,,,601,,,,,,68,229,11.80,,27
L651,264743,UT,,,,,,,19:20:26 29-Apr-2024,0,19:20:26 29-Apr-2024,224,0,94,2210,0,29,,,,,
L651,264743,UT,,,,,,,19:20:26 29-Apr-2024,1,19:24:10 29-Apr-2024,166,94,128,1079,0,,,,,,
L651,264743,UT,,,,,,,19:20:26 29-Apr-2024,2,19:26:56 29-Apr-2024,49,128,104,487,0,,,,,,
L651,264743,UT,,,,,,,19:20:26 29-Apr-2024,3,19:27:45 29-Apr-2024,95,104,44,1061,0,,,,,,
L651,264743,UT,,,,,,,19:20:26 29-Apr-2024,4,19:29:20 29-Apr-2024,40,44,0,331,0,-34,,,,,
L651,264743,UT,,,,,,,01:41:47 30-Apr-2024,,,548,,,,,,106,48,11.70,,55
L651,264743,UT,,,,,,,01:41:47 30-Apr-2024,0,01:41:47 30-Apr-2024,73,0,60,1229,0,49,,,,,
L651,264743,UT,,,,,,,01:41:47 30-Apr-2024,1,01:43:00 30-Apr-2024,85,60,106,999,0,,,,,,
