DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
L651,264743,UT,00:00:00 24-Apr-2024,User,,37.1111,-123.3323,,,,,,,,,,
L651,264743,UT,03:32:15 25-Apr-2024,Argos,B,37.1223,-122.3410,,,,,,,,,,
L651,264743,UT,03:38:06 25-Apr-2024,Argos,3,37.1220,-122.3408,106,213,52,94,,,,,,
L651,264743,UT,03:50:25 25-Apr-2024,Argos,A,37.1203,-122.3432,215,560,82,134,,,,,,
L651,264743,UT,04:18:24 25-Apr-2024,Argos,B,37.1173,-122.3344,522,3417,79,23,,,,,,
L651,264743,UT,04:32:27 25-Apr-2024,Argos,B,37.1236,-122.3331,939,1212,727,48,,,,,,
L651,264743,UT,04:46:30 25-Apr-2024,Argos,B,37.1210,-122.3328,829,8525,80,79,,,,,,
L651,264743,UT,05:10:35 25-Apr-2024,Argos,0,37.1156,-122.3416,13419,265205,679,78,,,,,,
L651,264743,UT,06:02:19 25-Apr-2024,Argos,B,37.1172,-122.3394,18419,31778,10675,84,,,,,,
L651,264743,UT,06:14:01 25-Apr-2024,Argos,0,37.0985,-122.3111,1684,1968,1439,48,,,,,,Lat > 4 deviations from mean
L651,264743,UT,06:19:55 25-Apr-2024,Argos,B,37.1286,-122.3017,1074,7539,153,24,,,,,,Lon > 4 deviations from mean
L651,264743,UT,06:29:25 25-Apr-2024,Argos,2,37.1261,-122.3255,317,848,118,142,,,,,,
L651,264743,UT,06:50:51 25-Apr-2024,Argos,B,37.1196,-122.3187,1258,1526,1036,103,,,,,,
L651,264743,UT,07:46:51 25-Apr-2024,Argos,A,37.1229,-122.3288,1824,9542,348,91,,,,,,
L651,264743,UT,07:58:58 25-Apr-2024,Argos,3,37.1168,-122.3314,79,224,27,86,,,,,,
L651,264743,UT,19:17:37 30-Apr-2024,Argos,B,36.9865,-122.3565,8070,183147,355,72,,,,,,
L651,264743,UT,01:59:12 01-May-2024,Argos,B,36.9775,-122.6661,6461,30936,1349,68,,,,,,
L651,264743,UT,08:18:51 01-May-2024,Argos,B,36.7560,-123.1565,5292,8489,3298,87,,,,,,
L651,264743,UT,08:18:51 01-May-2024,Argos,B,36.9510,-122.9028,9182,27628,3051,66,,,,,,
L651,264743,UT,14:50:03 01-May-2024,Argos,B,36.7867,-123.3869,6398,18422,2221,98,,,,,,
L651,264743,UT,18:49:14 01-May-2024,Argos,B,36.7939,-123.5407,4607,20425,1039,93,,,,,,
L651,264743,UT,02:13:19 02-May-2024,Argos,B,36.8718,-123.6791,7097,43695,1152,87,,,,,,
L651,264743,UT,03:49:56 02-May-2024,Argos,B,36.9249,-123.7438,2298,16022,329,79,,,,,,
L651,264743,UT,03:58:31 02-May-2024,Argos,B,36.9327,-123.7050,613,2582,145,142,,,,,,
L651,264743,UT,04:29:32 02-May-2024,Argos,B,36.8701,-123.6725,4365,5058,3765,88,,,,,,
L651,264743,UT,04:40:15 02-May-2024,Argos,B,36.8689,-123.6761,2923,3234,2642,127,,,,,,
L651,264743,UT,04:58:50 02-May-2024,Argos,A,36.9567,-123.5863,3092,6380,1498,141,,,,,,
L651,264743,UT,05:17:29 02-May-2024,Argos,B,36.9437,-123.7341,3828,21314,687,80,,,,,,
L651,264743,UT,06:01:19 02-May-2024,Argos,B,36.9451,-123.7621,2919,8676,982,79,,,,,,
L651,264743,UT,06:06:30 02-May-2024,Argos,A,36.9387,-123.7081,153,407,57,110,,,,,,
L651,264743,UT,06:16:24 02-May-2024,Argos,B,36.9382,-123.7088,464,606,355,92,,,,,,
L651,264743,UT,06:46:12 02-May-2024,Argos,B,36.9344,-123.7431,817,1121,594,68,,,,,,
L651,264743,UT,07:32:20 02-May-2024,Argos,B,36.9345,-123.7833,1427,2338,870,78,,,,,,
L651,264743,UT,08:08:59 02-May-2024,Argos,B,36.9386,-123.7804,2392,6155,929,88,,,,,,
L651,264743,UT,12:50:32 02-May-2024,Argos,B,36.9313,-124.0049,3254,8913,1188,84,,,,,,
L651,264743,UT,13:01:58 02-May-2024,Argos,B,36.9257,-123.8483,3203,61800,166,70,,,,,,
L651,264743,UT,14:27:07 02-May-2024,Argos,B,36.9923,-123.7859,1622,25007,105,95,,,,,,
L651,264743,UT,14:38:15 02-May-2024,Argos,A,37.0035,-123.7973,635,2567,156,144,,,,,,
L651,264743,UT,15:04:55 02-May-2024,Argos,B,36.9908,-123.7648,1108,5421,226,18,,,,,,
L651,264743,UT,16:41:10 02-May-2024,Argos,B,37.0143,-123.8035,2459,2792,2165,85,,,,,,
L651,264743,UT,18:29:06 02-May-2024,Argos,B,37.0185,-123.8019,1442,8831,235,91,,,,,,
L651,264743,UT,18:49:37 02-May-2024,Argos,B,37.0236,-123.8414,1818,7580,436,93,,,,,,
L651,264743,UT,19:07:33 02-May-2024,Argos,B,37.0188,-123.8243,824,1390,488,46,,,,,,
L651,264743,UT,19:41:37 02-May-2024,Argos,B,37.0255,-123.8393,1710,3677,794,89,,,,,,
L651,264743,UT,20:22:42 02-May-2024,Argos,B,37.0250,-123.8315,1736,2969,1015,82,,,,,,
L651,264743,UT,21:23:25 02-May-2024,Argos,B,37.0211,-123.8278,1889,3519,1013,76,,,,,,
L651,264743,UT,23:03:21 02-May-2024,Argos,B,37.0193,-123.8307,2132,4583,991,74,,,,,,
L651,264743,UT,00:40:28 03-May-2024,Argos,B,37.0206,-123.8352,2230,7003,710,81,,,,,,
L651,264743,UT,04:37:31 03-May-2024,Argos,B,37.0333,-123.8521,2890,6912,1208,84,,,,,,
L651,264743,UT,17:18:06 03-May-2024,Argos,B,37.0625,-123.9219,4061,6568,2511,114,,,,,,
L651,264743,UT,18:09:05 03-May-2024,Argos,B,37.0398,-123.9148,5057,11694,2186,124,,,,,,
L651,264743,UT,20:40:07 03-May-2024,Argos,B,37.0422,-123.9425,5321,11067,2558,123,,,,,,
L651,264743,UT,00:46:23 04-May-2024,Argos,B,37.0664,-123.9914,4495,10136,1993,100,,,,,,
L651,264743,UT,01:26:03 09-May-2024,Argos,B,38.4753,-126.0376,29885,216816,4119,124,,,,,,
L651,264743,UT,01:37:35 09-May-2024,Argos,B,38.4864,-126.0525,22337,87614,5694,122,,,,,,
L651,264743,UT,02:34:19 09-May-2024,Argos,B,38.4894,-126.0326,6578,29831,1450,58,,,,,,
L651,264743,UT,03:08:24 09-May-2024,Argos,B,38.5232,-125.9864,1679,11330,248,107,,,,,,
L651,264743,UT,04:16:42 09-May-2024,Argos,B,38.5644,-126.0096,2705,8911,821,60,,,,,,
L651,264743,UT,04:47:42 09-May-2024,Argos,B,38.5645,-126.0137,2347,3977,1385,72,,,,,,
L651,264743,UT,04:56:33 09-May-2024,Argos,B,38.5515,-125.9404,2627,4018,1717,87,,,,,,
L651,264743,UT,05:22:32 09-May-2024,Argos,B,38.5713,-125.9268,1266,8004,200,91,,,,,,
L651,264743,UT,05:23:11 09-May-2024,Argos,B,38.5721,-125.9433,1203,6978,207,89,,,,,,
L651,264743,UT,06:14:26 09-May-2024,Argos,B,38.5818,-125.9409,1409,2920,679,90,,,,,,
L651,264743,UT,06:34:41 09-May-2024,Argos,B,38.5818,-125.9489,1718,3373,874,76,,,,,,
L651,264743,UT,07:05:14 09-May-2024,Argos,B,38.5841,-125.9475,1805,3072,1060,78,,,,,,
L651,264743,UT,07:15:38 09-May-2024,Argos,B,38.5854,-125.9782,1650,2557,1064,59,,,,,,
L651,264743,UT,08:50:40 09-May-2024,Argos,B,38.6059,-125.9565,2118,2959,1515,67,,,,,,
L651,264743,UT,12:42:17 09-May-2024,Argos,B,38.5840,-125.9770,2852,4846,1678,82,,,,,,
L651,264743,UT,13:38:42 09-May-2024,Argos,B,38.6823,-125.9027,5752,96496,342,87,,,,,,
L651,264743,UT,14:26:38 09-May-2024,Argos,A,38.6873,-126.1021,1589,7231,349,144,,,,,,
L651,264743,UT,15:23:53 09-May-2024,Argos,B,38.7120,-126.1563,4895,6076,3943,104,,,,,,
L651,264743,UT,16:29:41 09-May-2024,Argos,B,38.7201,-126.1462,4545,6225,3318,112,,,,,,
L651,264743,UT,18:27:07 09-May-2024,Argos,B,38.7147,-126.1680,2339,68033,80,96,,,,,,
L651,264743,UT,19:22:32 09-May-2024,Argos,B,38.7354,-126.1986,5942,16681,2116,114,,,,,,
L651,264743,UT,19:22:32 09-May-2024,Argos,B,38.7321,-126.2251,3276,18898,567,95,,,,,,
