Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
18150,264743,3,A1, ,1,25-Apr-2024,03:32:15,,,,401650000,-135,,0,25-Apr-2024,03:32:15,,,,,,,,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,MC,B,2,25-Apr-2024,03:32:15,37.1223,-122.3410,,401650000,-121,6,0,25-Apr-2024,03:32:15,37.1223,-122.3410,,,,,,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,NK,3,3,25-Apr-2024,03:38:06,37.1220,-122.3408,,401677660,-124,60,0,25-Apr-2024,03:36:40,37.1220,-122.3408,276,106,213,52,94,,,48,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,NK,3,3,25-Apr-2024,03:38:06,37.1220,-122.3408,,401677660,-124,60,0,25-Apr-2024,03:39:48,37.1220,-122.3408,276,106,213,52,94,,,77,89,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,NK,3,3,25-Apr-2024,03:38:06,37.1220,-122.3408,,401677660,-124,60,0,25-Apr-2024,03:40:32,37.1220,-122.3408,276,106,213,52,94,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,NK,3,3,25-Apr-2024,03:38:06,37.1220,-122.3408,,401677660,-124,60,1,25-Apr-2024,03:41:16,37.1220,-122.3408,276,106,213,52,94,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,SR,A,4,25-Apr-2024,03:50:25,37.1203,-122.3432,,401677658,-126,6,0,25-Apr-2024,03:47:46,37.1203,-122.3432,384,215,560,82,134,,,64,80,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,SR,A,4,25-Apr-2024,03:50:25,37.1203,-122.3432,,401677658,-126,6,0,25-Apr-2024,03:49:21,37.1203,-122.3432,384,215,560,82,134,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,SR,A,4,25-Apr-2024,03:50:25,37.1203,-122.3432,,401677658,-126,6,0,25-Apr-2024,03:54:10,37.1203,-122.3432,384,215,560,82,134,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,MB,B,5,25-Apr-2024,04:18:24,37.1173,-122.3344,,401677657,-129,6,0,25-Apr-2024,04:16:12,37.1173,-122.3344,264,522,3417,79,23,,,54,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,MB,B,5,25-Apr-2024,04:18:24,37.1173,-122.3344,,401677657,-129,6,0,25-Apr-2024,04:20:36,37.1173,-122.3344,264,522,3417,79,23,,,77,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,NN,B,6,25-Apr-2024,04:32:27,37.1236,-122.3331,,401677662,-131,6,0,25-Apr-2024,04:32:06,37.1236,-122.3331,44,939,1212,727,48,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,NN,B,6,25-Apr-2024,04:32:27,37.1236,-122.3331,,401677662,-131,6,0,25-Apr-2024,04:32:50,37.1236,-122.3331,44,939,1212,727,48,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,NP,B,7,25-Apr-2024,04:46:30,37.1210,-122.3328,,401677663,-120,6,0,25-Apr-2024,04:45:18,37.1210,-122.3328,145,829,8525,80,79,,,52,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,NP,B,7,25-Apr-2024,04:46:30,37.1210,-122.3328,,401677663,-120,6,0,25-Apr-2024,04:47:43,37.1210,-122.3328,145,829,8525,80,79,,,76,76,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,MC,0,8,25-Apr-2024,05:10:35,37.1156,-122.3416,,401677666,-112,46,0,25-Apr-2024,05:08:26,37.1156,-122.3416,489,13419,265205,679,78,,,35,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,MC,0,8,25-Apr-2024,05:10:35,37.1156,-122.3416,,401677666,-112,46,0,25-Apr-2024,05:09:54,37.1156,-122.3416,489,13419,265205,679,78,,,53,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,MC,0,8,25-Apr-2024,05:10:35,37.1156,-122.3416,,401677666,-112,46,0,25-Apr-2024,05:12:55,37.1156,-122.3416,489,13419,265205,679,78,,,77,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,MC,0,8,25-Apr-2024,05:10:35,37.1156,-122.3416,,401677666,-112,46,1,25-Apr-2024,05:16:35,37.1156,-122.3416,489,13419,265205,679,78,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,MB,B,9,25-Apr-2024,06:02:19,37.1172,-122.3394,,401677673,-135,8,0,25-Apr-2024,06:02:19,37.1172,-122.3394,,18419,31778,10675,84,,,53,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264743,3,NN,0,10,25-Apr-2024,06:14:01,37.0985,-122.3111,Lat > 4 deviations from mean,401677672,-127,56,0,25-Apr-2024,06:02:19,37.0985,-122.3111,724,1684,1968,1439,48,,,53,66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
