"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"K311",264746,18150,,,,,,,188,NP,,401650000,05/01/2024 03:32:31,1,2,0,-130,401650000,,,,,,,,,,,,33,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K311",264746,18150,,,,,,,188,NP,,401650000,05/01/2024 03:35:39,1,2,0,-130,401650000,,,,,,,,,,,,49,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K311",264746,18150,,,,,,,0,MB,,401650000,05/01/2024 03:54:28,1,1,0,-135,401650000,,,,,,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K311",264746,18150,,,,,,,0,SR,,401650000,05/01/2024 04:00:41,1,1,0,-127,401650000,,,,,,,,,,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K311",264746,18150,,,,,,,0,A1,,401650000,05/01/2024 04:13:56,1,1,0,-135,401650000,,,,,,,,,,,,19,192,202,18,1,69,21,92,18,7,192,36,5,108,15,226,236,1,92,15,126,4,192,145,2,40,219,57,24,0,0,
"K311",264746,18150,,,,,,,0,NK,,401650000,05/01/2024 04:21:12,1,1,0,-124,401650000,,,,,,,,,,,,47,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K311",264746,18150,,,,,,,639,MC,,401650000,05/01/2024 04:41:02,1,3,1,-118,401650000,,,,,,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K311",264746,18150,,,,,,,0,NN,,401650000,05/01/2024 04:50:54,1,1,0,-133,401650000,,,,,,,,,,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K311",264746,18150,,,,,,,639,MC,,401650000,05/01/2024 04:50:54,1,3,1,-118,401650000,,,,,,,,,,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K311",264746,18150,,,,,,,639,MC,,401650000,05/01/2024 04:51:41,1,3,1,-118,401650000,,,,,,,,,,,,38,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
