DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
K311,264746,UT,DS,2,0,0,188,188,03:32:31 01-May-2024,NP,,,,,,,,401650000,-130
K311,264746,UT,DS,1,0,0,,,03:54:28 01-May-2024,MB,,,,,,,,401650000,-135
K311,264746,UT,DS,1,0,0,,,04:00:41 01-May-2024,SR,,,,,,,,401650000,-127
K311,264746,UT,DS,1,0,0,,,04:13:56 01-May-2024,A1,,,,,,,,401650000,-135
K311,264746,UT,DS,1,0,0,,,04:21:12 01-May-2024,NK,,,,,,,,401650000,-124
K311,264746,UT,DS,3,0,0,319,47,04:41:02 01-May-2024,MC,,,,,,,,401650000,-118
K311,264746,UT,DS,1,0,0,,,04:50:54 01-May-2024,NN,,,,,,,,401650000,-133
K311,264746,UT,DS,3,0,0,266,55,05:15:44 01-May-2024,NP,A,34.8443,-133.8696,36.6300,-121.4765,,,401677491,-125
K311,264746,UT,DS,1,0,0,,,06:29:48 01-May-2024,MC,B,36.6372,-121.4740,36.6372,-121.4740,7,,401677564,-121
K311,264746,UT,DS,3,0,0,292,47,06:39:09 01-May-2024,NN,A,36.9210,-121.9581,36.9210,-121.9581,6,,401677500,-130
K311,264746,UT,DS,1,0,0,,,06:38:46 01-May-2024,O3,B,36.6533,-121.4728,36.6533,-121.4728,6,,401677488,-133
K311,264746,UT,DS,7,1,1,,,08:16:00 01-May-2024,NN,1,37.1268,-122.3266,37.1268,-122.3266,60,,401677495,-131
K311,264746,UT,DS,9,1,1,,,08:21:33 01-May-2024,O3,3,37.1110,-122.3339,37.1110,-122.3339,56,,401677496,-121
K311,264746,UT,DS,1,0,0,,,07:30:07 02-May-2024,O3,B,37.9585,-123.8976,37.9585,-123.8976,,,401677496,-136
K311,264746,UT,DS,5,0,0,47,47,02:02:22 08-May-2024,SR,1,37.1067,-122.2929,37.1067,-122.2929,50,,401677468,-124
K311,264746,UT,DS,11,2,0,,,02:12:35 08-May-2024,CS,3,37.1137,-122.3354,37.1137,-122.3354,56,,401677457,-130
K311,264746,UT,DS,10,2,0,,,03:01:40 08-May-2024,NK,3,37.1135,-122.3342,37.1135,-122.3342,58,,401677450,-118
K311,264746,UT,DS,10,2,0,,,03:03:15 08-May-2024,A1,3,37.1146,-122.3255,37.1146,-122.3255,56,,401677452,-124
K311,264746,UT,DS,5,0,0,70,47,03:35:03 08-May-2024,SR,3,37.1129,-122.3267,37.1129,-122.3267,58,,401677457,-123
