DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
K311,264746,UT,08:18:54 01-May-2024,,,1,37.1268,-122.3266,CRC 64.11,07:11:28 01-May-2024,DSA,12,128,202,19,162,0,29,160,23,6,49,36,17,52,18,0,218,8,254,47,160,199,140,10,26,252,217,204,158,13,30,
K311,264746,UT,08:18:54 01-May-2024,,,3,37.1110,-122.3339,CRC 64.5a,07:11:28 01-May-2024,DSA,12,128,202,19,162,0,29,160,23,6,49,36,17,36,18,0,218,9,254,47,162,149,161,11,2,84,206,99,125,175,255,
K311,264746,UT,05:13:03 08-May-2024,,,0,37.0926,-122.3433,CRC 201.6,05:13:02 08-May-2024,Status,89,48,35,54,0,8,145,66,52,20,208,132,20,3,36,252,1,211,16,194,122,213,64,,,,,,,,,
K311,264746,UT,06:46:48 08-May-2024,,,A,37.1149,-122.3303,CRC 44.247,06:46:47 08-May-2024,Status,69,144,35,54,0,8,145,66,52,26,235,196,84,3,86,254,1,255,16,193,219,165,0,,,,,,,,,
K311,264746,UT,17:55:27 14-May-2024,,,,,,CRC fc.37,00:07:19 14-May-2024,DSA,31,128,202,224,53,81,87,44,40,156,44,144,11,119,72,128,105,235,254,7,84,52,192,29,2,93,52,193,80,132,126,
K311,264746,UT,14:39:40 15-May-2024,,,B,37.5692,-124.7319,CRC 14.8,14:39:40 15-May-2024,Status,46,106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K311,264746,UT,19:01:10 15-May-2024,,,,,,CRC 35.25,12:34:00 14-May-2024,Status,68,102,195,201,63,192,51,111,117,62,31,115,34,2,7,13,225,87,225,33,168,91,170,,,,,,,,,
K311,264746,UT,13:36:39 20-May-2024,,,,,,CRC 0e.c7,12:10:59 20-May-2024,DSA,1,192,203,70,52,117,104,204,34,14,178,36,1,224,51,64,101,224,192,240,216,58,16,72,65,140,175,76,172,130,0,
K311,264746,UT,07:24:07 21-May-2024,,,,,,CRC 82.1f,00:00:00 30-Mar-2024,DailyData,16,66,203,83,131,16,47,236,50,147,99,88,3,4,75,196,197,228,122,37,231,206,68,255,2,144,253,65,74,132,124,
K311,264746,UT,04:39:16 22-May-2024,,,B,40.6702,-129.4426,CRC 10.15,04:39:16 22-May-2024,Status,74,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K311,264746,UT,22:33:47 22-May-2024,,,B,40.9593,-129.8164,CRC 0.3,22:33:47 22-May-2024,Status,16,54,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K311,264746,UT,06:26:06 23-May-2024,,,B,41.1682,-130.2068,CRC cb.e6,04:54:00 23-May-2024,DSA,25,96,203,114,147,192,80,29,42,34,44,102,9,53,69,164,128,198,26,7,32,37,243,159,133,54,152,116,166,72,61,
K311,264746,UT,14:25:34 25-May-2024,,,,,,CRC c0.fd,,,24,4,203,150,163,11,47,72,48,20,51,96,10,158,55,0,71,28,192,6,168,191,224,83,2,105,46,77,77,70,124,
K311,264746,UT,02:28:28 27-May-2024,,,,,,CRC b9.3c,01:00:41 27-May-2024,DSA,23,32,203,176,164,135,55,140,68,40,5,210,4,32,94,165,74,29,86,54,85,207,227,253,2,141,28,193,122,90,248,
K311,264746,UT,15:29:35 29-May-2024,,,3,44.0021,-134.2245,CRC 12.5,,,188,48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K311,264746,UT,15:35:52 29-May-2024,,,3,44.0021,-134.2245,CRC 0.3,15:35:52 29-May-2024,Status,16,54,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K311,264746,UT,15:36:39 29-May-2024,,,3,44.0021,-134.2245,CRC 2.1,15:36:39 29-May-2024,Status,34,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K311,264746,UT,16:19:51 29-May-2024,,,3,44.0018,-134.2202,CRC 74.222,16:19:55 29-May-2024,Status,73,80,35,54,0,8,145,66,62,193,61,210,148,11,39,4,1,255,15,193,46,237,84,,,,,,,,,
