DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
K311,264746,UT,,,,,,,03:56:35 01-May-2024,,,361,,,,,,206,,10.00,,36
K311,264746,UT,,,,,,,03:56:35 01-May-2024,0,03:56:35 01-May-2024,18,0,12,192,0,48,,,,,
K311,264746,UT,,,,,,,03:56:35 01-May-2024,1,03:56:53 01-May-2024,200,12,12,1356,5,,,,,,
K311,264746,UT,,,,,,,03:56:35 01-May-2024,2,04:00:13 01-May-2024,56,12,16,491,1,,,,,,
K311,264746,UT,,,,,,,03:56:35 01-May-2024,3,04:01:09 01-May-2024,28,16,14,406,1,,,,,,
K311,264746,UT,,,,,,,03:56:35 01-May-2024,4,04:01:37 01-May-2024,23,14,0,182,0,-36,,,,,
K311,264746,UT,B,37.9585,-123.8976,,,,06:17:52 02-May-2024,,,745,,,,,,141,,9.70,,17
K311,264746,UT,B,37.9585,-123.8976,,,,06:17:52 02-May-2024,0,06:17:52 02-May-2024,17,0,12,119,1,48,,,,,
K311,264746,UT,B,37.9585,-123.8976,,,,06:17:52 02-May-2024,1,06:18:09 02-May-2024,586,12,22,3785,10,,,,,,
K311,264746,UT,B,37.9585,-123.8976,,,,06:17:52 02-May-2024,2,06:27:55 02-May-2024,68,22,9,536,2,,,,,,
K311,264746,UT,B,37.9585,-123.8976,,,,06:17:52 02-May-2024,3,06:29:03 02-May-2024,29,9,18,179,0,,,,,,
K311,264746,UT,B,37.9585,-123.8976,,,,06:17:52 02-May-2024,4,06:29:32 02-May-2024,28,18,0,209,0,-14,,,,,
K311,264746,UT,,,,,,,07:38:04 13-May-2024,,,776,,,,,,189,,11.50,,60
K311,264746,UT,,,,,,,07:38:04 13-May-2024,0,07:38:04 13-May-2024,95,0,47,766,0,43,,,,,
K311,264746,UT,,,,,,,07:38:04 13-May-2024,1,07:39:39 13-May-2024,56,47,64,589,0,,,,,,
K311,264746,UT,,,,,,,07:38:04 13-May-2024,2,07:40:35 13-May-2024,235,64,60,2494,1,,,,,,
K311,264746,UT,,,,,,,07:38:04 13-May-2024,3,07:44:30 13-May-2024,101,60,74,1080,0,,,,,,
