DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
K311,264746,UT,00:00:00 30-Apr-2024,User,,37.1111,-123.3323,,,,,,,,,,
K311,264746,UT,05:15:44 01-May-2024,Argos,A,34.8443,-133.8696,,,,,,,,,,
K311,264746,UT,06:29:48 01-May-2024,Argos,B,36.6372,-121.4740,,,,,,,,,,
K311,264746,UT,06:38:46 01-May-2024,Argos,B,36.6533,-121.4728,,,,,,,,,,
K311,264746,UT,06:39:09 01-May-2024,Argos,A,36.9210,-121.9581,27527,117411,6453,125,,,,,,
K311,264746,UT,08:16:00 01-May-2024,Argos,1,37.1268,-122.3266,905,2536,322,159,,,,,,
K311,264746,UT,08:21:33 01-May-2024,Argos,3,37.1110,-122.3339,148,276,78,87,,,,,,
K311,264746,UT,07:30:07 02-May-2024,Argos,B,37.9585,-123.8976,12882,16077,10322,90,,,,,,
K311,264746,UT,02:02:22 08-May-2024,Argos,1,37.1067,-122.2929,957,11417,80,107,,,,,,
K311,264746,UT,02:12:35 08-May-2024,Argos,3,37.1137,-122.3354,232,351,153,139,,,,,,
K311,264746,UT,03:01:40 08-May-2024,Argos,3,37.1135,-122.3342,221,2145,22,79,,,,,,
K311,264746,UT,03:03:15 08-May-2024,Argos,3,37.1146,-122.3255,117,207,66,100,,,,,,
K311,264746,UT,03:35:03 08-May-2024,Argos,3,37.1129,-122.3267,202,711,57,82,,,,,,
K311,264746,UT,03:45:49 08-May-2024,Argos,2,37.1134,-122.3272,330,472,231,24,,,,,,
K311,264746,UT,03:59:41 08-May-2024,Argos,B,37.1132,-122.3304,1187,3590,392,53,,,,,,
K311,264746,UT,04:56:18 08-May-2024,Argos,B,37.1204,-122.3435,2974,3807,2323,77,,,,,,
K311,264746,UT,05:06:47 08-May-2024,Argos,0,37.0926,-122.3433,2984,19326,460,110,,,,,,Lat > 4 deviations from mean
K311,264746,UT,05:33:08 08-May-2024,Argos,0,37.1180,-122.3088,2281,16934,307,92,,,,,,
K311,264746,UT,05:39:40 08-May-2024,Argos,A,37.1071,-122.3144,534,3005,94,100,,,,,,
K311,264746,UT,06:21:19 08-May-2024,Argos,B,37.1124,-122.3209,630,3665,108,148,,,,,,
K311,264746,UT,06:50:02 08-May-2024,Argos,A,37.1149,-122.3303,148,196,110,2,,,,,,
K311,264746,UT,07:56:50 08-May-2024,Argos,0,37.1084,-122.3385,2041,13566,306,85,,,,,,
K311,264746,UT,08:28:43 08-May-2024,Argos,B,37.1104,-122.3448,9609,12586,7336,88,,,,,,
K311,264746,UT,09:41:26 08-May-2024,Argos,A,37.1131,-122.3508,1023,2939,355,62,,,,,,
K311,264746,UT,01:50:28 15-May-2024,Argos,B,37.2867,-124.2733,4522,25576,799,145,,,,,,
K311,264746,UT,04:08:29 15-May-2024,Argos,B,37.3226,-124.3429,11975,14172,10117,77,,,,,,
K311,264746,UT,04:08:29 15-May-2024,Argos,B,37.3208,-124.3329,23649,34719,16108,93,,,,,,
K311,264746,UT,05:24:49 15-May-2024,Argos,B,37.4200,-124.4107,4700,22697,973,73,,,,,,
K311,264746,UT,05:44:12 15-May-2024,Argos,B,37.3916,-124.4697,2985,18449,482,97,,,,,,
K311,264746,UT,05:44:35 15-May-2024,Argos,B,37.3944,-124.4777,2568,15312,430,100,,,,,,
K311,264746,UT,06:59:58 15-May-2024,Argos,B,37.4179,-124.5017,1213,8470,173,77,,,,,,
K311,264746,UT,07:37:08 15-May-2024,Argos,A,37.4242,-124.5240,200,631,63,103,,,,,,
K311,264746,UT,14:39:39 15-May-2024,Argos,B,37.5692,-124.7319,2783,3498,2213,87,,,,,,
K311,264746,UT,15:32:37 15-May-2024,Argos,A,37.5123,-124.6761,7578,67227,854,73,,,,,,
K311,264746,UT,17:11:47 15-May-2024,Argos,B,37.4623,-124.9312,2997,10159,883,126,,,,,,
K311,264746,UT,18:06:03 15-May-2024,Argos,0,37.5005,-124.9490,8503,221246,326,101,,,,,,
K311,264746,UT,18:06:19 15-May-2024,Argos,A,37.5217,-125.0702,4163,63879,271,104,,,,,,
K311,264746,UT,19:26:35 15-May-2024,Argos,0,37.5089,-125.0138,3929,161995,95,100,,,,,,
K311,264746,UT,01:44:26 16-May-2024,Argos,A,37.4261,-125.2560,1380,5201,366,41,,,,,,
K311,264746,UT,02:51:51 16-May-2024,Argos,A,37.4176,-125.2993,1850,3156,1083,88,,,,,,
K311,264746,UT,02:52:15 16-May-2024,Argos,B,37.4246,-125.2974,1615,7679,339,87,,,,,,
K311,264746,UT,05:11:32 16-May-2024,Argos,B,37.4373,-125.3571,1879,3362,1050,78,,,,,,
K311,264746,UT,05:29:51 16-May-2024,Argos,B,37.4628,-125.4860,1906,8601,422,70,,,,,,
K311,264746,UT,06:47:18 16-May-2024,Argos,B,37.5049,-125.5219,878,8603,89,74,,,,,,
K311,264746,UT,06:47:18 16-May-2024,Argos,A,37.4988,-125.5413,1590,24624,102,72,,,,,,
K311,264746,UT,04:20:13 17-May-2024,Argos,B,37.7365,-126.3899,4089,6516,2565,42,,,,,,
K311,264746,UT,06:37:35 17-May-2024,Argos,B,37.8992,-126.6109,10431,144528,752,90,,,,,,
K311,264746,UT,18:18:28 17-May-2024,Argos,B,38.2742,-127.4881,9729,50897,1859,85,,,,,,
K311,264746,UT,01:14:20 22-May-2024,Argos,B,40.3937,-129.0133,1143,21983,59,74,,,,,,
K311,264746,UT,02:01:03 22-May-2024,Argos,B,40.8633,-129.3478,407,3380,48,75,,,,,,
K311,264746,UT,03:45:53 22-May-2024,Argos,B,40.7656,-129.3697,15268,29546,7889,93,,,,,,
K311,264746,UT,03:45:53 22-May-2024,Argos,B,40.6967,-129.2551,7709,30741,1933,75,,,,,,
K311,264746,UT,04:38:52 22-May-2024,Argos,B,40.6702,-129.4426,18636,51416,6754,104,,,,,,
K311,264746,UT,06:00:05 22-May-2024,Argos,B,40.6894,-129.4770,8439,67985,1047,101,,,,,,
K311,264746,UT,06:00:05 22-May-2024,Argos,B,40.6926,-129.4920,2400,16787,343,100,,,,,,
K311,264746,UT,07:20:39 22-May-2024,Argos,B,40.6574,-129.5317,2647,4828,1451,98,,,,,,
K311,264746,UT,07:21:26 22-May-2024,Argos,B,40.6569,-129.5271,2711,5138,1430,98,,,,,,
K311,264746,UT,07:37:16 22-May-2024,Argos,B,40.7358,-129.5685,7650,23063,2537,56,,,,,,
K311,264746,UT,16:31:05 22-May-2024,Argos,B,40.6663,-129.7345,11779,23126,5999,89,,,,,,
K311,264746,UT,18:18:06 22-May-2024,Argos,B,40.7762,-129.6814,7711,11525,5158,108,,,,,,
K311,264746,UT,19:55:21 22-May-2024,Argos,B,40.8428,-129.7406,5350,8035,3562,90,,,,,,
K311,264746,UT,22:33:23 22-May-2024,Argos,B,40.9593,-129.8164,3516,18824,656,102,,,,,,
K311,264746,UT,00:20:50 23-May-2024,Argos,B,41.0069,-129.9324,4904,16323,1473,101,,,,,,
K311,264746,UT,02:26:07 23-May-2024,Argos,B,41.0880,-130.0584,2978,113554,78,85,,,,,,
K311,264746,UT,03:10:04 23-May-2024,Argos,B,41.1063,-130.1008,1927,7148,519,86,,,,,,
K311,264746,UT,04:08:48 23-May-2024,Argos,B,41.1360,-130.1161,946,2038,439,141,,,,,,
