Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
18150,264746,3,NP, ,1,01-May-2024,03:32:31,,,,401650000,-130,,0,01-May-2024,03:32:31,,,188,,,,,,,33,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264746,3,NP, ,1,01-May-2024,03:32:31,,,,401650000,-130,,0,01-May-2024,03:35:39,,,188,,,,,,,49,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264746,3,MB, ,2,01-May-2024,03:54:28,,,,401650000,-135,,0,01-May-2024,03:54:28,,,,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264746,3,SR, ,3,01-May-2024,04:00:41,,,,401650000,-127,,0,01-May-2024,04:00:41,,,,,,,,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264746,31,A1, ,4,01-May-2024,04:13:56,,,,401650000,-135,,0,01-May-2024,04:13:56,,,,,,,,,,19,192,202,18,1,69,21,92,18,7,192,36,5,108,15,226,236,1,92,15,126,4,192,145,2,40,219,57,24,0,0,
18150,264746,3,NK, ,5,01-May-2024,04:21:12,,,,401650000,-124,,0,01-May-2024,04:21:12,,,,,,,,,,47,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264746,3,MC, ,6,01-May-2024,04:41:02,,,,401650000,-118,,0,01-May-2024,04:41:02,,,639,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264746,3,MC, ,6,01-May-2024,04:41:02,,,,401650000,-118,,0,01-May-2024,04:50:54,,,639,,,,,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264746,3,MC, ,6,01-May-2024,04:41:02,,,,401650000,-118,,0,01-May-2024,04:51:41,,,639,,,,,,,38,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264746,3,NN, ,7,01-May-2024,04:50:54,,,,401650000,-133,,0,01-May-2024,04:50:54,,,,,,,,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
