DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
K311,264746,0.500000,UT,,,03:32:31 01-May-2024,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 01-May-2024,,,
K311,264746,0.500000,UT,,,03:35:39 01-May-2024,,,,,,,,,,,,,,,,,534,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 01-May-2024,,,
K311,264746,0.500000,UT,1.00a,,03:54:28 01-May-2024,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 01-May-2024,,,
K311,264746,0.500000,UT,,,04:00:41 01-May-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 01-May-2024,,,3126
K311,264746,0.500000,UT,,,04:21:12 01-May-2024,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 01-May-2024,,,
K311,264746,0.500000,UT,1.00a,,04:41:02 01-May-2024,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 01-May-2024,,,
K311,264746,0.500000,UT,,,04:50:54 01-May-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 01-May-2024,,,3126
K311,264746,0.500000,UT,,,04:51:41 01-May-2024,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 01-May-2024,,,
K311,264746,0.500000,UT,,,05:12:29 01-May-2024,,A,34.8443,-133.8696,,,,,,,,,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 01-May-2024,,,
K311,264746,0.500000,UT,1.00a,,05:13:24 01-May-2024,,A,34.8443,-133.8696,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 01-May-2024,,,
