"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"HF2024_1006_22U3194",264706,10522,,,,,,,0,SR,,401650000,05/07/2024 05:41:23,1,1,0,-130,401650000,,,,,,,,,,,,10,145,47,193,78,16,50,148,55,121,31,234,43,152,107,159,42,52,102,107,3,16,11,,,,,,,,,
"HF2024_1006_22U3194",264706,10522,,,,,,,0,MC,,401650000,05/07/2024 06:11:40,1,1,0,-121,401650000,,,,,,,,,,,,14,68,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HF2024_1006_22U3194",264706,10522,,,,,,,0,NK,,401650000,05/07/2024 06:50:34,1,1,0,-135,401650000,,,,,,,,,,,,98,156,132,18,3,234,65,71,112,28,29,26,227,41,32,65,130,50,26,9,94,242,149,,,,,,,,,
"HF2024_1006_22U3194",264706,10522,,,,,,,0,SR,,401650000,05/07/2024 07:24:42,1,1,0,-120,401650000,,,,,,,,,,,,8,113,107,197,57,25,0,64,48,6,0,192,23,130,240,94,12,65,160,56,8,33,80,44,133,224,0,,,,,
"HF2024_1006_22U3194",264706,10522,,,,,,,0,MB,,401650000,05/07/2024 08:38:36,1,1,0,-129,401650000,,,,,,,,,,,,162,156,107,174,5,174,161,15,87,81,233,218,208,118,208,117,69,179,14,24,44,83,162,104,128,0,16,,,,,
"HF2024_1006_22U3194",264706,10522,,,,,,,0,NN,,401650000,05/07/2024 08:47:33,1,1,0,-125,401650000,,,,,,,,,,,,98,156,132,18,3,234,65,71,112,28,29,26,227,41,35,2,20,232,190,,,,,,,,,,,,,
"HF2024_1006_22U3194",264706,10522,,,,,,,0,NP,,401650000,05/07/2024 09:17:32,1,1,0,-131,401650000,,,,,,,,,,,,67,48,180,165,168,199,161,78,19,165,23,200,82,3,133,10,137,248,1,175,242,0,40,0,122,163,65,88,0,0,128,
"HF2024_1006_22U3194",264706,10522,,,,,,,294,O3,,401650000,05/07/2024 10:31:13,1,2,0,-121,401650000,,,,,,,,,,,,226,156,53,0,81,42,68,105,199,223,228,224,82,44,236,130,171,129,80,150,136,70,223,220,39,193,78,167,204,0,0,
"HF2024_1006_22U3194",264706,10522,,,,,,,0,NN,,401650000,05/07/2024 10:31:13,1,1,0,-124,401650000,,,,,,,,,,,,226,156,53,0,81,42,68,105,199,223,228,224,82,44,236,130,171,129,80,150,136,70,223,220,39,193,78,167,204,0,0,
"HF2024_1006_22U3194",264706,10522,,,,,,,294,O3,,401650000,05/07/2024 10:36:07,1,2,0,-121,401650000,,,,,,,,,,,,10,145,47,193,78,16,0,0,35,0,248,40,64,149,126,44,52,66,78,114,88,0,0,,,,,,,,,
"HF2024_1006_22U3194",264706,10522,,,,,,,0,SR,,401650000,05/07/2024 10:40:38,1,1,0,-134,401650000,,,,,,,,,,,,29,113,126,133,56,211,0,72,49,6,32,196,24,131,16,98,12,129,152,55,71,129,46,43,0,0,0,,,,,
"HF2024_1006_22U3194",264706,10522,,,,,,,0,SR,,401650000,05/07/2024 17:09:52,1,1,0,-131,401650000,,,,,,,,,,,,3,81,51,193,78,66,80,15,130,4,9,82,227,67,228,165,39,234,201,96,62,8,14,37,59,139,142,16,147,157,43,
