DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
HF2024_1006_22U3194,264706,Transmission,UT,01:00:00 07-May-2024,02:00:00 07-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,01:00:00 07-May-2024,02:00:00 07-May-2024,depth,deep,,0.0,0,0,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,01:00:00 07-May-2024,02:00:00 07-May-2024,depth,dry,,100.0,3600,3600,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,02:00:00 07-May-2024,04:00:00 07-May-2024,depth,shallow,0.000000,68.5,4896,4968,12,,2.000000,,,5.000000,,15.000000
HF2024_1006_22U3194,264706,Transmission,UT,02:00:00 07-May-2024,04:00:00 07-May-2024,depth,deep,,17.3,1211,1283,12,19.000000,,23.000000,30.000000,,36.000000,54.000000
HF2024_1006_22U3194,264706,Transmission,UT,02:00:00 07-May-2024,04:00:00 07-May-2024,depth,dry,,14.2,986,1058,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,04:00:00 07-May-2024,06:00:00 07-May-2024,depth,shallow,0.000000,64.6,4613,4685,20,,1.000000,,,5.000000,,15.000000
HF2024_1006_22U3194,264706,Transmission,UT,04:00:00 07-May-2024,06:00:00 07-May-2024,depth,deep,,33.9,2402,2474,20,23.000000,,28.000000,34.000000,,38.000000,60.000000
HF2024_1006_22U3194,264706,Transmission,UT,04:00:00 07-May-2024,06:00:00 07-May-2024,depth,dry,,1.5,72,144,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,06:00:00 07-May-2024,08:00:00 07-May-2024,depth,shallow,0.000000,61.4,4386,4458,22,,1.000000,,,4.000000,,15.000000
HF2024_1006_22U3194,264706,Transmission,UT,06:00:00 07-May-2024,08:00:00 07-May-2024,depth,deep,,33.9,2402,2474,22,20.000000,,25.000000,30.000000,,36.000000,55.000000
HF2024_1006_22U3194,264706,Transmission,UT,06:00:00 07-May-2024,08:00:00 07-May-2024,depth,dry,,4.7,302,374,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,12:00:00 07-May-2024,14:00:00 07-May-2024,depth,shallow,0.000000,65.4,4670,4742,2,,1.000000,,,4.000000,,15.000000
HF2024_1006_22U3194,264706,Transmission,UT,12:00:00 07-May-2024,14:00:00 07-May-2024,depth,deep,,2.4,134,206,2,21.000000,,24.000000,26.000000,,27.000000,28.000000
HF2024_1006_22U3194,264706,Transmission,UT,12:00:00 07-May-2024,14:00:00 07-May-2024,depth,dry,,32.2,2282,2354,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,14:00:00 07-May-2024,16:00:00 07-May-2024,depth,shallow,0.000000,69.3,4953,5025,27,,1.000000,,,8.000000,,15.000000
HF2024_1006_22U3194,264706,Transmission,UT,14:00:00 07-May-2024,16:00:00 07-May-2024,depth,deep,,29.1,2062,2134,27,19.000000,,21.000000,23.000000,,25.000000,31.000000
HF2024_1006_22U3194,264706,Transmission,UT,14:00:00 07-May-2024,16:00:00 07-May-2024,depth,dry,,1.6,79,151,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,16:00:00 07-May-2024,18:00:00 07-May-2024,depth,shallow,0.000000,40.9,2912,2984,2,,1.000000,,,2.000000,,15.000000
HF2024_1006_22U3194,264706,Transmission,UT,16:00:00 07-May-2024,18:00:00 07-May-2024,depth,deep,,0.8,21,93,2,16.000000,,19.000000,20.000000,,22.000000,23.000000
HF2024_1006_22U3194,264706,Transmission,UT,16:00:00 07-May-2024,18:00:00 07-May-2024,depth,dry,,58.3,4162,4234,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,18:00:00 07-May-2024,20:00:00 07-May-2024,depth,shallow,0.000000,51.2,3649,3721,0,,1.000000,,,1.000000,,15.000000
HF2024_1006_22U3194,264706,Transmission,UT,18:00:00 07-May-2024,20:00:00 07-May-2024,depth,deep,,0.0,0,0,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,18:00:00 07-May-2024,20:00:00 07-May-2024,depth,dry,,48.8,3478,3550,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,20:00:00 07-May-2024,22:00:00 07-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,20:00:00 07-May-2024,22:00:00 07-May-2024,depth,deep,,0.0,0,0,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,20:00:00 07-May-2024,22:00:00 07-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,22:00:00 07-May-2024,00:00:00 08-May-2024,depth,shallow,0.000000,0.2,1,50,0,,1.000000,,,1.000000,,1.000000
HF2024_1006_22U3194,264706,Transmission,UT,22:00:00 07-May-2024,00:00:00 08-May-2024,depth,deep,,0.0,0,0,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,22:00:00 07-May-2024,00:00:00 08-May-2024,depth,dry,,99.8,7150,7199,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,08:00:00 08-May-2024,10:00:00 08-May-2024,depth,shallow,0.000000,77.2,5520,5592,19,,1.000000,,,2.000000,,15.000000
HF2024_1006_22U3194,264706,Transmission,UT,08:00:00 08-May-2024,10:00:00 08-May-2024,depth,deep,,19.7,1381,1453,19,18.000000,,20.000000,22.000000,,37.000000,68.000000
HF2024_1006_22U3194,264706,Transmission,UT,08:00:00 08-May-2024,10:00:00 08-May-2024,depth,dry,,3.1,187,259,,,,,,,,
HF2024_1006_22U3194,264706,Transmission,UT,10:00:00 08-May-2024,12:00:00 08-May-2024,depth,shallow,0.000000,97.6,6994,7066,1,,1.000000,,,2.000000,,15.000000
HF2024_1006_22U3194,264706,Transmission,UT,10:00:00 08-May-2024,12:00:00 08-May-2024,depth,deep,,0.2,1,50,1,16.000000,,17.000000,18.000000,,19.000000,20.000000
