Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
HF2024_1006_22U3194,07-May-2024,01:42:00,2,19664412.000000,,,0,8,,,,,,,,,,,,,,,15,10,4772,,,,8,27079,,,,27,32334,,,,32,21036,,,,21,14356,,,,16,19269,,,,2,7038,,,,23,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,07-May-2024,03:23:23,1,14979365.000000,,,0,4,,,,,,,,,,,,,,,15,32,23274,,,,2,3927,,,,10,7837,,,,21,20598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,07-May-2024,04:08:09,4,12910643.000000,,,0,4,,,,,,,,,,,,,,,15,32,16036,,,,2,18288,,,,3,16849,,,,21,25385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,07-May-2024,16:43:13,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,19,22368,,,,24,16564,,,,12,9708,,,,17,31624,,,,25,15028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,07-May-2024,18:27:07,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,29,29460,,,,32,5554,,,,25,23921,,,,12,24170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,07-May-2024,19:01:05,3,1.000000,,,0,8,,,,,,,,,,,,,,,15,29,14539,,,,32,1509,,,,31,11943,,,,28,22617,,,,25,11176,,,,12,2473,,,,11,28102,,,,1,7775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,02:02:47,1,1.000000,,,0,8,,,,,,,,,,,,,,,15,23,12786,,,,10,19550,,,,14,22318,,,,22,8122,,,,2,22336,,,,21,32243,,,,8,31622,,,,32,17029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,08:46:00,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,4,12064,,,,16,18841,,,,9,25510,,,,26,25113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,15:18:10,1,1.000000,,,0,7,,,,,,,,,,,,,,,15,10,21202,,,,23,17272,,,,24,23856,,,,12,2841,,,,32,1518,,,,15,3707,,,,19,3462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,17:15:44,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,12,32042,,,,32,9013,,,,25,24993,,,,28,18855,,,,24,25746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,18:59:47,2,1.000000,,,0,8,,,,,,,,,,,,,,,15,28,32556,,,,31,28112,,,,29,30950,,,,25,11964,,,,12,29804,,,,4,5515,,,,11,686,,,,3,24833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,19:33:27,5,1.000000,,,0,6,,,,,,,,,,,,,,,15,29,28395,,,,28,15010,,,,1,25044,,,,26,25152,,,,31,29990,,,,25,8271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,21:10:20,3,1.000000,,,0,8,,,,,,,,,,,,,,,15,1,20044,,,,16,19273,,,,26,2934,,,,31,2677,,,,4,18732,,,,9,4309,,,,28,29278,,,,29,15461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,08-May-2024,23:00:02,2,1.000000,,,0,8,,,,,,,,,,,,,,,15,5,80,,,,7,17451,,,,18,31860,,,,27,16418,,,,15,10910,,,,29,25291,,,,1,4308,,,,26,9673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,09-May-2024,00:50:41,1,1.000000,,,0,8,,,,,,,,,,,,,,,15,8,19800,,,,10,6748,,,,30,15264,,,,27,27373,,,,15,3660,,,,23,6743,,,,7,30248,,,,18,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
