DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,Percent,00:00:00 09-May-2024,1.000000,3,,,,,24,,80,100,98,3,0,10,3,3,3,3,3,3,0,3,3,10,3,10,10,20,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,Percent,00:00:00 10-May-2024,1.000000,4,,,,,24,,100,100,20,3,3,3,3,3,3,10,10,10,3,3,3,3,10,10,10,10,80,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,Percent,00:00:00 11-May-2024,1.000000,3,,,,,24,,100,100,100,100,100,50,3,10,10,10,10,10,10,3,3,3,3,10,30,80,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,Percent,00:00:00 12-May-2024,1.000000,3,,,,,24,,100,100,100,10,10,10,10,10,10,10,3,10,10,3,3,10,3,3,10,40,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,Percent,00:00:00 13-May-2024,1.000000,2,,,,,24,,100,100,100,100,100,100,100,100,70,10,10,20,10,10,10,10,10,10,10,10,3,20,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,Percent,00:00:00 14-May-2024,1.000000,4,,,,,24,,40,100,100,100,100,100,60,10,10,10,10,10,10,10,10,10,20,20,20,20,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,Percent,00:00:00 15-May-2024,1.000000,1,,,,,24,,20,20,20,10,20,40,100,100,100,100,100,90,10,10,20,10,70,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,Percent,00:00:00 16-May-2024,1.000000,2,,,,,24,,100,100,100,100,100,100,80,10,20,10,10,10,10,10,10,10,10,10,3,3,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,Percent,00:00:00 17-May-2024,1.000000,2,,,,,24,,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,Percent,00:00:00 18-May-2024,1.000000,3,,,,,24,,20,30,100,100,100,100,100,100,100,30,10,10,10,10,20,20,10,10,60,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
