DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,Depth21,Depth21Error,MinTemp21,MaxTemp21,%Ox21,Discont21,Depth22,Depth22Error,MinTemp22,MaxTemp22,%Ox22,Discont22,Depth23,Depth23Error,MinTemp23,MaxTemp23,%Ox23,Discont23,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,04:25:00 07-May-2024,16.7,12131985.00,1,,,, ,13,,0.00,0.00,-1.625,-1.575,,,5.00,0.00,-1.625,-1.575,,,10.00,0.00,-1.625,-1.575,,,15.00,0.00,-1.675,-1.625,,,20.00,0.00,-1.675,-1.625,,,25.00,0.00,-1.675,-1.625,,,30.00,0.00,-1.575,-1.525,,,35.00,0.00,-1.425,-1.375,,,40.00,0.00,-1.225,-1.175,,,45.00,0.00,-0.775,-0.725,,,50.00,0.00,0.175,0.225,,,55.00,0.00,0.425,0.475,,,60.00,0.00,0.675,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,16:40:00 07-May-2024,1.7,1.00,2,,,, ,5,,0.00,0.00,-1.675,-1.625,,,5.00,0.00,-1.675,-1.625,,,10.00,0.00,-1.675,-1.625,,,15.00,0.00,-1.625,-1.575,,,20.00,0.00,-1.625,-1.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,18:27:00 07-May-2024,1.7,1.00,1,,,, ,3,,0.00,0.00,-1.625,-1.575,,,5.00,0.00,-1.625,-1.575,,,10.00,0.00,-1.625,-1.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,19:33:00 08-May-2024,1.7,1.00,1,,,, ,4,,0.00,0.00,-1.625,-1.575,,,5.00,0.00,-1.625,-1.575,,,10.00,0.00,-1.625,-1.575,,,15.00,0.00,-1.525,-1.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,09:00:00 09-May-2024,1.7,1.00,1,,,, ,4,,0.00,0.00,-1.625,-1.575,,,5.00,0.00,-1.625,-1.575,,,10.00,0.00,-1.675,-1.625,,,15.00,0.00,-1.675,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,10:38:00 09-May-2024,1.7,1.00,3,,,, ,7,,0.00,0.00,-1.625,-1.575,,,5.00,0.00,-1.525,-1.475,,,10.00,0.00,-1.625,-1.575,,,15.00,0.00,-1.675,-1.625,,,20.00,0.00,-1.625,-1.575,,,25.00,0.00,-1.575,-1.525,,,30.00,1.00,-1.475,-1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,15:46:00 10-May-2024,1.7,1.00,2,,,, ,11,,0.00,0.00,-1.625,-1.575,,,5.00,0.00,-1.625,-1.575,,,10.00,0.00,-1.625,-1.575,,,15.00,0.00,-1.525,-1.475,,,20.00,0.00,-1.425,-1.375,,,25.00,0.00,-1.475,-1.425,,,30.00,0.00,-0.875,-0.825,,,35.00,0.00,-0.525,-0.475,,,40.00,0.00,-0.075,-0.025,,,45.00,0.00,0.525,0.575,,,50.00,0.00,0.675,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,16:26:00 10-May-2024,1.7,1.00,4,,,, ,10,,0.00,0.00,-1.625,-1.575,,,5.00,0.00,-1.575,-1.525,,,10.00,0.00,-1.575,-1.525,,,15.00,0.00,-1.425,-1.375,,,20.00,0.00,-1.425,-1.375,,,25.00,0.00,-1.325,-1.275,,,30.00,0.00,-0.725,-0.675,,,35.00,0.00,-0.375,-0.325,,,40.00,0.00,0.375,0.425,,,45.00,0.00,0.525,0.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,17:30:00 11-May-2024,1.7,1.00,4,,,, ,8,,0.00,0.00,-1.525,-1.475,,,5.00,0.00,-1.525,-1.475,,,10.00,0.00,-1.475,-1.425,,,15.00,0.00,-1.475,-1.425,,,20.00,0.00,-1.425,-1.375,,,25.00,0.00,-1.075,-1.025,,,30.00,0.00,-0.775,-0.725,,,35.00,0.00,-0.475,-0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1006_22U3194,264706,0.500000,Transmission,UT,18:02:00 11-May-2024,1.7,1.00,3,,,, ,7,,0.00,0.00,-1.575,-1.525,,,5.00,0.00,-1.525,-1.475,,,10.00,0.00,-1.425,-1.375,,,15.00,0.00,-1.425,-1.375,,,20.00,0.00,-1.375,-1.325,,,25.00,0.00,-1.025,-0.975,,,30.00,0.00,-0.725,-0.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
