Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
10522,264706,23,SR, ,1,07-May-2024,05:41:23,,,,401650000,-130,,0,07-May-2024,05:41:23,,,,,,,,,,10,145,47,193,78,16,50,148,55,121,31,234,43,152,107,159,42,52,102,107,3,16,11,,,,,,,,,
10522,264706,3,MC, ,2,07-May-2024,06:11:40,,,,401650000,-121,,0,07-May-2024,06:11:40,,,,,,,,,,14,68,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10522,264706,23,NK, ,3,07-May-2024,06:50:34,,,,401650000,-135,,0,07-May-2024,06:50:34,,,,,,,,,,98,156,132,18,3,234,65,71,112,28,29,26,227,41,32,65,130,50,26,9,94,242,149,,,,,,,,,
10522,264706,27,SR, ,4,07-May-2024,07:24:42,,,,401650000,-120,,0,07-May-2024,07:24:42,,,,,,,,,,8,113,107,197,57,25,0,64,48,6,0,192,23,130,240,94,12,65,160,56,8,33,80,44,133,224,0,,,,,
10522,264706,27,MB, ,5,07-May-2024,08:38:36,,,,401650000,-129,,0,07-May-2024,08:38:36,,,,,,,,,,162,156,107,174,5,174,161,15,87,81,233,218,208,118,208,117,69,179,14,24,44,83,162,104,128,0,16,,,,,
10522,264706,19,NN, ,6,07-May-2024,08:47:33,,,,401650000,-125,,0,07-May-2024,08:47:33,,,,,,,,,,98,156,132,18,3,234,65,71,112,28,29,26,227,41,35,2,20,232,190,,,,,,,,,,,,,
10522,264706,31,NP, ,7,07-May-2024,09:17:32,,,,401650000,-131,,0,07-May-2024,09:17:32,,,,,,,,,,67,48,180,165,168,199,161,78,19,165,23,200,82,3,133,10,137,248,1,175,242,0,40,0,122,163,65,88,0,0,128,
10522,264706,31,O3, ,8,07-May-2024,10:31:13,,,,401650000,-121,,0,07-May-2024,10:31:13,,,294,,,,,,,226,156,53,0,81,42,68,105,199,223,228,224,82,44,236,130,171,129,80,150,136,70,223,220,39,193,78,167,204,0,0,
10522,264706,23,O3, ,8,07-May-2024,10:31:13,,,,401650000,-121,,0,07-May-2024,10:36:07,,,294,,,,,,,10,145,47,193,78,16,0,0,35,0,248,40,64,149,126,44,52,66,78,114,88,0,0,,,,,,,,,
10522,264706,31,NN, ,9,07-May-2024,10:31:13,,,,401650000,-124,,0,07-May-2024,10:31:13,,,,,,,,,,226,156,53,0,81,42,68,105,199,223,228,224,82,44,236,130,171,129,80,150,136,70,223,220,39,193,78,167,204,0,0,
10522,264706,27,SR, ,10,07-May-2024,10:40:38,,,,401650000,-134,,0,07-May-2024,10:40:38,,,,,,,,,,29,113,126,133,56,211,0,72,49,6,32,196,24,131,16,98,12,129,152,55,71,129,46,43,0,0,0,,,,,
10522,264706,31,SR, ,11,07-May-2024,17:09:52,,,,401650000,-131,,0,07-May-2024,17:09:52,,,,,,,,,,3,81,51,193,78,66,80,15,130,4,9,82,227,67,228,165,39,234,201,96,62,8,14,37,59,139,142,16,147,157,43,
10522,264706,3,NK, ,12,07-May-2024,19:04:10,,,,401650000,-137,,0,07-May-2024,19:04:10,,,,,,,,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
