DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
HF2024_1006_22U3194,264706,0.500000,UT,1.00b,,19:04:10 07-May-2024,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,20:38:04 07-May-2024,20:38:04 07-May-2024,0,A,61.1731,-177.2168,CRC,,,,625,3.300,,,4.80,0.0,,,,,,,,,,,,,255,1,,43,,,,,,,93,31,20,0,12,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,,23:00:01 08-May-2024,,3,61.0614,-177.6225,,,,,,,,,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,,23:01:32 08-May-2024,,3,61.0614,-177.6225,,,,,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,,23:03:47 08-May-2024,,3,61.0614,-177.6225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,7780
HF2024_1006_22U3194,264706,0.500000,UT,,,23:16:27 08-May-2024,,B,61.0606,-177.6479,,,,,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,1.00b,,23:18:53 08-May-2024,,B,61.0606,-177.6479,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,21:25:36 09-May-2024,21:25:37 09-May-2024,1,B,61.1617,-177.7457,CRC,,,,1350,3.325,,,4.30,0.0,,,,,,,,,,,,,255,28,255,42,,,,,,,53,79,49,0,77,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,,17:52:30 10-May-2024,,B,61.1479,-178.0994,,,,,,3.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,02:01:30 11-May-2024,02:01:30 11-May-2024,0,A,61.1314,-178.2700,CRC,,,,1775,3.425,,,20.30,0.0,,,,,,,,,,,,,255,27,255,42,,,,,,,61,114,72,0,59,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,,17:08:54 11-May-2024,,3,61.1146,-178.4028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,7780
HF2024_1006_22U3194,264706,0.500000,UT,,,17:13:08 11-May-2024,,3,61.1146,-178.4028,,,,,,,,,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,,17:15:21 11-May-2024,,3,61.1146,-178.4028,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,,17:17:11 11-May-2024,,3,61.1146,-178.4028,,,,,,3.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,20:30:58 11-May-2024,20:30:59 11-May-2024,1,3,61.1071,-178.4044,CRC,,,,2050,3.325,,,7.65,0.0,,,,,,,,,,,,,255,27,255,42,,,,,,,97,145,96,0,69,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,,21:02:16 11-May-2024,,B,61.1098,-178.3987,,,,,,3.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,1.00b,,21:03:01 11-May-2024,,B,61.1098,-178.3987,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,22:13:40 11-May-2024,22:13:41 11-May-2024,1,1,61.1119,-178.4326,CRC,,,,2100,3.375,,,14.25,0.0,,,,,,,,,,,,,255,27,255,42,,,,,,,91,146,96,0,110,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,,11:39:43 12-May-2024,,2,61.1097,-178.5046,,,,,,3.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,
HF2024_1006_22U3194,264706,0.500000,UT,,,11:41:45 12-May-2024,,2,61.1097,-178.5046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 07-May-2024,,,7780
