"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"J021",242856,18150,37.11144,-122.32983,3,05/08/2024 03:36:39,Argos,0,549,SR,,401677643.35,05/08/2024 03:34:32,1,7,0,-122,401677643.35,-122.32983,37.11144,-122.32983,37.11144,60,0,247,586,103,63,683,63,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J021",242856,18150,37.11144,-122.32983,3,05/08/2024 03:36:39,Argos,0,549,SR,,401677643.35,05/08/2024 03:35:17,1,7,0,-122,401677643.35,-122.32983,37.11144,-122.32983,37.11144,60,0,247,586,103,63,683,69,62,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J021",242856,18150,37.11144,-122.32983,3,05/08/2024 03:36:39,Argos,0,549,SR,,401677643.35,05/08/2024 03:36:56,1,7,0,-122,401677643.35,-122.32983,37.11144,-122.32983,37.11144,60,0,247,586,103,63,683,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J021",242856,18150,37.11144,-122.32983,3,05/08/2024 03:36:39,Argos,0,549,SR,,401677643.35,05/08/2024 03:39:56,1,7,0,-122,401677643.35,-122.32983,37.11144,-122.32983,37.11144,60,0,247,586,103,63,683,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J021",242856,18150,37.11144,-122.32983,3,05/08/2024 03:36:39,Argos,0,549,SR,,401677643.35,05/08/2024 03:41:26,1,7,0,-122,401677643.35,-122.32983,37.11144,-122.32983,37.11144,60,0,247,586,103,63,683,43,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J021",242856,18150,37.11144,-122.32983,3,05/08/2024 03:36:39,Argos,0,549,SR,,401677643.35,05/08/2024 03:42:56,1,7,0,-122,401677643.35,-122.32983,37.11144,-122.32983,37.11144,60,0,247,586,103,63,683,51,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J021",242856,18150,37.11144,-122.32983,3,05/08/2024 03:36:39,Argos,0,549,SR,,401677643.35,05/08/2024 03:43:41,1,7,0,-122,401677643.35,-122.32983,37.11144,-122.32983,37.11144,60,0,247,586,103,63,683,75,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J021",242856,18150,37.11701,-122.33319,3,05/08/2024 03:45:56,Argos,0,410,NP,,401677642.52,05/08/2024 03:48:12,1,7,0,-125,401677642.52,-122.33319,37.11701,-122.33319,37.11701,56,3,235,288,191,44,268,58,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J021",242856,18150,37.11701,-122.33319,3,05/08/2024 03:45:56,Argos,0,410,NP,,401677642.52,05/08/2024 03:48:57,1,7,0,-125,401677642.52,-122.33319,37.11701,-122.33319,37.11701,56,3,235,288,191,44,268,69,46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J021",242856,18150,37.11701,-122.33319,3,05/08/2024 03:45:56,Argos,0,410,NP,,401677642.52,05/08/2024 03:49:46,1,7,0,-125,401677642.52,-122.33319,37.11701,-122.33319,37.11701,56,3,235,288,191,44,268,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
