DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
J021,242856,UT,DS,7,0,0,91,45,03:36:39 08-May-2024,SR,3,37.1114,-122.3298,37.1114,-122.3298,60,,401677643,-122
J021,242856,UT,DS,7,1,0,,,03:45:56 08-May-2024,NP,3,37.1170,-122.3332,37.1170,-122.3332,56,,401677642,-125
J021,242856,UT,DS,4,0,0,85,45,03:59:07 08-May-2024,MC,1,37.1185,-122.3336,37.1185,-122.3336,56,,401677641,-123
J021,242856,UT,DS,2,0,0,385,385,04:37:23 08-May-2024,NK,B,37.1189,-122.3313,37.1189,-122.3313,8,,401677641,-133
J021,242856,UT,DS,3,0,0,113,46,04:46:03 08-May-2024,MB,A,37.1195,-122.3301,37.1195,-122.3301,6,,401677640,-125
J021,242856,UT,DS,2,0,0,450,450,05:05:31 08-May-2024,NN,B,37.1180,-122.3336,37.1180,-122.3336,6,,401677641,-127
J021,242856,UT,DS,5,1,0,,,05:30:18 08-May-2024,NP,2,37.1194,-122.3353,37.1194,-122.3353,56,,401677639,-121
J021,242856,UT,DS,2,0,0,46,46,05:43:05 08-May-2024,MC,B,37.1176,-122.3324,37.1176,-122.3324,6,,401677635,-114
J021,242856,UT,DS,2,0,0,90,90,06:20:17 08-May-2024,O3,B,37.1173,-122.3288,37.1173,-122.3288,8,,401677634,-129
J021,242856,UT,DS,1,0,0,,,06:29:17 08-May-2024,MB,B,37.1172,-122.3288,37.1172,-122.3288,6,,401677633,-133
J021,242856,UT,DS,3,0,0,266,218,06:49:39 08-May-2024,NN,A,37.1173,-122.3275,37.1173,-122.3275,6,,401677632,-125
J021,242856,UT,DS,8,1,0,,,08:00:02 08-May-2024,O3,2,37.1170,-122.3352,37.1170,-122.3352,58,,401677631,-123
J021,242856,UT,DS,1,0,0,,,09:39:11 08-May-2024,O3,B,37.1169,-122.3355,37.1169,-122.3355,8,,401677631,-136
J021,242856,UT,DS,3,0,1,45,45,11:36:01 08-May-2024,SR,A,37.1160,-122.3289,37.1160,-122.3289,8,,401677634,-136
J021,242856,UT,DS,3,0,0,45,45,02:21:50 15-May-2024,CS,A,37.1075,-122.2721,37.1075,-122.2721,,,401677640,-130
J021,242856,UT,DS,3,0,1,258,45,03:19:59 15-May-2024,SR,A,37.1014,-122.3382,37.1014,-122.3382,8,,401677625,-124
J021,242856,UT,DS,3,0,1,258,45,03:22:44 15-May-2024,NK,A,37.1119,-122.3424,37.1119,-122.3424,6,,401677629,-124
J021,242856,UT,DS,1,0,0,,,03:27:44 15-May-2024,A1,B,37.1162,-122.3416,37.1162,-122.3416,6,,401677623,-137
J021,242856,UT,DS,6,0,0,135,45,04:08:41 15-May-2024,NP,A,37.1213,-122.3429,37.1213,-122.3429,56,,401677617,-122
J021,242856,UT,DS,3,0,0,158,45,04:06:08 15-May-2024,MB,A,37.1127,-122.3351,37.1127,-122.3351,8,,401677619,-127
J021,242856,UT,DS,5,1,0,,,04:58:58 15-May-2024,MC,3,37.1157,-122.3468,37.1157,-122.3468,58,,401677619,-113
J021,242856,UT,DS,2,0,1,45,45,05:18:08 15-May-2024,NN,B,37.1171,-122.3467,37.1171,-122.3467,6,,401677631,-137
J021,242856,UT,DS,14,3,0,,,05:48:13 15-May-2024,NP,3,37.1205,-122.3276,37.1205,-122.3276,56,,401677632,-121
J021,242856,UT,DS,8,0,1,64,45,05:44:16 15-May-2024,MB,3,37.1194,-122.3277,37.1194,-122.3277,56,,401677633,-126
J021,242856,UT,DS,7,2,0,,,06:37:29 15-May-2024,MC,2,37.1183,-122.3285,37.1183,-122.3285,58,,401677633,-126
J021,242856,UT,DS,2,0,0,45,45,01:00:20 22-May-2024,CS,B,37.1169,-122.3592,37.1169,-122.3592,,,401677616,-130
J021,242856,UT,DS,8,0,3,51,45,01:16:37 22-May-2024,SR,3,37.1155,-122.3352,37.1155,-122.3352,56,,401677617,-129
J021,242856,UT,DS,2,0,0,90,90,01:58:38 22-May-2024,NK,B,37.1172,-122.3439,37.1172,-122.3439,8,,401677620,-126
J021,242856,UT,DS,8,0,0,51,45,02:54:05 22-May-2024,SR,3,37.1144,-122.3298,37.1144,-122.3298,58,,401677620,-124
J021,242856,UT,DS,4,0,0,113,45,03:39:22 22-May-2024,NK,1,37.1213,-122.3294,,,58,,401677620,-123
J021,242856,UT,DS,1,0,0,,,03:41:07 22-May-2024,A1,B,37.1213,-122.3295,37.1213,-122.3295,6,,401677625,-128
J021,242856,UT,DS,6,0,0,122,45,04:14:05 22-May-2024,NP,3,37.1185,-122.3373,37.1185,-122.3373,58,,401677622,-129
J021,242856,UT,DS,4,0,0,84,45,04:14:49 22-May-2024,MC,3,37.1162,-122.3276,,,66,,401677625,-121
J021,242856,UT,DS,2,0,0,180,180,04:33:37 22-May-2024,SR,B,37.1176,-122.3355,37.1176,-122.3355,6,,401677622,-135
J021,242856,UT,DS,7,0,1,52,45,04:58:56 22-May-2024,MB,3,37.1153,-122.3384,37.1153,-122.3384,56,,401677622,-122
J021,242856,UT,DS,1,0,0,,,06:14:10 26-May-2024,MC,,,,,,,,401650000,-128
J021,242856,UT,DS,1,0,0,,,20:32:40 26-May-2024,NN,,,,,,,,401650000,-133
J021,242856,UT,DS,1,0,0,,,21:15:40 26-May-2024,O3,,,,,,,,401650000,-132
J021,242856,UT,DS,1,0,0,,,00:47:58 27-May-2024,CS,,,,,,,,401650000,-138
J021,242856,UT,DS,1,0,0,,,01:11:46 29-May-2024,CS,,,,,,,,401650000,-131
J021,242856,UT,DS,1,0,0,,,02:23:46 29-May-2024,NK,,,,,,,,401650000,-129
J021,242856,UT,DS,1,0,0,,,02:39:49 29-May-2024,SR,,,,,,,,401650000,-129
J021,242856,UT,DS,1,0,0,,,05:02:54 29-May-2024,MC,,,,,,,,401650000,-127
J021,242856,UT,DS,1,0,0,,,05:58:33 29-May-2024,MB,,,,,,,,401650000,-133
J021,242856,UT,DS,1,0,0,,,06:16:06 29-May-2024,NP,,,,,,,,401650000,-132
J021,242856,UT,DS,2,0,0,45,45,08:31:12 29-May-2024,O3,B,37.7961,-125.3337,34.6305,-141.5737,,,401677620,-127
J021,242856,UT,DS,1,0,1,,,15:29:07 29-May-2024,SR,B,37.8603,-125.3550,37.8603,-125.3550,8,,401677660,-132
J021,242856,UT,DS,1,0,0,,,18:12:00 29-May-2024,NN,B,37.9024,-125.3480,37.9024,-125.3480,8,,401677639,-131
J021,242856,UT,DS,1,0,0,,,18:12:00 29-May-2024,MB,B,37.9007,-125.3468,37.9007,-125.3468,,,401677642,-133
J021,242856,UT,DS,2,0,0,45,45,18:36:56 29-May-2024,NP,B,37.9591,-125.4849,37.9591,-125.4849,6,,401677707,-126
J021,242856,UT,DS,1,0,0,,,19:02:25 29-May-2024,MC,B,37.9613,-125.5297,37.9613,-125.5297,6,,401677651,-124
J021,242856,UT,DS,1,0,0,,,19:51:33 29-May-2024,NN,B,37.9535,-125.5490,37.9535,-125.5490,7,,401677663,-133
J021,242856,UT,DS,1,0,1,,,21:27:27 29-May-2024,NN,B,37.9568,-125.5590,37.9568,-125.5590,8,,401677669,-137
J021,242856,UT,DS,1,0,0,,,22:10:45 29-May-2024,O3,B,37.9568,-125.5599,37.9568,-125.5599,8,,401677672,-132
J021,242856,UT,DS,1,0,0,,,00:25:16 30-May-2024,CS,B,37.9753,-125.5543,,,8,,401677687,-132
J021,242856,UT,DS,1,0,0,,,02:06:50 30-May-2024,SR,B,38.0050,-125.5270,38.0050,-125.5270,8,,401677657,-130
J021,242856,UT,DS,2,0,0,45,45,02:07:13 30-May-2024,CS,B,38.1333,-126.0118,38.1333,-126.0118,8,,401677690,-126
J021,242856,UT,DS,1,0,0,,,02:07:35 30-May-2024,A1,B,38.1823,-125.9616,38.1823,-125.9616,6,,401677615,-132
J021,242856,UT,DS,2,0,0,45,45,03:43:55 30-May-2024,SR,B,38.2816,-125.9741,38.2816,-125.9741,8,,401677621,-122
J021,242856,UT,DS,2,0,0,45,45,04:21:51 30-May-2024,NP,B,38.3118,-125.9264,38.3118,-125.9264,8,,401677627,-122
J021,242856,UT,DS,1,0,0,,,04:54:17 30-May-2024,MC,B,38.3313,-125.9373,38.3313,-125.9373,8,,401677633,-131
J021,242856,UT,DS,1,0,1,,,05:42:43 30-May-2024,NN,B,38.3610,-125.9525,38.3610,-125.9525,8,,401677632,-137
