DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
J021,242856,UT,11:35:16 08-May-2024,,,A,37.1160,-122.3289,CRC 14.2,11:35:16 08-May-2024,Status,46,202,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J021,242856,UT,03:22:22 15-May-2024,,,A,37.1014,-122.3382,CRC 92.12,03:22:22 15-May-2024,Status,75,144,35,53,192,7,225,80,55,141,101,133,20,2,180,255,254,48,135,96,190,142,166,,,,,,,,,
J021,242856,UT,03:22:22 15-May-2024,,,A,37.1119,-122.3424,CRC 92.3,03:22:22 15-May-2024,Status,75,144,35,53,192,7,225,80,55,141,101,140,115,140,115,156,231,56,227,24,226,142,182,,,,,,,,,
J021,242856,UT,05:18:31 15-May-2024,,,B,37.1171,-122.3467,CRC 10.6,05:18:31 15-May-2024,Status,26,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J021,242856,UT,05:48:36 15-May-2024,,,3,37.1194,-122.3277,CRC 12.15,,,108,176,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J021,242856,UT,01:14:16 22-May-2024,,,3,37.1155,-122.3352,CRC 10.9,01:14:16 22-May-2024,Status,10,64,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J021,242856,UT,01:19:31 22-May-2024,,,3,37.1155,-122.3352,CRC 0.3,01:19:31 22-May-2024,Status,16,54,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J021,242856,UT,01:20:17 22-May-2024,,,3,37.1155,-122.3352,CRC 1.0,01:20:17 22-May-2024,Status,33,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J021,242856,UT,05:00:20 22-May-2024,,,3,37.1153,-122.3384,CRC 50.38,,,10,0,18,147,204,85,120,62,244,25,64,119,116,8,254,239,32,23,201,209,3,0,157,,,,,,,,,
J021,242856,UT,15:29:08 29-May-2024,,,B,37.8603,-125.3550,CRC 60.249,15:29:08 29-May-2024,Status,71,144,35,53,137,216,15,241,193,136,47,157,164,134,223,10,17,164,14,192,158,37,69,,,,,,,,,
J021,242856,UT,21:27:27 29-May-2024,,,B,37.9568,-125.5590,CRC 75.9f,19:47:00 29-May-2024,DSA,14,160,203,218,21,100,50,48,40,147,60,94,3,242,219,224,84,21,222,71,1,207,224,76,18,101,25,64,85,198,131,
J021,242856,UT,05:42:44 30-May-2024,,,B,38.3610,-125.9525,CRC 2.0,05:42:44 30-May-2024,Status,34,189,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J021,242856,UT,19:45:07 30-May-2024,,,B,38.6759,-126.6758,CRC 9.4,19:45:07 30-May-2024,Status,73,38,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J021,242856,UT,19:55:21 31-May-2024,,,B,38.7210,-126.7034,CRC ec.b3,18:56:42 31-May-2024,DSA,29,128,203,249,165,118,53,176,47,155,180,96,3,165,148,62,7,156,10,109,3,111,227,192,61,255,135,5,180,54,68,
J021,242856,UT,14:50:22 05-Jun-2024,,,A,40.0076,-130.8286,CRC 93.f4,13:56:49 05-Jun-2024,DSA,18,96,204,87,37,111,52,222,50,32,236,116,27,175,104,163,77,45,56,15,21,79,226,70,6,140,195,205,133,164,130,
