DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J021,242856,UT,,,,,,,05:37:44 26-May-2024,,,798,,,,,,180,,10.30,,62
J021,242856,UT,,,,,,,05:37:44 26-May-2024,0,05:37:44 26-May-2024,127,0,13,786,0,25,,,,,
J021,242856,UT,,,,,,,05:37:44 26-May-2024,1,05:39:51 26-May-2024,431,13,15,2036,0,,,,,,
J021,242856,UT,,,,,,,05:37:44 26-May-2024,2,05:47:02 26-May-2024,138,15,26,1058,1,,,,,,
J021,242856,UT,,,,,,,05:37:44 26-May-2024,3,05:49:20 26-May-2024,17,26,25,112,0,,,,,,
J021,242856,UT,,,,,,,05:37:44 26-May-2024,4,05:49:37 26-May-2024,23,25,0,128,0,-27,,,,,
J021,242856,UT,,,,,,,19:48:02 26-May-2024,,,1381,,,,,,119,134,12.60,7.70,63
J021,242856,UT,,,,,,,19:48:02 26-May-2024,0,19:48:02 26-May-2024,216,0,264,1528,1,65,,,,,
J021,242856,UT,,,,,,,19:48:02 26-May-2024,1,19:51:38 26-May-2024,216,264,320,1346,0,,,,,,
J021,242856,UT,,,,,,,19:48:02 26-May-2024,2,19:55:14 26-May-2024,639,320,264,4622,0,,,,,,
J021,242856,UT,,,,,,,19:48:02 26-May-2024,3,20:05:53 26-May-2024,113,264,196,946,0,,,,,,
J021,242856,UT,,,,,,,19:48:02 26-May-2024,4,20:07:46 26-May-2024,134,196,0,1274,0,-18,,,,,
J021,242856,UT,,,,,,,23:21:04 26-May-2024,,,1215,,,,,,103,232,12.10,8.60,79
J021,242856,UT,,,,,,,23:21:04 26-May-2024,0,23:21:04 26-May-2024,240,0,304,1976,6,64,,,,,
J021,242856,UT,,,,,,,23:21:04 26-May-2024,1,23:25:04 26-May-2024,222,304,352,1518,6,,,,,,
J021,242856,UT,,,,,,,23:21:04 26-May-2024,2,23:28:46 26-May-2024,505,352,196,3636,0,,,,,,
J021,242856,UT,,,,,,,23:21:04 26-May-2024,3,23:37:11 26-May-2024,80,196,136,630,0,,,,,,
