DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
J021,242856,UT,00:00:00 07-May-2024,User,,37.1111,-123.3323,,,,,,,,,,
J021,242856,UT,03:36:39 08-May-2024,Argos,3,37.1114,-122.3298,247,586,103,63,,,,,,
J021,242856,UT,03:45:56 08-May-2024,Argos,3,37.1170,-122.3332,235,288,191,44,,,,,,
J021,242856,UT,03:59:07 08-May-2024,Argos,1,37.1185,-122.3336,968,3187,293,39,,,,,,
J021,242856,UT,04:37:23 08-May-2024,Argos,B,37.1189,-122.3313,1289,6220,267,170,,,,,,
J021,242856,UT,04:46:03 08-May-2024,Argos,A,37.1195,-122.3301,543,1891,155,93,,,,,,
J021,242856,UT,05:05:31 08-May-2024,Argos,B,37.1180,-122.3336,804,4111,157,133,,,,,,
J021,242856,UT,05:30:18 08-May-2024,Argos,2,37.1194,-122.3353,265,727,96,113,,,,,,
J021,242856,UT,05:43:05 08-May-2024,Argos,B,37.1176,-122.3324,572,1213,269,45,,,,,,
J021,242856,UT,06:20:17 08-May-2024,Argos,B,37.1173,-122.3288,692,1730,277,16,,,,,,
J021,242856,UT,06:29:17 08-May-2024,Argos,B,37.1172,-122.3288,804,1312,492,18,,,,,,
J021,242856,UT,06:49:39 08-May-2024,Argos,A,37.1173,-122.3275,139,575,33,84,,,,,,
J021,242856,UT,08:00:02 08-May-2024,Argos,2,37.1170,-122.3352,257,861,76,91,,,,,,
J021,242856,UT,09:39:11 08-May-2024,Argos,B,37.1169,-122.3355,3092,4170,2292,92,,,,,,
J021,242856,UT,11:36:01 08-May-2024,Argos,A,37.1160,-122.3289,1490,4514,491,136,,,,,,
J021,242856,UT,02:21:50 15-May-2024,Argos,A,37.1075,-122.2721,2634,34153,203,102,,,,,,
J021,242856,UT,03:19:59 15-May-2024,Argos,A,37.1014,-122.3382,1054,6563,169,174,,,,,,
J021,242856,UT,03:22:44 15-May-2024,Argos,A,37.1119,-122.3424,560,1550,202,109,,,,,,
J021,242856,UT,03:27:44 15-May-2024,Argos,B,37.1162,-122.3416,755,934,610,93,,,,,,
J021,242856,UT,04:06:08 15-May-2024,Argos,A,37.1127,-122.3351,329,1328,81,142,,,,,,
J021,242856,UT,04:08:41 15-May-2024,Argos,A,37.1213,-122.3429,400,652,245,57,,,,,,
J021,242856,UT,04:58:58 15-May-2024,Argos,3,37.1157,-122.3468,122,394,37,72,,,,,,
J021,242856,UT,05:18:08 15-May-2024,Argos,B,37.1171,-122.3467,542,913,321,83,,,,,,
J021,242856,UT,05:44:16 15-May-2024,Argos,3,37.1194,-122.3277,137,220,85,73,,,,,,
J021,242856,UT,05:48:13 15-May-2024,Argos,3,37.1205,-122.3276,120,180,79,102,,,,,,
J021,242856,UT,06:37:29 15-May-2024,Argos,2,37.1183,-122.3285,255,394,165,138,,,,,,
J021,242856,UT,01:00:20 22-May-2024,Argos,B,37.1169,-122.3592,13751,248316,761,81,,,,,,
J021,242856,UT,01:16:37 22-May-2024,Argos,3,37.1155,-122.3352,141,209,95,22,,,,,,
J021,242856,UT,01:58:38 22-May-2024,Argos,B,37.1172,-122.3439,641,2481,165,52,,,,,,
J021,242856,UT,02:54:05 22-May-2024,Argos,3,37.1144,-122.3298,157,363,68,93,,,,,,
J021,242856,UT,03:39:22 22-May-2024,Argos,1,37.1213,-122.3294,510,2775,93,105,,,,,,
J021,242856,UT,03:41:07 22-May-2024,Argos,B,37.1213,-122.3295,536,1007,285,102,,,,,,
J021,242856,UT,04:14:05 22-May-2024,Argos,3,37.1185,-122.3373,179,297,108,112,,,,,,
J021,242856,UT,04:14:49 22-May-2024,Argos,3,37.1162,-122.3276,195,630,60,94,,,,,,
J021,242856,UT,04:33:37 22-May-2024,Argos,B,37.1176,-122.3355,790,1477,422,36,,,,,,
J021,242856,UT,04:58:56 22-May-2024,Argos,3,37.1153,-122.3384,182,1733,19,76,,,,,,
J021,242856,UT,08:31:12 29-May-2024,Argos,B,37.7961,-125.3337,293,3516,24,92,,,,,,
J021,242856,UT,15:29:07 29-May-2024,Argos,B,37.8603,-125.3550,2506,4113,1527,82,,,,,,
J021,242856,UT,18:12:00 29-May-2024,Argos,B,37.9024,-125.3480,2565,6555,1003,91,,,,,,
J021,242856,UT,18:12:00 29-May-2024,Argos,B,37.9007,-125.3468,2572,6498,1017,91,,,,,,
J021,242856,UT,18:36:56 29-May-2024,Argos,B,37.9591,-125.4849,1927,27897,133,89,,,,,,
J021,242856,UT,19:02:25 29-May-2024,Argos,B,37.9613,-125.5297,1895,8338,430,89,,,,,,
J021,242856,UT,19:51:33 29-May-2024,Argos,B,37.9535,-125.5490,1938,6786,553,95,,,,,,
