Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
18150,242856,3,SR,3,1,08-May-2024,03:36:39,37.1114,-122.3298,,401677643,-122,60,0,08-May-2024,03:34:32,37.1114,-122.3298,549,247,586,103,63,,,63,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,SR,3,1,08-May-2024,03:36:39,37.1114,-122.3298,,401677643,-122,60,0,08-May-2024,03:35:17,37.1114,-122.3298,549,247,586,103,63,,,69,62,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,SR,3,1,08-May-2024,03:36:39,37.1114,-122.3298,,401677643,-122,60,0,08-May-2024,03:36:56,37.1114,-122.3298,549,247,586,103,63,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,SR,3,1,08-May-2024,03:36:39,37.1114,-122.3298,,401677643,-122,60,0,08-May-2024,03:39:56,37.1114,-122.3298,549,247,586,103,63,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,SR,3,1,08-May-2024,03:36:39,37.1114,-122.3298,,401677643,-122,60,0,08-May-2024,03:41:26,37.1114,-122.3298,549,247,586,103,63,,,43,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,SR,3,1,08-May-2024,03:36:39,37.1114,-122.3298,,401677643,-122,60,0,08-May-2024,03:42:56,37.1114,-122.3298,549,247,586,103,63,,,51,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,SR,3,1,08-May-2024,03:36:39,37.1114,-122.3298,,401677643,-122,60,0,08-May-2024,03:43:41,37.1114,-122.3298,549,247,586,103,63,,,75,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,NP,3,2,08-May-2024,03:45:56,37.1170,-122.3332,,401677642,-125,56,0,08-May-2024,03:48:12,37.1170,-122.3332,274,235,288,191,44,,,58,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,NP,3,2,08-May-2024,03:45:56,37.1170,-122.3332,,401677642,-125,56,0,08-May-2024,03:48:57,37.1170,-122.3332,274,235,288,191,44,,,69,46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,NP,3,2,08-May-2024,03:45:56,37.1170,-122.3332,,401677642,-125,56,0,08-May-2024,03:49:46,37.1170,-122.3332,274,235,288,191,44,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,NP,3,2,08-May-2024,03:45:56,37.1170,-122.3332,,401677642,-125,56,1,08-May-2024,03:50:31,37.1170,-122.3332,274,235,288,191,44,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,NP,3,2,08-May-2024,03:45:56,37.1170,-122.3332,,401677642,-125,56,0,08-May-2024,03:51:16,37.1170,-122.3332,274,235,288,191,44,,,45,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,NP,3,2,08-May-2024,03:45:56,37.1170,-122.3332,,401677642,-125,56,0,08-May-2024,03:52:46,37.1170,-122.3332,274,235,288,191,44,,,63,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,MC,1,3,08-May-2024,03:59:07,37.1185,-122.3336,,401677641,-123,56,0,08-May-2024,03:58:45,37.1185,-122.3336,256,968,3187,293,39,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,MC,1,3,08-May-2024,03:59:07,37.1185,-122.3336,,401677641,-123,56,0,08-May-2024,03:59:30,37.1185,-122.3336,256,968,3187,293,39,,,16,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,MC,1,3,08-May-2024,03:59:07,37.1185,-122.3336,,401677641,-123,56,0,08-May-2024,04:00:15,37.1185,-122.3336,256,968,3187,293,39,,,36,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,MC,1,3,08-May-2024,03:59:07,37.1185,-122.3336,,401677641,-123,56,0,08-May-2024,04:03:01,37.1185,-122.3336,256,968,3187,293,39,,,51,252,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,242856,3,NK,B,4,08-May-2024,04:37:23,37.1189,-122.3313,,401677641,-133,8,0,08-May-2024,04:37:23,37.1189,-122.3313,385,1289,6220,267,170,,,62,245,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
