DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
J021,242856,0.500000,UT,,,03:34:32 08-May-2024,,3,37.1114,-122.3298,,,,,,,,,,,,,544,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,03:35:17 08-May-2024,,3,37.1114,-122.3298,,,,,,,,,14.30,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,1.00a,,03:36:56 08-May-2024,,3,37.1114,-122.3298,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,03:39:56 08-May-2024,,3,37.1114,-122.3298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,3126
J021,242856,0.500000,UT,,,03:41:26 08-May-2024,,3,37.1114,-122.3298,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,03:42:56 08-May-2024,,3,37.1114,-122.3298,,,,,,,,,,,,,524,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,03:43:41 08-May-2024,,3,37.1114,-122.3298,,,,,,,,,13.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,03:48:12 08-May-2024,,3,37.1170,-122.3332,,,,,,,,,,,,,513,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,03:48:57 08-May-2024,,3,37.1170,-122.3332,,,,,,,,,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,1.00a,,03:49:46 08-May-2024,,3,37.1170,-122.3332,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,03:50:31 08-May-2024,,3,37.1170,-122.3332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,3126
J021,242856,0.500000,UT,,,03:51:16 08-May-2024,,3,37.1170,-122.3332,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,03:52:46 08-May-2024,,3,37.1170,-122.3332,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,1.00a,,03:58:45 08-May-2024,,1,37.1185,-122.3336,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,03:59:30 08-May-2024,,1,37.1185,-122.3336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,3126
J021,242856,0.500000,UT,,,04:00:15 08-May-2024,,1,37.1185,-122.3336,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,04:03:01 08-May-2024,,1,37.1185,-122.3336,,,,,,,,,,,,,508,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,04:37:23 08-May-2024,,B,37.1189,-122.3313,,,,,,,,,,,,,501,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,1.00a,,04:43:48 08-May-2024,,B,37.1189,-122.3313,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,04:46:48 08-May-2024,,A,37.1195,-122.3301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,3126
J021,242856,0.500000,UT,,,04:47:34 08-May-2024,,A,37.1195,-122.3301,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,05:05:32 08-May-2024,,B,37.1180,-122.3336,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,05:13:02 08-May-2024,,B,37.1180,-122.3336,,,,,,,,,13.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
J021,242856,0.500000,UT,,,05:26:09 08-May-2024,,2,37.1194,-122.3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,3126
J021,242856,0.500000,UT,,,05:32:09 08-May-2024,,2,37.1194,-122.3353,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,03:00:00 08-May-2024,,,
