DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
J612,264751,UT,DS,4,0,0,92,46,12:13:43 10-May-2024,SR,2,37.1033,-122.3368,37.1033,-122.3368,60,,401677565,-129
J612,264751,UT,DS,2,0,0,46,46,12:50:02 10-May-2024,A1,B,37.1099,-122.3298,,,7,,401677578,-137
J612,264751,UT,DS,8,0,0,46,46,13:00:16 10-May-2024,CS,3,37.1131,-122.3317,37.1131,-122.3317,56,,401677573,-128
J612,264751,UT,DS,3,0,0,184,92,13:51:41 10-May-2024,SR,A,37.1157,-122.3225,37.1157,-122.3225,8,,401677579,-116
J612,264751,UT,DS,1,0,0,,,14:25:42 10-May-2024,A1,B,37.1173,-122.3196,37.1173,-122.3196,8,,401677577,-134
J612,264751,UT,DS,8,0,1,94,46,14:37:23 10-May-2024,CS,3,37.1095,-122.3284,37.1095,-122.3284,56,,401677587,-125
J612,264751,UT,DS,10,3,0,,,16:02:50 10-May-2024,NK,2,37.1150,-122.3378,37.1150,-122.3378,56,,401677625,-121
J612,264751,UT,DS,1,0,1,,,09:20:01 17-May-2024,O3,,,,,,,,401650000,-141
J612,264751,UT,DS,2,0,0,302,302,11:52:50 17-May-2024,SR,B,36.9162,-122.2753,36.9162,-122.2753,,,401650000,-135
J612,264751,UT,DS,2,0,0,414,414,13:10:28 17-May-2024,CS,B,37.0732,-122.3008,37.0732,-122.3008,8,,401677543,-124
J612,264751,UT,DS,3,0,0,207,46,13:09:34 17-May-2024,A1,A,37.1074,-122.3176,37.1074,-122.3176,8,,401677551,-130
J612,264751,UT,DS,4,0,1,153,46,13:35:24 17-May-2024,SR,0,37.1121,-122.3183,37.1121,-122.3183,56,,401677559,-124
J612,264751,UT,DS,1,0,1,,,01:20:00 19-May-2024,CS,,,,,,,,401650000,-139
J612,264751,UT,DS,1,0,1,,,20:02:26 19-May-2024,O3,,,,,,,,401650000,-134
J612,264751,UT,DS,1,0,1,,,08:42:39 20-May-2024,O3,,,,,,,,401650000,-127
J612,264751,UT,DS,1,0,1,,,19:16:10 20-May-2024,O3,,,,,,,,401650000,-139
J612,264751,UT,DS,1,0,0,,,20:05:33 20-May-2024,NN,,,,,,,,401650000,-127
J612,264751,UT,DS,1,0,1,,,06:08:08 21-May-2024,NP,,,,,,,,401650000,-136
J612,264751,UT,DS,1,0,1,,,06:08:08 21-May-2024,MC,,,,,,,,401650000,-134
J612,264751,UT,DS,1,0,1,,,13:00:12 21-May-2024,SR,,,,,,,,401650000,-126
J612,264751,UT,DS,1,0,0,,,16:57:47 21-May-2024,NP,,,,,,,,401650000,-133
J612,264751,UT,DS,1,0,0,,,03:02:16 22-May-2024,SR,,,,,,,,401650000,-131
J612,264751,UT,DS,1,0,0,,,03:55:39 23-May-2024,MC,,,,,,,,401650000,-125
J612,264751,UT,DS,1,0,0,,,07:06:26 23-May-2024,NN,,,,,,,,401650000,-127
J612,264751,UT,DS,1,0,1,,,13:55:25 23-May-2024,A1,,,,,,,,401650000,-126
J612,264751,UT,DS,1,0,0,,,17:15:47 23-May-2024,NK,,,,,,,,401650000,-137
J612,264751,UT,DS,1,0,0,,,18:09:43 23-May-2024,NP,,,,,,,,401650000,-125
J612,264751,UT,DS,2,0,0,46,46,08:56:20 24-May-2024,O3,B,38.3446,-126.7881,38.3446,-126.7881,,,401677427,-130
J612,264751,UT,DS,2,0,1,46,46,13:17:57 24-May-2024,CS,B,38.4949,-126.6255,38.4949,-126.6255,5,,401677722,-135
J612,264751,UT,DS,2,0,0,46,46,13:33:07 24-May-2024,A1,B,38.6675,-125.5644,38.6675,-125.5644,6,,401677547,-137
J612,264751,UT,DS,1,0,0,,,14:53:11 24-May-2024,SR,B,38.8234,-125.4267,38.8234,-125.4267,4,,401677742,-138
