DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
J612,264751,UT,14:44:35 10-May-2024,,,3,37.1095,-122.3284,CRC 180.179,14:44:33 10-May-2024,Status,86,144,35,54,0,8,241,84,165,58,200,67,212,1,98,248,1,255,255,192,30,165,81,,,,,,,,,
J612,264751,UT,09:20:01 17-May-2024,,,,,,CRC 0.11,09:20:01 17-May-2024,Status,16,126,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J612,264751,UT,13:36:10 17-May-2024,,,0,37.1121,-122.3183,CRC 12.9,13:36:10 17-May-2024,Status,60,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J612,264751,UT,01:20:00 19-May-2024,,,,,,CRC 22.2c,00:48:12 19-May-2024,DSA,4,64,203,48,131,60,50,140,46,36,235,254,100,225,74,160,86,12,76,30,59,182,33,123,2,68,232,145,80,254,125,
J612,264751,UT,20:02:26 19-May-2024,,,,,,CRC af.8c,18:36:28 19-May-2024,DSA,21,224,203,57,83,44,60,108,48,151,155,104,3,102,200,64,205,68,180,22,79,61,128,127,2,108,236,213,87,166,119,
J612,264751,UT,08:42:39 20-May-2024,,,,,,CRC 9f.8a,08:08:37 20-May-2024,DSA,19,224,203,68,34,171,56,40,41,37,203,176,52,129,207,233,211,20,132,86,59,56,197,105,6,88,233,157,50,182,123,
J612,264751,UT,19:16:10 20-May-2024,,,,,,CRC 4d.7c,18:33:58 20-May-2024,DSA,9,160,203,73,83,194,76,120,53,19,163,78,2,2,65,160,74,76,192,6,96,207,224,117,6,124,220,241,66,50,119,
J612,264751,UT,06:08:08 21-May-2024,,,,,,CRC c5.1a,05:00:29 21-May-2024,DSA,24,160,203,82,146,59,51,184,38,15,98,72,26,60,179,161,67,4,228,109,109,60,9,255,6,81,10,149,68,176,119,
J612,264751,UT,06:08:08 21-May-2024,,,,,,CRC c5.9f,05:00:29 21-May-2024,DSA,24,160,203,82,146,59,51,184,38,143,226,72,10,60,178,161,67,4,228,237,109,60,9,255,70,81,10,149,68,176,124,
J612,264751,UT,13:00:12 21-May-2024,,,,,,CRC 4d.4a,11:50:02 21-May-2024,DSA,9,160,203,86,2,206,62,16,40,8,34,18,1,76,161,160,77,179,60,6,195,63,224,83,2,120,218,141,54,174,121,
J612,264751,UT,13:55:25 23-May-2024,,,,,,CRC 8a.a0,13:25:49 23-May-2024,DSA,17,64,203,118,195,83,66,48,40,24,243,76,2,84,195,35,69,172,228,190,126,63,224,98,2,144,215,201,60,148,115,
J612,264751,UT,13:17:35 24-May-2024,,,B,38.4949,-126.6255,CRC b9.ac,12:48:49 24-May-2024,DSA,23,32,203,134,131,23,75,116,55,44,108,124,11,115,195,128,75,60,118,45,134,70,37,127,18,112,198,177,82,170,135,
J612,264751,UT,17:27:39 24-May-2024,,,B,39.2116,-125.3089,CRC 237.91,20:47:40 03-May-2024,Status,93,160,203,136,34,187,55,188,57,16,18,112,3,29,47,160,136,0,144,249,226,31,144,63,131,0,116,174,173,224,64,
J612,264751,UT,04:01:45 25-May-2024,,,B,39.3808,-125.1002,CRC 190.185,04:01:43 25-May-2024,Status,87,208,35,54,0,8,241,84,172,144,26,203,210,6,19,0,1,135,17,194,92,117,81,,,,,,,,,
J612,264751,UT,06:40:50 25-May-2024,,,B,39.4474,-125.0724,CRC 120.9,06:40:48 25-May-2024,Status,79,16,35,54,0,8,241,84,172,154,140,21,148,6,71,14,56,124,248,224,199,78,171,,,,,,,,,
J612,264751,UT,02:00:36 26-May-2024,,,B,39.5808,-125.1485,CRC 7d.35,01:26:16 26-May-2024,DSA,15,160,203,160,195,56,104,20,145,37,116,88,3,201,68,129,71,116,40,29,10,67,228,127,18,140,161,213,54,242,120,
J612,264751,UT,05:20:29 26-May-2024,,,B,39.7850,-125.0750,CRC f2.d5,04:50:50 26-May-2024,DSA,30,64,203,162,130,158,63,216,38,26,3,84,2,54,179,130,78,20,254,198,56,183,195,211,30,116,236,93,60,162,117,
