DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J612,264751,UT,,,,,,,18:33:58 20-May-2024,,,1068,,,,,,60,25,12.10,8.40,106
J612,264751,UT,,,,,,,18:33:58 20-May-2024,0,18:33:58 20-May-2024,143,0,192,1491,0,69,,,,,
J612,264751,UT,,,,,,,18:33:58 20-May-2024,1,18:36:21 20-May-2024,98,192,272,497,0,,,,,,
J612,264751,UT,,,,,,,18:33:58 20-May-2024,2,18:37:59 20-May-2024,315,272,312,3671,0,,,,,,
J612,264751,UT,,,,,,,18:33:58 20-May-2024,3,18:43:14 20-May-2024,211,312,248,4856,0,,,,,,
J612,264751,UT,,,,,,,18:33:58 20-May-2024,4,18:46:45 20-May-2024,195,248,0,4473,1,-35,,,,,
J612,264751,UT,,,,,,,15:27:07 21-May-2024,,,860,,,,,,27,201,11.40,8.50,87
J612,264751,UT,,,,,,,15:27:07 21-May-2024,0,15:27:07 21-May-2024,217,0,288,2311,0,69,,,,,
J612,264751,UT,,,,,,,15:27:07 21-May-2024,1,15:30:44 21-May-2024,121,288,392,1805,4,,,,,,
J612,264751,UT,,,,,,,15:27:07 21-May-2024,2,15:32:45 21-May-2024,91,392,408,2528,21,,,,,,
J612,264751,UT,,,,,,,15:27:07 21-May-2024,3,15:34:16 21-May-2024,217,408,192,4586,2,,,,,,
J612,264751,UT,,,,,,,15:27:07 21-May-2024,4,15:37:53 21-May-2024,127,192,0,2383,0,-43,,,,,
J612,264751,UT,,,,,,,02:25:23 22-May-2024,,,945,,,,,,34,82,11.60,8.50,68
J612,264751,UT,,,,,,,02:25:23 22-May-2024,0,02:25:23 22-May-2024,151,0,216,1419,0,71,,,,,
J612,264751,UT,,,,,,,02:25:23 22-May-2024,1,02:27:54 22-May-2024,281,216,376,2258,2,,,,,,
J612,264751,UT,,,,,,,02:25:23 22-May-2024,2,02:32:35 22-May-2024,82,376,352,1129,1,,,,,,
J612,264751,UT,,,,,,,02:25:23 22-May-2024,3,02:33:57 22-May-2024,219,352,180,4097,1,,,,,,
J612,264751,UT,,,,,,,02:25:23 22-May-2024,4,02:37:36 22-May-2024,144,180,0,2710,0,-32,,,,,
J612,264751,UT,,,,,,,03:29:40 23-May-2024,,,690,,,,,,158,201,11.70,8.70,70
J612,264751,UT,,,,,,,03:29:40 23-May-2024,0,03:29:40 23-May-2024,140,0,212,1210,0,74,,,,,
J612,264751,UT,,,,,,,03:29:40 23-May-2024,1,03:32:00 23-May-2024,63,212,264,892,2,,,,,,
J612,264751,UT,,,,,,,03:29:40 23-May-2024,2,03:33:03 23-May-2024,78,264,376,1688,9,,,,,,
J612,264751,UT,,,,,,,03:29:40 23-May-2024,3,03:34:21 23-May-2024,179,376,212,4044,12,,,,,,
J612,264751,UT,,,,,,,03:29:40 23-May-2024,4,03:37:20 23-May-2024,160,212,0,2961,0,-32,,,,,
J612,264751,UT,,,,,,,06:40:53 23-May-2024,,,612,,,,,,93,83,11.70,8.70,65
J612,264751,UT,,,,,,,06:40:53 23-May-2024,0,06:40:53 23-May-2024,167,0,256,2027,2,66,,,,,
