DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
J612,264751,UT,00:00:00 09-May-2024,User,,37.1111,-123.3323,,,,,,,,,,
J612,264751,UT,12:13:43 10-May-2024,Argos,2,37.1033,-122.3368,458,2029,103,101,,,,,,
J612,264751,UT,12:50:02 10-May-2024,Argos,B,37.1099,-122.3298,612,1567,238,136,,,,,,
J612,264751,UT,13:00:16 10-May-2024,Argos,3,37.1131,-122.3317,86,101,72,138,,,,,,
J612,264751,UT,13:51:41 10-May-2024,Argos,A,37.1157,-122.3225,238,2204,25,80,,,,,,
J612,264751,UT,14:25:42 10-May-2024,Argos,B,37.1173,-122.3196,822,1104,611,89,,,,,,
J612,264751,UT,14:37:23 10-May-2024,Argos,3,37.1095,-122.3284,222,324,152,115,,,,,,
J612,264751,UT,16:02:50 10-May-2024,Argos,2,37.1150,-122.3378,418,3070,56,100,,,,,,
J612,264751,UT,11:52:50 17-May-2024,Argos,B,36.9162,-122.2753,8638,146805,508,169,,,,,,
J612,264751,UT,13:09:34 17-May-2024,Argos,A,37.1074,-122.3176,1509,7547,301,129,,,,,,
J612,264751,UT,13:10:28 17-May-2024,Argos,B,37.0732,-122.3008,2997,58730,152,141,,,,,,
J612,264751,UT,13:35:24 17-May-2024,Argos,0,37.1121,-122.3183,2285,37093,140,85,,,,,,
J612,264751,UT,08:56:20 24-May-2024,Argos,B,38.3446,-126.7881,7232,36165,1446,76,,,,,,
J612,264751,UT,13:17:57 24-May-2024,Argos,B,38.4949,-126.6255,20101,69619,5803,69,,,,,,Lon > 4 deviations from mean
J612,264751,UT,13:33:07 24-May-2024,Argos,B,38.6675,-125.5644,44308,145349,13506,46,,,,,,
J612,264751,UT,14:53:11 24-May-2024,Argos,B,38.8234,-125.4267,39261,55850,27599,56,,,,,,
J612,264751,UT,16:48:46 24-May-2024,Argos,B,39.0934,-125.3495,79526,88295,71626,65,,,,,,
J612,264751,UT,17:28:01 24-May-2024,Argos,B,39.2116,-125.3089,3498,24939,490,93,,,,,,
J612,264751,UT,17:56:31 24-May-2024,Argos,B,39.2662,-125.2768,3644,12603,1053,94,,,,,,
J612,264751,UT,19:14:39 24-May-2024,Argos,B,39.2386,-125.2380,5663,91316,351,84,,,,,,
J612,264751,UT,19:14:39 24-May-2024,Argos,B,39.3302,-125.2580,3914,8112,1888,125,,,,,,
J612,264751,UT,19:27:24 24-May-2024,Argos,B,39.2909,-125.1472,3192,9560,1065,10,,,,,,
J612,264751,UT,20:55:22 24-May-2024,Argos,B,39.4154,-125.1023,3603,6602,1965,5,,,,,,
J612,264751,UT,00:35:50 25-May-2024,Argos,B,39.2830,-125.1372,5056,11727,2180,64,,,,,,
J612,264751,UT,02:17:08 25-May-2024,Argos,B,39.4726,-125.0963,15764,102363,2427,23,,,,,,
J612,264751,UT,03:02:26 25-May-2024,Argos,B,39.3859,-125.1066,3521,12240,1012,98,,,,,,
J612,264751,UT,03:46:06 25-May-2024,Argos,B,39.4203,-125.0898,3049,9051,1026,84,,,,,,
J612,264751,UT,04:01:22 25-May-2024,Argos,B,39.4255,-125.0850,1846,50240,67,93,,,,,,
J612,264751,UT,04:02:07 25-May-2024,Argos,B,39.3808,-125.1002,2797,25699,304,87,,,,,,
J612,264751,UT,04:02:07 25-May-2024,Argos,B,39.4012,-125.0211,2994,13064,686,68,,,,,,
J612,264751,UT,04:49:23 25-May-2024,Argos,B,39.4185,-125.0411,2654,5881,1197,74,,,,,,
J612,264751,UT,05:00:31 25-May-2024,Argos,B,39.4078,-125.0517,3429,3533,3327,33,,,,,,
J612,264751,UT,05:28:27 25-May-2024,Argos,B,39.4105,-125.0648,2511,2971,2122,34,,,,,,
J612,264751,UT,05:41:13 25-May-2024,Argos,B,39.4292,-125.0647,2135,2409,1892,17,,,,,,
J612,264751,UT,06:28:45 25-May-2024,Argos,B,39.4659,-125.0707,1335,4646,383,85,,,,,,
J612,264751,UT,06:41:13 25-May-2024,Argos,B,39.4474,-125.0724,1830,13145,254,84,,,,,,
J612,264751,UT,07:04:30 25-May-2024,Argos,B,39.4479,-125.0844,1352,2501,730,88,,,,,,
J612,264751,UT,08:10:01 25-May-2024,Argos,1,39.4794,-125.1021,1307,5931,287,162,,,,,,
J612,264751,UT,08:20:32 25-May-2024,Argos,B,39.4796,-125.1022,970,1782,527,159,,,,,,
J612,264751,UT,12:34:46 25-May-2024,Argos,B,39.6126,-125.1348,2260,2901,1761,102,,,,,,
J612,264751,UT,02:00:35 26-May-2024,Argos,B,39.5808,-125.1485,6616,13438,3257,174,,,,,,
J612,264751,UT,05:20:29 26-May-2024,Argos,B,39.7850,-125.0750,15852,46448,5409,17,,,,,,
J612,264751,UT,06:07:40 26-May-2024,Argos,B,39.7732,-125.0658,17102,42965,6807,179,,,,,,
J612,264751,UT,18:46:37 26-May-2024,Argos,B,40.0963,-125.0999,7798,28566,2128,73,,,,,,
J612,264751,UT,01:33:23 27-May-2024,Argos,B,40.2536,-125.1143,8069,29940,2174,72,,,,,,
J612,264751,UT,18:41:06 27-May-2024,Argos,B,40.6482,-125.1712,6025,11097,3270,89,,,,,,
J612,264751,UT,05:59:10 28-May-2024,Argos,B,40.6119,-125.1562,6371,27110,1497,107,,,,,,
J612,264751,UT,05:59:10 28-May-2024,Argos,B,40.6332,-125.3305,4759,9863,2296,116,,,,,,
J612,264751,UT,19:32:28 28-May-2024,Argos,B,41.0001,-125.4267,4394,8544,2259,75,,,,,,
J612,264751,UT,07:23:25 29-May-2024,Argos,B,41.2555,-125.4908,7732,18720,3193,45,,,,,,
J612,264751,UT,13:13:22 29-May-2024,Argos,B,41.0183,-125.3930,5960,24173,1469,61,,,,,,
J612,264751,UT,03:58:06 30-May-2024,Argos,B,41.2284,-125.3183,7015,26683,1844,56,,,,,,
J612,264751,UT,09:28:20 30-May-2024,Argos,B,40.8590,-125.6914,5932,10005,3517,6,,,,,,
J612,264751,UT,13:16:40 30-May-2024,Argos,B,40.8573,-125.7639,7168,11044,4651,175,,,,,,
J612,264751,UT,21:32:46 30-May-2024,Argos,B,40.7784,-125.8791,5076,10190,2527,85,,,,,,
J612,264751,UT,07:05:34 31-May-2024,Argos,B,40.7411,-126.0190,5847,11464,2982,54,,,,,,
J612,264751,UT,07:05:58 31-May-2024,Argos,B,40.9179,-125.9271,3388,48729,235,73,,,,,,
J612,264751,UT,08:39:35 31-May-2024,Argos,B,40.9251,-125.9861,3333,35746,310,61,,,,,,
J612,264751,UT,12:52:31 31-May-2024,Argos,B,40.9205,-126.0387,1782,7311,434,54,,,,,,
J612,264751,UT,14:34:23 31-May-2024,Argos,B,40.9450,-126.0282,2708,6774,1082,58,,,,,,
J612,264751,UT,15:22:06 31-May-2024,Argos,B,40.9929,-125.9928,2941,8081,1069,76,,,,,,
J612,264751,UT,15:22:06 31-May-2024,Argos,B,41.0257,-125.9690,2269,10066,511,82,,,,,,
J612,264751,UT,16:59:34 31-May-2024,Argos,B,41.0569,-125.9681,2371,5083,1105,90,,,,,,
J612,264751,UT,19:32:29 31-May-2024,Argos,B,41.1021,-125.9853,2969,4993,1765,90,,,,,,
J612,264751,UT,21:03:22 31-May-2024,Argos,B,41.0963,-126.0027,3364,4854,2330,139,,,,,,
J612,264751,UT,22:19:37 31-May-2024,Argos,B,41.1231,-126.0397,1918,11113,331,76,,,,,,
J612,264751,UT,00:48:32 01-Jun-2024,Argos,B,41.1838,-126.1424,2066,14421,296,61,,,,,,
J612,264751,UT,00:58:15 01-Jun-2024,Argos,B,41.1861,-126.1504,2349,14518,379,60,,,,,,
J612,264751,UT,02:24:11 01-Jun-2024,Argos,B,41.2606,-126.1139,1125,2002,632,155,,,,,,
J612,264751,UT,04:08:02 01-Jun-2024,Argos,B,41.3124,-126.1275,2395,2750,2085,93,,,,,,
J612,264751,UT,04:21:32 01-Jun-2024,Argos,B,41.3295,-126.1310,1203,3135,461,86,,,,,,
J612,264751,UT,04:21:32 01-Jun-2024,Argos,B,41.3274,-126.1299,2015,3827,1060,89,,,,,,
J612,264751,UT,04:21:32 01-Jun-2024,Argos,B,41.3280,-126.1291,1341,3178,565,89,,,,,,
J612,264751,UT,04:58:14 01-Jun-2024,Argos,B,41.3537,-126.1558,1810,3873,846,59,,,,,,
J612,264751,UT,05:10:25 01-Jun-2024,Argos,B,41.3519,-126.1414,1853,5465,628,42,,,,,,
J612,264751,UT,05:49:31 01-Jun-2024,Argos,B,41.3692,-126.1568,849,6183,116,84,,,,,,
J612,264751,UT,06:57:58 01-Jun-2024,Argos,B,41.4058,-126.1792,1441,2784,746,85,,,,,,
J612,264751,UT,07:53:08 01-Jun-2024,Argos,A,41.4006,-126.2257,473,3077,72,77,,,,,,
J612,264751,UT,20:19:22 07-Jun-2024,Argos,B,40.4842,-107.4698,269,2969,24,107,,,,,,
J612,264751,UT,22:00:05 07-Jun-2024,Argos,B,44.0424,-126.4086,1329,2123,831,88,,,,,,
J612,264751,UT,01:00:13 08-Jun-2024,Argos,B,44.0741,-126.4218,2142,3463,1324,84,,,,,,
J612,264751,UT,02:31:43 08-Jun-2024,Argos,B,44.0788,-126.4270,2528,3677,1737,84,,,,,,
J612,264751,UT,03:57:17 08-Jun-2024,Argos,A,44.1864,-126.3906,1162,4413,305,155,,,,,,
J612,264751,UT,04:13:14 08-Jun-2024,Argos,B,44.1920,-126.4122,1169,2190,623,170,,,,,,
J612,264751,UT,04:41:39 08-Jun-2024,Argos,B,44.2071,-126.4105,1581,1777,1405,140,,,,,,
J612,264751,UT,13:44:30 08-Jun-2024,Argos,B,44.4477,-126.3384,6959,7996,6056,68,,,,,,
J612,264751,UT,14:40:01 08-Jun-2024,Argos,B,44.3702,-126.3784,5915,15344,2280,100,,,,,,
J612,264751,UT,06:53:50 09-Jun-2024,Argos,B,44.3758,-126.5264,9924,42302,2328,88,,,,,,
J612,264751,UT,01:14:40 10-Jun-2024,Argos,B,44.6750,-126.5537,8897,27685,2859,78,,,,,,
J612,264751,UT,07:27:53 14-Jun-2024,Argos,A,46.1587,-126.6253,5661,34754,922,20,,,,,,
J612,264751,UT,07:49:52 14-Jun-2024,Argos,B,46.1587,-126.6253,10101,12096,8435,60,,,,,,
J612,264751,UT,12:07:38 14-Jun-2024,Argos,B,46.2269,-126.6783,18928,34490,10388,81,,,,,,
J612,264751,UT,12:51:35 14-Jun-2024,Argos,B,46.3312,-126.6373,8305,169726,406,95,,,,,,
J612,264751,UT,18:36:28 14-Jun-2024,Argos,B,46.5448,-126.5464,13819,33551,5692,87,,,,,,
J612,264751,UT,21:32:27 14-Jun-2024,Argos,B,46.6578,-126.5294,16227,34806,7564,88,,,,,,
J612,264751,UT,21:32:27 14-Jun-2024,Argos,B,46.6442,-126.5697,19434,35642,10596,25,,,,,,
J612,264751,UT,03:24:36 15-Jun-2024,Argos,B,46.7373,-126.6636,5637,7046,4509,154,,,,,,
J612,264751,UT,03:24:36 15-Jun-2024,Argos,B,46.5025,-126.6172,3594,9173,1408,89,,,,,,
J612,264751,UT,03:25:22 15-Jun-2024,Argos,B,46.5774,-126.6961,2305,138351,38,79,,,,,,
J612,264751,UT,03:40:46 15-Jun-2024,Argos,B,46.5759,-126.6992,2323,19286,279,80,,,,,,
J612,264751,UT,06:03:41 15-Jun-2024,Argos,B,46.6504,-126.7489,2619,6785,1010,79,,,,,,
J612,264751,UT,06:04:04 15-Jun-2024,Argos,B,46.5956,-126.8099,1902,7403,488,105,,,,,,
J612,264751,UT,07:07:33 15-Jun-2024,Argos,B,46.6224,-126.8068,2015,5761,704,100,,,,,,
J612,264751,UT,06:08:25 21-Jun-2024,Argos,B,49.9946,-126.1265,26022,120952,5598,67,,,,,,
J612,264751,UT,07:16:01 21-Jun-2024,Argos,B,49.5017,-127.7444,42467,972949,1853,88,,,,,,
J612,264751,UT,07:36:25 21-Jun-2024,Argos,B,49.5027,-127.7647,35967,124850,10361,88,,,,,,
J612,264751,UT,07:49:34 21-Jun-2024,Argos,B,49.5010,-127.7756,1129,3058,417,89,,,,,,
J612,264751,UT,11:46:07 21-Jun-2024,Argos,B,49.4861,-127.7639,2237,4331,1154,85,,,,,,
J612,264751,UT,13:11:08 21-Jun-2024,Argos,B,49.4601,-127.8059,2388,4356,1309,92,,,,,,
J612,264751,UT,16:18:11 21-Jun-2024,Argos,B,49.3776,-127.7444,2579,6318,1052,81,,,,,,
J612,264751,UT,19:59:02 21-Jun-2024,Argos,B,49.3169,-127.7654,3435,7646,1542,81,,,,,,
J612,264751,UT,20:16:33 21-Jun-2024,Argos,B,49.3554,-127.7599,3607,7362,1766,79,,,,,,
J612,264751,UT,23:42:05 21-Jun-2024,Argos,2,49.3946,-127.6704,256,1118,58,88,,,,,,
J612,264751,UT,04:26:17 22-Jun-2024,Argos,B,49.3650,-127.6410,3982,5959,2659,89,,,,,,
J612,264751,UT,05:13:15 22-Jun-2024,Argos,B,49.3868,-127.6499,4197,7421,2373,104,,,,,,
J612,264751,UT,19:04:28 22-Jun-2024,Argos,B,49.3562,-127.5989,6549,11664,3676,101,,,,,,
J612,264751,UT,04:57:53 23-Jun-2024,Argos,B,49.4780,-127.7299,5809,11141,3029,80,,,,,,
J612,264751,UT,04:57:53 23-Jun-2024,Argos,B,49.5631,-127.6250,4549,16600,1246,95,,,,,,
J612,264751,UT,20:21:57 23-Jun-2024,Argos,B,49.5232,-127.7242,7425,12253,4499,91,,,,,,
J612,264751,UT,02:00:44 26-Jun-2024,Argos,B,50.1547,-127.8484,27389,226087,3317,110,,,,,,
J612,264751,UT,02:01:07 26-Jun-2024,Argos,B,50.3285,-128.3351,8023,19197,3352,35,,,,,,
J612,264751,UT,06:05:24 26-Jun-2024,Argos,B,50.3127,-128.3754,14157,23041,8698,98,,,,,,
J612,264751,UT,19:51:41 27-Jun-2024,Argos,B,50.7912,-129.0540,24966,289991,2149,85,,,,,,
J612,264751,UT,03:16:40 28-Jun-2024,Argos,B,50.8601,-129.4941,14312,112130,1826,63,,,,,,
J612,264751,UT,03:17:26 28-Jun-2024,Argos,B,50.8510,-129.5123,9704,70450,1336,62,,,,,,
J612,264751,UT,03:35:32 28-Jun-2024,Argos,B,50.8473,-129.5322,2129,9724,466,63,,,,,,
J612,264751,UT,04:13:08 28-Jun-2024,Argos,B,50.8363,-129.5716,1973,5190,749,65,,,,,,
J612,264751,UT,04:31:25 28-Jun-2024,Argos,B,50.7975,-129.6372,853,4149,175,11,,,,,,
J612,264751,UT,04:47:07 28-Jun-2024,Argos,B,50.7342,-129.6593,5316,5975,4728,65,,,,,,
J612,264751,UT,05:05:04 28-Jun-2024,Argos,B,50.7551,-129.6281,5893,11151,3114,117,,,,,,
J612,264751,UT,05:35:53 28-Jun-2024,Argos,B,50.8022,-129.6815,2840,13450,599,81,,,,,,
J612,264751,UT,05:36:01 28-Jun-2024,Argos,A,50.7824,-129.6517,667,8259,53,86,,,,,,
