Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
18150,264751,3,SR,2,1,10-May-2024,12:13:43,37.1033,-122.3368,,401677565,-129,60,0,10-May-2024,12:11:13,37.1033,-122.3368,277,458,2029,103,101,,,58,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264751,3,SR,2,1,10-May-2024,12:13:43,37.1033,-122.3368,,401677565,-129,60,0,10-May-2024,12:12:45,37.1033,-122.3368,277,458,2029,103,101,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264751,3,SR,2,1,10-May-2024,12:13:43,37.1033,-122.3368,,401677565,-129,60,0,10-May-2024,12:15:04,37.1033,-122.3368,277,458,2029,103,101,,,53,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264751,3,SR,2,1,10-May-2024,12:13:43,37.1033,-122.3368,,401677565,-129,60,0,10-May-2024,12:15:50,37.1033,-122.3368,277,458,2029,103,101,,,79,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264751,3,A1,B,2,10-May-2024,12:50:02,37.1099,-122.3298,,401677578,-137,7,0,10-May-2024,12:49:40,,,46,612,1567,238,136,,,74,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264751,3,A1,B,2,10-May-2024,12:50:02,37.1099,-122.3298,,401677578,-137,7,0,10-May-2024,12:50:26,,,46,612,1567,238,136,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264751,3,CS,3,3,10-May-2024,13:00:16,37.1131,-122.3317,,401677573,-128,56,0,10-May-2024,12:57:35,37.1131,-122.3317,323,86,101,72,138,,,43,117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264751,3,CS,3,3,10-May-2024,13:00:16,37.1131,-122.3317,,401677573,-128,56,0,10-May-2024,12:58:21,37.1131,-122.3317,323,86,101,72,138,,,61,164,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264751,3,CS,3,3,10-May-2024,13:00:16,37.1131,-122.3317,,401677573,-128,56,0,10-May-2024,12:59:07,37.1131,-122.3317,323,86,101,72,138,,,65,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,264751,3,CS,3,3,10-May-2024,13:00:16,37.1131,-122.3317,,401677573,-128,56,0,10-May-2024,12:59:53,37.1131,-122.3317,323,86,101,72,138,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
