Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
PL2024_1010_22U3198,13-May-2024,02:18:15,2,,,,0,8,,,,,,,,,,,,,,,15,10,9090,,,,2,16285,,,,23,21334,,,,32,24438,,,,21,3540,,,,8,11029,,,,24,3156,,,,27,2485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,13-May-2024,03:09:39,1,,,,0,7,,,,,,,,,,,,,,,15,32,7002,,,,10,11288,,,,14,7973,,,,8,25502,,,,2,27834,,,,22,26113,,,,21,24346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,13-May-2024,19:01:09,2,,,,0,7,,,,,,,,,,,,,,,15,12,17820,,,,29,3182,,,,25,4156,,,,11,2658,,,,28,18274,,,,31,1311,,,,6,17940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,14-May-2024,01:44:50,3,,,,0,6,,,,,,,,,,,,,,,15,14,13066,,,,2,19749,,,,22,3898,,,,23,26388,,,,8,30486,,,,21,20191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,14-May-2024,06:31:31,1,,,,0,4,,,,,,,,,,,,,,,15,17,14148,,,,3,7683,,,,19,26045,,,,9,6956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,14-May-2024,07:46:55,3,,,,0,8,,,,,,,,,,,,,,,15,11,26287,,,,20,22375,,,,3,29996,,,,1,31955,,,,9,19406,,,,6,29081,,,,31,5180,,,,26,18051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,14-May-2024,09:57:53,3,,,,0,6,,,,,,,,,,,,,,,15,9,19379,,,,5,32661,,,,7,16805,,,,29,24670,,,,13,26222,,,,16,30363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,14-May-2024,20:01:43,6,,,,0,6,,,,,,,,,,,,,,,15,20,13440,,,,11,8693,,,,5,13920,,,,16,5456,,,,29,11300,,,,4,20711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,15-May-2024,00:02:40,4,,,,0,7,,,,,,,,,,,,,,,15,10,31248,,,,23,3812,,,,27,8959,,,,2,27341,,,,7,21730,,,,21,11113,,,,16,7516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,15-May-2024,04:05:36,3,,,,0,5,,,,,,,,,,,,,,,15,32,21998,,,,21,18570,,,,3,20263,,,,28,996,,,,2,21286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
