DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,Depth21,Depth21Error,MinTemp21,MaxTemp21,%Ox21,Discont21,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,06:00:00 13-May-2024,1.7,0.00,1,,,, ,5,,0.00,1.00,-0.925,-0.875,,,5.00,0.00,-1.375,-1.325,,,10.00,0.00,-1.575,-1.525,,,15.00,0.00,-1.625,-1.575,,,20.00,0.00,-1.175,-1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,19:00:00 13-May-2024,16.7,0.00,1,,,, ,10,,0.00,1.00,-1.275,-1.225,,,5.00,0.00,-1.275,-1.225,,,10.00,0.00,-1.325,-1.275,,,15.00,0.00,-0.875,-0.825,,,20.00,0.00,-0.625,-0.575,,,25.00,0.00,-0.225,-0.175,,,30.00,0.00,-0.075,-0.025,,,35.00,0.00,-0.075,-0.025,,,40.00,0.00,0.075,0.125,,,45.00,1.00,0.125,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,20:01:00 13-May-2024,16.7,0.00,2,,,, ,11,,0.00,1.00,-1.325,-1.275,,,5.00,0.00,-1.275,-1.225,,,10.00,0.00,-1.375,-1.325,,,15.00,0.00,-0.875,-0.825,,,20.00,0.00,-0.475,-0.425,,,25.00,0.00,-0.325,-0.275,,,30.00,0.00,-0.075,-0.025,,,35.00,0.00,-0.025,0.025,,,40.00,0.00,-0.025,0.025,,,45.00,0.00,-0.025,0.025,,,50.00,1.00,0.125,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,06:31:00 14-May-2024,1.7,0.00,5,,,, ,12,,0.00,1.00,-1.625,-1.575,,,5.00,0.00,-1.625,-1.575,,,10.00,0.00,-1.625,-1.575,,,15.00,0.00,-1.575,-1.525,,,20.00,0.00,-1.125,-1.075,,,25.00,0.00,-0.725,-0.675,,,30.00,0.00,-0.225,-0.175,,,35.00,0.00,0.075,0.125,,,40.00,0.00,0.325,0.375,,,45.00,0.00,0.375,0.425,,,50.00,0.00,0.525,0.575,,,55.00,0.00,0.575,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,21:35:00 14-May-2024,1.7,0.00,2,,,, ,14,,0.00,1.00,-1.125,-1.075,,,5.00,1.00,-1.125,-1.075,,,10.00,0.00,-1.125,-1.075,,,15.00,0.00,-1.125,-1.075,,,20.00,0.00,-1.125,-1.075,,,25.00,0.00,-0.825,-0.775,,,30.00,0.00,0.175,0.225,,,35.00,0.00,0.425,0.475,,,40.00,0.00,0.325,0.375,,,45.00,0.00,0.175,0.225,,,50.00,0.00,0.225,0.275,,,55.00,0.00,0.375,0.425,,,60.00,0.00,0.575,0.625,,,65.00,0.00,0.975,1.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,22:14:00 14-May-2024,1.7,0.00,4,,,, ,16,,0.00,1.00,-1.025,-0.975,,,5.00,0.00,-1.025,-0.975,,,10.00,1.00,-1.025,-0.975,,,15.00,0.00,-1.025,-0.975,,,20.00,0.00,-1.025,-0.975,,,25.00,0.00,0.125,0.175,,,30.00,0.00,0.375,0.425,,,35.00,0.00,0.325,0.375,,,40.00,0.00,0.225,0.275,,,45.00,0.00,0.425,0.475,,,50.00,0.00,0.425,0.475,,,55.00,0.00,0.575,0.625,,,60.00,0.00,0.525,0.575,,,65.00,0.00,0.525,0.575,,,70.00,0.00,0.575,0.625,,,75.00,1.00,0.875,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,00:01:00 15-May-2024,1.7,0.00,1,,,, ,6,,0.00,1.00,-1.275,-1.225,,,5.00,0.00,-1.275,-1.225,,,10.00,0.00,-1.275,-1.225,,,15.00,0.00,-1.275,-1.225,,,20.00,0.00,-1.275,-1.225,,,25.00,0.00,-0.825,-0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,13:42:00 15-May-2024,16.7,0.00,2,,,, ,11,,0.00,1.00,-1.625,-1.575,,,5.00,0.00,-1.625,-1.575,,,10.00,0.00,-1.625,-1.575,,,15.00,0.00,-1.625,-1.575,,,20.00,0.00,-1.525,-1.475,,,25.00,0.00,-1.475,-1.425,,,30.00,0.00,-1.125,-1.075,,,35.00,0.00,-0.875,-0.825,,,40.00,0.00,-0.525,-0.475,,,45.00,0.00,-0.175,-0.125,,,50.00,0.00,0.175,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,14:17:00 16-May-2024,16.7,0.00,3,,,, ,12,,0.00,1.00,-1.675,-1.625,,,5.00,0.00,-1.625,-1.575,,,10.00,0.00,-1.625,-1.575,,,15.00,0.00,-1.625,-1.575,,,20.00,0.00,-1.675,-1.625,,,25.00,0.00,-1.675,-1.625,,,30.00,0.00,-0.625,-0.575,,,35.00,0.00,0.525,0.575,,,40.00,0.00,0.725,0.775,,,45.00,0.00,0.725,0.775,,,50.00,0.00,0.775,0.825,,,55.00,0.00,0.725,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,17:36:00 16-May-2024,1.7,0.00,3,,,, ,10,,0.00,1.00,-1.625,-1.575,,,5.00,0.00,-1.625,-1.575,,,10.00,0.00,-1.625,-1.575,,,15.00,0.00,-1.675,-1.625,,,20.00,0.00,-1.675,-1.625,,,25.00,0.00,-1.675,-1.625,,,30.00,0.00,-1.575,-1.525,,,35.00,0.00,0.075,0.125,,,40.00,0.00,0.925,0.975,,,45.00,0.00,0.925,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,19:18:00 17-May-2024,16.7,0.00,2,,,, ,10,,0.00,1.00,-1.525,-1.475,,,5.00,0.00,-1.525,-1.475,,,10.00,1.00,-1.525,-1.475,,,15.00,1.00,-1.525,-1.475,,,20.00,0.00,-1.475,-1.425,,,25.00,0.00,-1.525,-1.475,,,30.00,0.00,-1.525,-1.475,,,35.00,0.00,-1.575,-1.525,,,40.00,0.00,-1.625,-1.575,,,45.00,0.00,-1.475,-1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,21:41:00 17-May-2024,1.7,0.00,2,,,, ,9,,0.00,1.00,-1.525,-1.475,,,5.00,0.00,-1.475,-1.425,,,10.00,0.00,-1.475,-1.425,,,15.00,0.00,-1.475,-1.425,,,20.00,0.00,-1.475,-1.425,,,25.00,0.00,-1.525,-1.475,,,30.00,0.00,-1.575,-1.525,,,35.00,0.00,-1.575,-1.525,,,40.00,1.00,-1.575,-1.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
