Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
HF2024_1015_22U3184,19-May-2024,01:40:11,1,10783.000000,,,0,6,,,,,,,,,,,,,,,15,21,24707,,,,2,9876,,,,8,17796,,,,10,27063,,,,14,27288,,,,23,5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,19-May-2024,03:39:29,2,2908.000000,,,0,8,,,,,,,,,,,,,,,15,3,31312,,,,17,3603,,,,2,20597,,,,21,1290,,,,32,10046,,,,14,20811,,,,22,1056,,,,19,21807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,19-May-2024,05:00:01,2,1.000000,,,0,8,,,,,,,,,,,,,,,15,3,6332,,,,21,3178,,,,31,27032,,,,17,19576,,,,2,29936,,,,4,12939,,,,28,29652,,,,12,4085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,19-May-2024,07:01:29,3,1.000000,,,0,7,,,,,,,,,,,,,,,15,31,20612,,,,3,27784,,,,1,17141,,,,9,15192,,,,11,27714,,,,6,23093,,,,26,3556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,19-May-2024,08:58:13,1,1.000000,,,0,8,,,,,,,,,,,,,,,15,6,29069,,,,30,17206,,,,11,8401,,,,20,29724,,,,13,952,,,,5,2533,,,,7,32028,,,,29,23351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,19-May-2024,10:28:37,1,1.000000,,,0,8,,,,,,,,,,,,,,,15,7,22253,,,,18,15568,,,,27,17590,,,,5,13191,,,,13,26092,,,,30,13845,,,,15,14968,,,,20,28013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,19-May-2024,12:25:58,3,1.000000,,,0,6,,,,,,,,,,,,,,,15,24,20445,,,,23,31934,,,,15,31065,,,,5,28550,,,,18,21898,,,,30,15703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,19-May-2024,15:00:00,3,1.000000,,,0,7,,,,,,,,,,,,,,,15,15,14722,,,,12,22346,,,,23,15126,,,,24,24290,,,,10,24966,,,,19,19595,,,,32,15178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,19-May-2024,17:02:25,2,1.000000,,,0,8,,,,,,,,,,,,,,,15,29,7766,,,,24,16304,,,,11,22650,,,,12,14519,,,,6,4974,,,,19,13709,,,,28,110,,,,32,28997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,19-May-2024,19:00:00,3,1.000000,,,0,8,,,,,,,,,,,,,,,15,11,5018,,,,12,15056,,,,29,27571,,,,25,24144,,,,20,30150,,,,4,1125,,,,31,19272,,,,1,2565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
