DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
PL2024_1018_22U3174,264721,Transmission,UT,00:00:00 21-May-2024,02:00:00 21-May-2024,depth,shallow,0.000000,30.7,2175,2247,7,,3.000000,,,8.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,00:00:00 21-May-2024,02:00:00 21-May-2024,depth,deep,,23.6,1665,1737,7,26.000000,,43.000000,54.000000,,60.000000,72.000000
PL2024_1018_22U3174,264721,Transmission,UT,00:00:00 21-May-2024,02:00:00 21-May-2024,depth,dry,,45.7,3254,3326,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,02:00:00 21-May-2024,04:00:00 21-May-2024,depth,shallow,0.000000,33.1,2345,2417,26,,2.000000,,,7.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,02:00:00 21-May-2024,04:00:00 21-May-2024,depth,deep,,55.1,3933,4005,26,32.000000,,50.000000,57.000000,,82.000000,88.000000
PL2024_1018_22U3174,264721,Transmission,UT,02:00:00 21-May-2024,04:00:00 21-May-2024,depth,dry,,11.8,814,886,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,04:00:00 21-May-2024,06:00:00 21-May-2024,depth,shallow,0.000000,69.3,4953,5025,14,,1.000000,,,4.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,04:00:00 21-May-2024,06:00:00 21-May-2024,depth,deep,,11.8,814,886,14,17.000000,,23.000000,32.000000,,60.000000,86.000000
PL2024_1018_22U3174,264721,Transmission,UT,04:00:00 21-May-2024,06:00:00 21-May-2024,depth,dry,,18.9,1325,1397,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,06:00:00 21-May-2024,08:00:00 21-May-2024,depth,shallow,0.000000,71.7,5123,5195,8,,1.000000,,,1.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,06:00:00 21-May-2024,08:00:00 21-May-2024,depth,deep,,14.2,984,1056,8,20.000000,,23.000000,34.000000,,83.000000,86.000000
