DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,Percent,00:00:00 21-May-2024,6859329.000000,2,,,,,24,,100,40,10,10,10,30,10,10,3,10,10,50,0,10,10,10,20,20,10,10,10,60,10,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,Percent,00:00:00 22-May-2024,2.000000,3,,,,,24,,100,100,100,80,3,10,10,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,Percent,00:00:00 23-May-2024,2.000000,1,,,,,24,,100,100,100,90,10,20,20,100,100,100,100,100,100,98,30,10,10,10,10,10,20,10,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,Percent,00:00:00 24-May-2024,2.000000,3,,,,,24,,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,Percent,00:00:00 25-May-2024,2.000000,8,,,,,24,,10,10,10,10,10,10,10,20,10,20,20,20,20,10,20,20,20,20,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,Percent,00:00:00 26-May-2024,2.000000,8,,,,,24,,10,20,10,20,20,20,20,20,20,20,50,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,Percent,00:00:00 27-May-2024,2.000000,6,,,,,24,,20,10,30,30,20,30,20,30,70,100,100,100,100,100,100,100,100,100,100,100,100,60,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,Percent,00:00:00 28-May-2024,2.000000,7,,,,,24,,20,20,30,20,10,10,20,20,20,70,100,100,100,100,100,100,100,100,100,100,40,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,Percent,00:00:00 29-May-2024,2.000000,2,,,,,24,,10,10,20,20,20,20,20,20,20,10,20,20,20,10,20,10,10,10,20,20,10,10,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,Percent,00:00:00 30-May-2024,2.000000,2,,,,,24,,20,10,10,10,10,10,10,10,20,10,10,20,10,10,10,3,3,3,3,3,10,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
