DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,Depth21,Depth21Error,MinTemp21,MaxTemp21,%Ox21,Discont21,Depth22,Depth22Error,MinTemp22,MaxTemp22,%Ox22,Discont22,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,02:17:00 21-May-2024,16.7,3788992.00,2,,,, ,18,,0.00,0.00,-1.425,-1.375,,,5.00,0.00,-1.425,-1.375,,,10.00,0.00,-1.475,-1.425,,,15.00,0.00,-1.525,-1.475,,,20.00,0.00,-1.675,-1.625,,,25.00,0.00,-1.675,-1.625,,,30.00,0.00,-1.675,-1.625,,,35.00,0.00,-1.725,-1.675,,,40.00,0.00,-1.725,-1.675,,,45.00,0.00,-1.275,-1.225,,,50.00,0.00,-0.325,-0.275,,,55.00,0.00,0.075,0.125,,,60.00,0.00,0.225,0.275,,,65.00,0.00,0.275,0.325,,,70.00,0.00,0.425,0.475,,,75.00,0.00,0.775,0.825,,,80.00,0.00,0.925,0.975,,,85.00,0.00,0.925,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,04:00:00 21-May-2024,1.7,1480637.00,1,,,, ,4,,0.00,0.00,-1.625,-1.575,,,5.00,0.00,-1.625,-1.575,,,10.00,0.00,-1.625,-1.575,,,15.00,0.00,-1.625,-1.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,14:11:00 21-May-2024,16.7,2.00,2,,,, ,18,,0.00,0.00,-1.625,-1.575,,,5.00,0.00,-1.575,-1.525,,,10.00,0.00,-1.575,-1.525,,,15.00,0.00,-1.575,-1.525,,,20.00,0.00,-1.675,-1.625,,,25.00,0.00,-1.675,-1.625,,,30.00,0.00,-1.675,-1.625,,,35.00,0.00,-1.675,-1.625,,,40.00,0.00,-1.675,-1.625,,,45.00,0.00,-1.475,-1.425,,,50.00,0.00,-0.625,-0.575,,,55.00,0.00,0.025,0.075,,,60.00,0.00,0.225,0.275,,,65.00,0.00,0.275,0.325,,,70.00,0.00,0.725,0.775,,,75.00,0.00,0.825,0.875,,,80.00,0.00,0.875,0.925,,,85.00,0.00,0.875,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,16:33:00 21-May-2024,16.7,2.00,5,,,, ,18,,0.00,0.00,-1.575,-1.525,,,5.00,0.00,-1.575,-1.525,,,10.00,0.00,-1.575,-1.525,,,15.00,0.00,-1.575,-1.525,,,20.00,0.00,-1.575,-1.525,,,25.00,0.00,-1.675,-1.625,,,30.00,0.00,-1.675,-1.625,,,35.00,1.00,-1.675,-1.625,,,40.00,0.00,-1.675,-1.625,,,45.00,0.00,-0.675,-0.625,,,50.00,0.00,0.475,0.525,,,55.00,0.00,0.475,0.525,,,60.00,0.00,0.675,0.725,,,65.00,0.00,0.875,0.925,,,70.00,0.00,0.875,0.925,,,75.00,0.00,0.925,0.975,,,80.00,0.00,0.925,0.975,,,85.00,0.00,0.925,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,18:00:00 21-May-2024,16.7,2.00,5,,,, ,14,,0.00,1.00,-1.475,-1.425,,,5.00,0.00,-1.475,-1.425,,,10.00,0.00,-1.425,-1.375,,,15.00,0.00,-1.425,-1.375,,,20.00,1.00,-1.425,-1.375,,,25.00,1.00,-1.575,-1.525,,,30.00,0.00,-1.625,-1.575,,,35.00,0.00,-1.025,-0.975,,,40.00,1.00,-0.075,-0.025,,,45.00,0.00,0.875,0.925,,,50.00,0.00,0.875,0.925,,,55.00,0.00,0.925,0.975,,,60.00,0.00,0.925,0.975,,,65.00,0.00,0.925,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,04:00:00 22-May-2024,16.7,2.00,2,,,, ,19,,0.00,0.00,-1.225,-1.175,,,5.00,0.00,-1.225,-1.175,,,10.00,0.00,-1.225,-1.175,,,15.00,0.00,-1.275,-1.225,,,20.00,0.00,-1.275,-1.225,,,25.00,0.00,-1.425,-1.375,,,30.00,0.00,-1.575,-1.525,,,35.00,0.00,-0.875,-0.825,,,40.00,0.00,0.475,0.525,,,45.00,0.00,0.875,0.925,,,50.00,0.00,0.925,0.975,,,55.00,0.00,0.925,0.975,,,60.00,0.00,0.925,0.975,,,65.00,0.00,0.925,0.975,,,70.00,0.00,0.975,1.025,,,75.00,0.00,0.975,1.025,,,80.00,0.00,0.975,1.025,,,85.00,0.00,0.975,1.025,,,90.00,1.00,1.025,1.075,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,06:03:00 22-May-2024,16.7,2.00,3,,,, ,19,,0.00,0.00,-1.275,-1.225,,,5.00,0.00,-1.275,-1.225,,,10.00,0.00,-1.275,-1.225,,,15.00,0.00,-1.275,-1.225,,,20.00,0.00,-1.325,-1.275,,,25.00,0.00,-1.575,-1.525,,,30.00,0.00,-1.575,-1.525,,,35.00,0.00,-1.025,-0.975,,,40.00,0.00,0.925,0.975,,,45.00,1.00,0.825,0.875,,,50.00,0.00,0.925,0.975,,,55.00,0.00,0.925,0.975,,,60.00,0.00,0.975,1.025,,,65.00,0.00,0.975,1.025,,,70.00,0.00,0.975,1.025,,,75.00,0.00,0.975,1.025,,,80.00,0.00,0.975,1.025,,,85.00,0.00,0.975,1.025,,,90.00,1.00,0.975,1.025,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,22:02:00 23-May-2024,16.7,2.00,8,,,, ,19,,0.00,0.00,-1.025,-0.975,,,5.00,0.00,-1.025,-0.975,,,10.00,0.00,-1.025,-0.975,,,15.00,0.00,-1.025,-0.975,,,20.00,0.00,-1.575,-1.525,,,25.00,0.00,-1.625,-1.575,,,30.00,1.00,-1.525,-1.475,,,35.00,1.00,-0.575,-0.525,,,40.00,0.00,0.925,0.975,,,45.00,0.00,1.025,1.075,,,50.00,0.00,1.075,1.125,,,55.00,0.00,1.075,1.125,,,60.00,0.00,1.075,1.125,,,65.00,0.00,1.075,1.125,,,70.00,0.00,1.075,1.125,,,75.00,0.00,1.075,1.125,,,80.00,0.00,1.075,1.125,,,85.00,0.00,1.075,1.125,,,90.00,1.00,1.025,1.075,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,00:04:00 24-May-2024,16.7,2.00,6,,,, ,20,,0.00,0.00,-0.925,-0.875,,,5.00,0.00,-0.925,-0.875,,,10.00,0.00,-0.925,-0.875,,,15.00,0.00,-0.975,-0.925,,,20.00,0.00,-0.975,-0.925,,,25.00,1.00,-1.175,-1.125,,,30.00,0.00,-1.125,-1.075,,,35.00,0.00,-1.075,-1.025,,,40.00,0.00,-0.375,-0.325,,,45.00,0.00,0.875,0.925,,,50.00,1.00,1.025,1.075,,,55.00,0.00,1.075,1.125,,,60.00,0.00,1.075,1.125,,,65.00,0.00,1.075,1.125,,,70.00,0.00,1.075,1.125,,,75.00,0.00,1.075,1.125,,,80.00,0.00,1.075,1.125,,,85.00,0.00,1.075,1.125,,,90.00,0.00,1.075,1.125,,,95.00,0.00,1.075,1.125,,,,,,,,,,,,,,,,,,,
PL2024_1018_22U3174,264721,0.500000,Transmission,UT,12:26:00 24-May-2024,16.7,2.00,3,,,, ,21,,0.00,0.00,-0.475,-0.425,,,5.00,0.00,-0.475,-0.425,,,10.00,0.00,-0.475,-0.425,,,15.00,0.00,-0.475,-0.425,,,20.00,1.00,-0.475,-0.425,,,25.00,0.00,-0.675,-0.625,,,30.00,0.00,-0.425,-0.375,,,35.00,0.00,-0.125,-0.075,,,40.00,0.00,0.375,0.425,,,45.00,0.00,1.125,1.175,,,50.00,0.00,1.225,1.275,,,55.00,0.00,1.225,1.275,,,60.00,0.00,1.225,1.275,,,65.00,0.00,1.275,1.325,,,70.00,0.00,1.275,1.325,,,75.00,0.00,1.275,1.325,,,80.00,0.00,1.275,1.325,,,85.00,0.00,1.225,1.275,,,90.00,0.00,1.225,1.275,,,95.00,0.00,1.225,1.275,,,100.00,0.00,1.225,1.275,,,,,,,,,,,,,
